
--- TABLA 7: DESGLOSE DETALLADO DE COSTES VARIABLES DE TRANSPORTE ---
Cliente     | Instalación     | Cantidad (q) | Coste Unitario (c) | Subtotal
Cliente 68  | Instalación 27  | 14,00        | 8,00               | 112,00  
Cliente 69  | Instalación 6   | 16,00        | 1,00               | 16,00   
Cliente 69  | Instalación 34  | 3,00         | 3,00               | 9,00    
Cliente 70  | Instalación 70  | 18,00        | 7,00               | 126,00  
Cliente 71  | Instalación 116 | 6,00         | 6,00               | 36,00   
Cliente 72  | Instalación 146 | 7,00         | 4,00               | 28,00   
Cliente 73  | Instalación 183 | 18,00        | 3,00               | 54,00   
Cliente 74  | Instalación 57  | 16,00        | 6,00               | 96,00   
Cliente 75  | Instalación 74  | 5,00         | 5,00               | 25,00   
Cliente 76  | Instalación 183 | 13,00        | 6,00               | 78,00   
Cliente 77  | Instalación 196 | 9,00         | 6,00               | 54,00   
Cliente 78  | Instalación 32  | 7,00         | 6,00               | 42,00   
Cliente 79  | Instalación 3   | 12,00        | 2,00               | 24,00   
Cliente 80  | Instalación 19  | 2,00         | 1,00               | 2,00    
Cliente 80  | Instalación 132 | 10,00        | 3,00               | 30,00   
Cliente 81  | Instalación 42  | 5,00         | 10,00              | 50,00   
Cliente 82  | Instalación 82  | 9,00         | 4,00               | 36,00   
Cliente 83  | Instalación 104 | 20,00        | 5,00               | 100,00  
Cliente 84  | Instalación 11  | 17,00        | 0,00               | 0,00    
Cliente 85  | Instalación 20  | 17,00        | 5,00               | 85,00   
Cliente 86  | Instalación 83  | 5,00         | 13,00              | 65,00   
Cliente 87  | Instalación 11  | 19,00        | 6,00               | 114,00  
Cliente 88  | Instalación 100 | 17,00        | 2,00               | 34,00   
Cliente 89  | Instalación 40  | 11,00        | 3,00               | 33,00   
Cliente 90  | Instalación 74  | 16,00        | 4,00               | 64,00   
Cliente 91  | Instalación 30  | 5,00         | 2,00               | 10,00   
Cliente 92  | Instalación 9   | 18,00        | 5,00               | 90,00   
Cliente 93  | Instalación 66  | 18,00        | 1,00               | 18,00   
Cliente 94  | Instalación 174 | 15,00        | 2,00               | 30,00   
Cliente 95  | Instalación 13  | 6,00         | 7,00               | 42,00   
Cliente 96  | Instalación 63  | 14,00        | 6,00               | 84,00   
Cliente 97  | Instalación 132 | 6,00         | 2,00               | 12,00   
Cliente 98  | Instalación 72  | 8,00         | 7,00               | 56,00   
Cliente 99  | Instalación 150 | 11,00        | 4,00               | 44,00   
Cliente 100 | Instalación 154 | 18,00        | 4,00               | 72,00   
Cliente 101 | Instalación 9   | 9,00         | 5,00               | 45,00   
Cliente 101 | Instalación 13  | 4,00         | 8,00               | 32,00   
Cliente 102 | Instalación 143 | 6,00         | 8,00               | 48,00   
Cliente 103 | Instalación 63  | 8,00         | 9,00               | 72,00   
Cliente 104 | Instalación 90  | 19,00        | 4,00               | 76,00   
Cliente 105 | Instalación 125 | 19,00        | 4,00               | 76,00   
Cliente 106 | Instalación 131 | 3,00         | 6,00               | 18,00   
Cliente 106 | Instalación 149 | 12,00        | 11,00              | 132,00  
Cliente 107 | Instalación 90  | 12,00        | 6,00               | 72,00   
Cliente 108 | Instalación 126 | 5,00         | 7,00               | 35,00   
Cliente 109 | Instalación 5   | 6,00         | 5,00               | 30,00   
Cliente 110 | Instalación 96  | 16,00        | 4,00               | 64,00   
Cliente 111 | Instalación 57  | 10,00        | 3,00               | 30,00   
Cliente 112 | Instalación 116 | 15,00        | 3,00               | 45,00   
Cliente 113 | Instalación 37  | 11,00        | 2,00               | 22,00   
Cliente 114 | Instalación 158 | 12,00        | 4,00               | 48,00   
Cliente 115 | Instalación 97  | 5,00         | 11,00              | 55,00   
Cliente 116 | Instalación 119 | 19,00        | 6,00               | 114,00  
Cliente 117 | Instalación 132 | 8,00         | 6,00               | 48,00   
Cliente 118 | Instalación 40  | 11,00        | 2,00               | 22,00   
Cliente 119 | Instalación 136 | 18,00        | 4,00               | 72,00   
Cliente 120 | Instalación 119 | 12,00        | 3,00               | 36,00   
Cliente 121 | Instalación 138 | 19,00        | 6,00               | 114,00  
Cliente 122 | Instalación 73  | 15,00        | 9,00               | 135,00  
Cliente 123 | Instalación 150 | 8,00         | 13,00              | 104,00  
Cliente 124 | Instalación 46  | 18,00        | 4,00               | 72,00   
Cliente 125 | Instalación 105 | 13,00        | 10,00              | 130,00  
Cliente 126 | Instalación 63  | 10,00        | 4,00               | 40,00   
Cliente 127 | Instalación 40  | 7,00         | 4,00               | 28,00   
Cliente 128 | Instalación 178 | 5,00         | 4,00               | 20,00   
Cliente 129 | Instalación 193 | 7,00         | 4,00               | 28,00   
Cliente 130 | Instalación 68  | 15,00        | 6,00               | 90,00   
Cliente 131 | Instalación 85  | 19,00        | 7,00               | 133,00  
Cliente 132 | Instalación 66  | 11,00        | 8,00               | 88,00   
Cliente 133 | Instalación 48  | 13,00        | 3,00               | 39,00   
Cliente 134 | Instalación 58  | 20,00        | 2,00               | 40,00   
Cliente 135 | Instalación 104 | 18,00        | 15,00              | 270,00  
Cliente 136 | Instalación 88  | 3,00         | 7,00               | 21,00   
Cliente 136 | Instalación 92  | 13,00        | 9,00               | 117,00  
Cliente 137 | Instalación 41  | 10,00        | 4,00               | 40,00   
Cliente 138 | Instalación 41  | 20,00        | 4,00               | 80,00   
Cliente 139 | Instalación 150 | 6,00         | 3,00               | 18,00   
Cliente 139 | Instalación 178 | 4,00         | 10,00              | 40,00   
Cliente 140 | Instalación 68  | 16,00        | 4,00               | 64,00   
Cliente 141 | Instalación 97  | 12,00        | 7,00               | 84,00   
Cliente 142 | Instalación 126 | 16,00        | 10,00              | 160,00  
Cliente 143 | Instalación 145 | 7,00         | 12,00              | 84,00   
Cliente 144 | Instalación 7   | 19,00        | 5,00               | 95,00   
Cliente 145 | Instalación 57  | 15,00        | 7,00               | 105,00  
Cliente 146 | Instalación 90  | 7,00         | 1,00               | 7,00    
Cliente 147 | Instalación 116 | 9,00         | 3,00               | 27,00   
Cliente 148 | Instalación 48  | 9,00         | 13,00              | 117,00  
Cliente 149 | Instalación 13  | 12,00        | 11,00              | 132,00  
Cliente 150 | Instalación 32  | 9,00         | 8,00               | 72,00   
Cliente 150 | Instalación 48  | 11,00        | 6,00               | 66,00   
Cliente 151 | Instalación 59  | 7,00         | 1,00               | 7,00    
Cliente 152 | Instalación 23  | 5,00         | 8,00               | 40,00   
Cliente 153 | Instalación 42  | 5,00         | 1,00               | 5,00    
Cliente 154 | Instalación 174 | 15,00        | 8,00               | 120,00  
Cliente 155 | Instalación 121 | 17,00        | 9,00               | 153,00  
Cliente 156 | Instalación 169 | 12,00        | 5,00               | 60,00   
Cliente 157 | Instalación 16  | 18,00        | 5,00               | 90,00   
Cliente 158 | Instalación 144 | 18,00        | 6,00               | 108,00  
Cliente 159 | Instalación 105 | 10,00        | 5,00               | 50,00   
Cliente 160 | Instalación 73  | 6,00         | 5,00               | 30,00   
Cliente 160 | Instalación 82  | 1,00         | 8,00               | 8,00    
Cliente 161 | Instalación 97  | 5,00         | 1,00               | 5,00    
Cliente 162 | Instalación 57  | 12,00        | 9,00               | 108,00  
Cliente 163 | Instalación 94  | 17,00        | 4,00               | 68,00   
Cliente 164 | Instalación 178 | 12,00        | 9,00               | 108,00  
Cliente 165 | Instalación 63  | 7,00         | 10,00              | 70,00   
Cliente 166 | Instalación 46  | 6,00         | 6,00               | 36,00   
Cliente 167 | Instalación 74  | 14,00        | 8,00               | 112,00  
Cliente 168 | Instalación 145 | 19,00        | 12,00              | 228,00  
Cliente 169 | Instalación 132 | 15,00        | 3,00               | 45,00   
Cliente 170 | Instalación 96  | 11,00        | 1,00               | 11,00   
Cliente 171 | Instalación 12  | 14,00        | 5,00               | 70,00   
Cliente 172 | Instalación 174 | 16,00        | 4,00               | 64,00   
Cliente 173 | Instalación 6   | 20,00        | 4,00               | 80,00   
Cliente 174 | Instalación 3   | 7,00         | 3,00               | 21,00   
Cliente 175 | Instalación 170 | 5,00         | 5,00               | 25,00   
Cliente 176 | Instalación 146 | 13,00        | 3,00               | 39,00   
Cliente 177 | Instalación 98  | 11,00        | 4,00               | 44,00   
Cliente 178 | Instalación 34  | 19,00        | 4,00               | 76,00   
Cliente 179 | Instalación 82  | 19,00        | 7,00               | 133,00  
Cliente 180 | Instalación 105 | 17,00        | 8,00               | 136,00  
Cliente 181 | Instalación 196 | 18,00        | 9,00               | 162,00  
Cliente 182 | Instalación 16  | 13,00        | 12,00              | 156,00  
Cliente 183 | Instalación 145 | 6,00         | 4,00               | 24,00   
Cliente 184 | Instalación 16  | 17,00        | 1,00               | 17,00   
Cliente 185 | Instalación 28  | 12,00        | 8,00               | 96,00   
Cliente 186 | Instalación 38  | 6,00         | 8,00               | 48,00   
Cliente 186 | Instalación 178 | 10,00        | 4,00               | 40,00   
Cliente 187 | Instalación 94  | 8,00         | 9,00               | 72,00   
Cliente 188 | Instalación 183 | 14,00        | 2,00               | 28,00   
Cliente 189 | Instalación 12  | 8,00         | 8,00               | 64,00   
Cliente 190 | Instalación 70  | 13,00        | 7,00               | 91,00   
Cliente 191 | Instalación 98  | 10,00        | 11,00              | 110,00  
Cliente 192 | Instalación 41  | 14,00        | 0,00               | 0,00    
Cliente 193 | Instalación 23  | 10,00        | 10,00              | 100,00  
Cliente 194 | Instalación 35  | 16,00        | 2,00               | 32,00   
Cliente 195 | Instalación 11  | 8,00         | 1,00               | 8,00    
Cliente 196 | Instalación 154 | 17,00        | 12,00              | 204,00  
Cliente 197 | Instalación 193 | 20,00        | 7,00               | 140,00  
Cliente 198 | Instalación 59  | 3,00         | 8,00               | 24,00   
Cliente 198 | Instalación 90  | 6,00         | 12,00              | 72,00   
Cliente 199 | Instalación 174 | 7,00         | 6,00               | 42,00   
Cliente 200 | Instalación 32  | 6,00         | 9,00               | 54,00   
Cliente 201 | Instalación 126 | 7,00         | 4,00               | 28,00   
Cliente 202 | Instalación 154 | 14,00        | 8,00               | 112,00  
Cliente 203 | Instalación 151 | 15,00        | 3,00               | 45,00   
Cliente 204 | Instalación 62  | 18,00        | 4,00               | 72,00   
Cliente 205 | Instalación 82  | 19,00        | 10,00              | 190,00  
Cliente 206 | Instalación 186 | 9,00         | 6,00               | 54,00   
Cliente 207 | Instalación 142 | 18,00        | 8,00               | 144,00  
Cliente 208 | Instalación 179 | 20,00        | 2,00               | 40,00   
Cliente 209 | Instalación 68  | 20,00        | 6,00               | 120,00  
Cliente 210 | Instalación 100 | 13,00        | 4,00               | 52,00   
Cliente 211 | Instalación 185 | 7,00         | 5,00               | 35,00   
Cliente 212 | Instalación 68  | 14,00        | 3,00               | 42,00   
Cliente 213 | Instalación 1   | 18,00        | 1,00               | 18,00   
Cliente 214 | Instalación 5   | 17,00        | 8,00               | 136,00  
Cliente 215 | Instalación 42  | 15,00        | 9,00               | 135,00  
Cliente 216 | Instalación 186 | 20,00        | 4,00               | 80,00   
Cliente 217 | Instalación 161 | 19,00        | 6,00               | 114,00  
Cliente 218 | Instalación 183 | 11,00        | 5,00               | 55,00   
Cliente 219 | Instalación 20  | 5,00         | 7,00               | 35,00   
Cliente 220 | Instalación 64  | 10,00        | 3,00               | 30,00   
Cliente 221 | Instalación 13  | 17,00        | 7,00               | 119,00  
Cliente 222 | Instalación 12  | 6,00         | 5,00               | 30,00   
Cliente 223 | Instalación 161 | 7,00         | 9,00               | 63,00   
Cliente 224 | Instalación 174 | 18,00        | 8,00               | 144,00  
Cliente 225 | Instalación 145 | 9,00         | 6,00               | 54,00   
Cliente 226 | Instalación 185 | 7,00         | 7,00               | 49,00   
Cliente 227 | Instalación 143 | 16,00        | 9,00               | 144,00  
Cliente 228 | Instalación 154 | 10,00        | 6,00               | 60,00   
Cliente 229 | Instalación 64  | 14,00        | 4,00               | 56,00   
Cliente 230 | Instalación 58  | 6,00         | 3,00               | 18,00   
Cliente 231 | Instalación 180 | 10,00        | 2,00               | 20,00   
Cliente 232 | Instalación 48  | 14,00        | 5,00               | 70,00   
Cliente 233 | Instalación 185 | 11,00        | 7,00               | 77,00   
Cliente 234 | Instalación 43  | 17,00        | 9,00               | 153,00  
Cliente 235 | Instalación 23  | 7,00         | 5,00               | 35,00   
Cliente 235 | Instalación 40  | 5,00         | 4,00               | 20,00   
Cliente 236 | Instalación 19  | 14,00        | 4,00               | 56,00   
Cliente 237 | Instalación 37  | 20,00        | 1,00               | 20,00   
Cliente 238 | Instalación 40  | 11,00        | 3,00               | 33,00   
Cliente 239 | Instalación 94  | 15,00        | 7,00               | 105,00  
Cliente 240 | Instalación 88  | 18,00        | 3,00               | 54,00   
Cliente 241 | Instalación 11  | 17,00        | 7,00               | 119,00  
Cliente 242 | Instalación 149 | 5,00         | 6,00               | 30,00   
Cliente 243 | Instalación 170 | 14,00        | 5,00               | 70,00   
Cliente 244 | Instalación 159 | 20,00        | 4,00               | 80,00   
Cliente 245 | Instalación 32  | 17,00        | 2,00               | 34,00   
Cliente 246 | Instalación 132 | 5,00         | 9,00               | 45,00   
Cliente 247 | Instalación 116 | 17,00        | 6,00               | 102,00  
Cliente 248 | Instalación 132 | 6,00         | 8,00               | 48,00   
Cliente 249 | Instalación 90  | 12,00        | 8,00               | 96,00   
Cliente 250 | Instalación 71  | 16,00        | 0,00               | 0,00    
Cliente 251 | Instalación 138 | 19,00        | 4,00               | 76,00   
Cliente 252 | Instalación 121 | 8,00         | 4,00               | 32,00   
Cliente 253 | Instalación 169 | 9,00         | 6,00               | 54,00   
Cliente 254 | Instalación 58  | 8,00         | 4,00               | 32,00   
Cliente 255 | Instalación 92  | 14,00        | 1,00               | 14,00   
Cliente 256 | Instalación 88  | 5,00         | 1,00               | 5,00    
Cliente 257 | Instalación 58  | 18,00        | 1,00               | 18,00   
Cliente 258 | Instalación 67  | 11,00        | 5,00               | 55,00   
Cliente 259 | Instalación 132 | 8,00         | 4,00               | 32,00   
Cliente 260 | Instalación 185 | 16,00        | 9,00               | 144,00  
Cliente 261 | Instalación 83  | 10,00        | 10,00              | 100,00  
Cliente 261 | Instalación 179 | 2,00         | 9,00               | 18,00   
Cliente 262 | Instalación 16  | 10,00        | 5,00               | 50,00   
Cliente 263 | Instalación 83  | 18,00        | 12,00              | 216,00  
Cliente 264 | Instalación 65  | 7,00         | 3,00               | 21,00   
Cliente 265 | Instalación 155 | 6,00         | 3,00               | 18,00   
Cliente 266 | Instalación 145 | 13,00        | 2,00               | 26,00   
Cliente 267 | Instalación 104 | 12,00        | 3,00               | 36,00   
Cliente 268 | Instalación 9   | 15,00        | 9,00               | 135,00  
Cliente 269 | Instalación 35  | 13,00        | 4,00               | 52,00   
Cliente 270 | Instalación 16  | 5,00         | 9,00               | 45,00   
Cliente 271 | Instalación 74  | 13,00        | 7,00               | 91,00   
Cliente 272 | Instalación 161 | 12,00        | 4,00               | 48,00   
Cliente 273 | Instalación 132 | 10,00        | 3,00               | 30,00   
Cliente 274 | Instalación 154 | 12,00        | 2,00               | 24,00   
Cliente 275 | Instalación 85  | 16,00        | 1,00               | 16,00   
Cliente 276 | Instalación 42  | 9,00         | 2,00               | 18,00   
Cliente 277 | Instalación 16  | 16,00        | 4,00               | 64,00   
Cliente 278 | Instalación 98  | 7,00         | 4,00               | 28,00   
Cliente 279 | Instalación 143 | 13,00        | 8,00               | 104,00  
Cliente 280 | Instalación 61  | 20,00        | 6,00               | 120,00  
Cliente 281 | Instalación 142 | 10,00        | 8,00               | 80,00   
Cliente 282 | Instalación 11  | 16,00        | 10,00              | 160,00  
Cliente 283 | Instalación 16  | 10,00        | 11,00              | 110,00  
Cliente 284 | Instalación 96  | 11,00        | 5,00               | 55,00   
Cliente 285 | Instalación 82  | 13,00        | 1,00               | 13,00   
Cliente 286 | Instalación 120 | 5,00         | 6,00               | 30,00   
Cliente 287 | Instalación 151 | 14,00        | 2,00               | 28,00   
Cliente 288 | Instalación 136 | 11,00        | 13,00              | 143,00  
Cliente 289 | Instalación 149 | 20,00        | 4,00               | 80,00   
Cliente 290 | Instalación 188 | 6,00         | 4,00               | 24,00   
Cliente 291 | Instalación 142 | 8,00         | 9,00               | 72,00   
Cliente 292 | Instalación 64  | 16,00        | 11,00              | 176,00  
Cliente 293 | Instalación 63  | 7,00         | 2,00               | 14,00   
Cliente 294 | Instalación 38  | 12,00        | 4,00               | 48,00   
Cliente 295 | Instalación 146 | 1,00         | 5,00               | 5,00    
Cliente 295 | Instalación 159 | 16,00        | 3,00               | 48,00   
Cliente 296 | Instalación 42  | 18,00        | 15,00              | 270,00  
Cliente 297 | Instalación 82  | 17,00        | 10,00              | 170,00  
Cliente 298 | Instalación 161 | 16,00        | 9,00               | 144,00  
Cliente 299 | Instalación 178 | 7,00         | 7,00               | 49,00   
Cliente 300 | Instalación 136 | 7,00         | 5,00               | 35,00   
Cliente 301 | Instalación 61  | 6,00         | 5,00               | 30,00   
Cliente 302 | Instalación 97  | 3,00         | 8,00               | 24,00   
Cliente 302 | Instalación 100 | 7,00         | 11,00              | 77,00   
Cliente 303 | Instalación 43  | 17,00        | 1,00               | 17,00   
Cliente 304 | Instalación 65  | 11,00        | 4,00               | 44,00   
Cliente 304 | Instalación 96  | 7,00         | 13,00              | 91,00   
Cliente 305 | Instalación 146 | 9,00         | 2,00               | 18,00   
Cliente 306 | Instalación 119 | 12,00        | 6,00               | 72,00   
Cliente 307 | Instalación 121 | 15,00        | 12,00              | 180,00  
Cliente 308 | Instalación 126 | 7,00         | 8,00               | 56,00   
Cliente 309 | Instalación 180 | 11,00        | 1,00               | 11,00   
Cliente 310 | Instalación 26  | 17,00        | 3,00               | 51,00   
Cliente 311 | Instalación 193 | 17,00        | 9,00               | 153,00  
Cliente 312 | Instalación 150 | 5,00         | 9,00               | 45,00   
Cliente 313 | Instalación 72  | 8,00         | 3,00               | 24,00   
Cliente 314 | Instalación 61  | 10,00        | 8,00               | 80,00   
Cliente 315 | Instalación 191 | 15,00        | 3,00               | 45,00   
Cliente 316 | Instalación 105 | 8,00         | 15,00              | 120,00  
Cliente 317 | Instalación 35  | 14,00        | 3,00               | 42,00   
Cliente 318 | Instalación 185 | 17,00        | 5,00               | 85,00   
Cliente 319 | Instalación 6   | 15,00        | 4,00               | 60,00   
Cliente 320 | Instalación 116 | 5,00         | 4,00               | 20,00   
Cliente 321 | Instalación 179 | 5,00         | 4,00               | 20,00   
Cliente 322 | Instalación 5   | 13,00        | 2,00               | 26,00   
Cliente 323 | Instalación 64  | 11,00        | 14,00              | 154,00  
Cliente 324 | Instalación 72  | 17,00        | 8,00               | 136,00  
Cliente 325 | Instalación 6   | 17,00        | 5,00               | 85,00   
Cliente 326 | Instalación 23  | 6,00         | 7,00               | 42,00   
Cliente 327 | Instalación 5   | 9,00         | 6,00               | 54,00   
Cliente 328 | Instalación 57  | 15,00        | 3,00               | 45,00   
Cliente 329 | Instalación 64  | 9,00         | 16,00              | 144,00  
Cliente 329 | Instalación 144 | 4,00         | 13,00              | 52,00   
Cliente 330 | Instalación 12  | 5,00         | 10,00              | 50,00   
Cliente 331 | Instalación 66  | 17,00        | 6,00               | 102,00  
Cliente 332 | Instalación 147 | 12,00        | 2,00               | 24,00   
Cliente 333 | Instalación 27  | 19,00        | 3,00               | 57,00   
Cliente 334 | Instalación 185 | 7,00         | 5,00               | 35,00   
Cliente 335 | Instalación 138 | 8,00         | 7,00               | 56,00   
Cliente 336 | Instalación 191 | 14,00        | 4,00               | 56,00   
Cliente 337 | Instalación 65  | 16,00        | 7,00               | 112,00  
Cliente 338 | Instalación 142 | 19,00        | 8,00               | 152,00  
Cliente 339 | Instalación 41  | 5,00         | 11,00              | 55,00   
Cliente 340 | Instalación 125 | 12,00        | 6,00               | 72,00   
Cliente 341 | Instalación 67  | 13,00        | 7,00               | 91,00   
Cliente 342 | Instalación 71  | 17,00        | 5,00               | 85,00   
Cliente 343 | Instalación 40  | 8,00         | 6,00               | 48,00   
Cliente 343 | Instalación 154 | 7,00         | 3,00               | 21,00   
Cliente 344 | Instalación 100 | 10,00        | 13,00              | 130,00  
Cliente 345 | Instalación 143 | 8,00         | 10,00              | 80,00   
Cliente 346 | Instalación 142 | 9,00         | 11,00              | 99,00   
Cliente 347 | Instalación 74  | 10,00        | 5,00               | 50,00   
Cliente 348 | Instalación 138 | 7,00         | 9,00               | 63,00   
Cliente 349 | Instalación 9   | 11,00        | 10,00              | 110,00  
Cliente 349 | Instalación 65  | 5,00         | 8,00               | 40,00   
Cliente 350 | Instalación 11  | 6,00         | 9,00               | 54,00   
Cliente 350 | Instalación 98  | 5,00         | 8,00               | 40,00   
Cliente 350 | Instalación 193 | 5,00         | 8,00               | 40,00   
Cliente 351 | Instalación 138 | 10,00        | 3,00               | 30,00   
Cliente 352 | Instalación 143 | 9,00         | 7,00               | 63,00   
Cliente 353 | Instalación 26  | 12,00        | 4,00               | 48,00   
Cliente 354 | Instalación 13  | 1,00         | 6,00               | 6,00    
Cliente 354 | Instalación 135 | 14,00        | 6,00               | 84,00   
Cliente 355 | Instalación 190 | 5,00         | 4,00               | 20,00   
Cliente 356 | Instalación 120 | 18,00        | 2,00               | 36,00   
Cliente 357 | Instalación 88  | 14,00        | 4,00               | 56,00   
Cliente 358 | Instalación 64  | 13,00        | 2,00               | 26,00   
Cliente 359 | Instalación 131 | 11,00        | 2,00               | 22,00   
Cliente 360 | Instalación 133 | 5,00         | 8,00               | 40,00   
Cliente 361 | Instalación 74  | 14,00        | 8,00               | 112,00  
Cliente 362 | Instalación 116 | 6,00         | 6,00               | 36,00   
Cliente 363 | Instalación 48  | 19,00        | 12,00              | 228,00  
Cliente 364 | Instalación 133 | 18,00        | 6,00               | 108,00  
Cliente 365 | Instalación 63  | 3,00         | 6,00               | 18,00   
Cliente 365 | Instalación 78  | 2,00         | 6,00               | 12,00   
Cliente 366 | Instalación 151 | 7,00         | 8,00               | 56,00   
Cliente 367 | Instalación 104 | 7,00         | 6,00               | 42,00   
Cliente 368 | Instalación 61  | 12,00        | 4,00               | 48,00   
Cliente 369 | Instalación 155 | 20,00        | 9,00               | 180,00  
Cliente 370 | Instalación 149 | 20,00        | 7,00               | 140,00  
Cliente 371 | Instalación 40  | 13,00        | 5,00               | 65,00   
Cliente 372 | Instalación 169 | 13,00        | 3,00               | 39,00   
Cliente 373 | Instalación 125 | 5,00         | 2,00               | 10,00   
Cliente 374 | Instalación 138 | 10,00        | 6,00               | 60,00   
Cliente 375 | Instalación 67  | 18,00        | 10,00              | 180,00  
Cliente 376 | Instalación 170 | 10,00        | 9,00               | 90,00   
Cliente 377 | Instalación 120 | 10,00        | 5,00               | 50,00   
Cliente 378 | Instalación 74  | 5,00         | 9,00               | 45,00   
Cliente 379 | Instalación 136 | 12,00        | 3,00               | 36,00   
Cliente 380 | Instalación 146 | 11,00        | 9,00               | 99,00   
Cliente 381 | Instalación 42  | 14,00        | 3,00               | 42,00   
Cliente 382 | Instalación 125 | 6,00         | 6,00               | 36,00   
