
--- TABLA 5: DETALLE DE ASIGNACIÓN DE CLIENTES ---
Cliente     | Instalación     | Demanda | Asignada | Porcentaje (%)
Cliente 55  | Instalación 2   | 17,00   | 17,00    | 100,0 %       
Cliente 56  | Instalación 130 | 12,00   | 12,00    | 100,0 %       
Cliente 57  | Instalación 37  | 12,00   | 12,00    | 100,0 %       
Cliente 58  | Instalación 190 | 15,00   | 15,00    | 100,0 %       
Cliente 59  | Instalación 196 | 6,00    | 6,00     | 100,0 %       
Cliente 60  | Instalación 162 | 20,00   | 20,00    | 100,0 %       
Cliente 61  | Instalación 175 | 8,00    | 8,00     | 100,0 %       
Cliente 62  | Instalación 178 | 14,00   | 14,00    | 100,0 %       
Cliente 63  | Instalación 53  | 20,00   | 20,00    | 100,0 %       
Cliente 64  | Instalación 52  | 5,00    | 5,00     | 100,0 %       
Cliente 65  | Instalación 31  | 11,00   | 11,00    | 100,0 %       
Cliente 66  | Instalación 12  | 10,00   | 9,00     | 90,0 %        
Cliente 66  | Instalación 106 | 10,00   | 1,00     | 10,0 %        
Cliente 67  | Instalación 57  | 16,00   | 16,00    | 100,0 %       
Cliente 68  | Instalación 72  | 14,00   | 14,00    | 100,0 %       
Cliente 69  | Instalación 6   | 19,00   | 19,00    | 100,0 %       
Cliente 70  | Instalación 70  | 18,00   | 18,00    | 100,0 %       
Cliente 71  | Instalación 116 | 6,00    | 6,00     | 100,0 %       
Cliente 72  | Instalación 159 | 7,00    | 7,00     | 100,0 %       
Cliente 73  | Instalación 5   | 18,00   | 18,00    | 100,0 %       
Cliente 74  | Instalación 145 | 16,00   | 16,00    | 100,0 %       
Cliente 75  | Instalación 23  | 5,00    | 5,00     | 100,0 %       
Cliente 76  | Instalación 183 | 13,00   | 13,00    | 100,0 %       
Cliente 77  | Instalación 151 | 9,00    | 9,00     | 100,0 %       
Cliente 78  | Instalación 138 | 7,00    | 7,00     | 100,0 %       
Cliente 79  | Instalación 138 | 12,00   | 12,00    | 100,0 %       
Cliente 80  | Instalación 62  | 12,00   | 12,00    | 100,0 %       
Cliente 81  | Instalación 188 | 5,00    | 5,00     | 100,0 %       
Cliente 82  | Instalación 82  | 9,00    | 9,00     | 100,0 %       
Cliente 83  | Instalación 104 | 20,00   | 20,00    | 100,0 %       
Cliente 84  | Instalación 170 | 17,00   | 17,00    | 100,0 %       
Cliente 85  | Instalación 16  | 17,00   | 17,00    | 100,0 %       
Cliente 86  | Instalación 37  | 5,00    | 5,00     | 100,0 %       
Cliente 87  | Instalación 195 | 19,00   | 19,00    | 100,0 %       
Cliente 88  | Instalación 100 | 17,00   | 17,00    | 100,0 %       
Cliente 89  | Instalación 70  | 11,00   | 11,00    | 100,0 %       
Cliente 90  | Instalación 28  | 16,00   | 16,00    | 100,0 %       
Cliente 91  | Instalación 73  | 5,00    | 5,00     | 100,0 %       
Cliente 92  | Instalación 13  | 18,00   | 18,00    | 100,0 %       
Cliente 93  | Instalación 90  | 18,00   | 18,00    | 100,0 %       
Cliente 94  | Instalación 52  | 15,00   | 15,00    | 100,0 %       
Cliente 95  | Instalación 70  | 6,00    | 1,00     | 16,7 %        
Cliente 95  | Instalación 135 | 6,00    | 5,00     | 83,3 %        
Cliente 96  | Instalación 130 | 14,00   | 14,00    | 100,0 %       
Cliente 97  | Instalación 132 | 6,00    | 6,00     | 100,0 %       
Cliente 98  | Instalación 72  | 8,00    | 8,00     | 100,0 %       
Cliente 99  | Instalación 150 | 11,00   | 11,00    | 100,0 %       
Cliente 100 | Instalación 154 | 18,00   | 18,00    | 100,0 %       
Cliente 101 | Instalación 9   | 13,00   | 13,00    | 100,0 %       
Cliente 102 | Instalación 96  | 6,00    | 6,00     | 100,0 %       
Cliente 103 | Instalación 178 | 8,00    | 8,00     | 100,0 %       
Cliente 104 | Instalación 144 | 19,00   | 19,00    | 100,0 %       
Cliente 105 | Instalación 71  | 19,00   | 19,00    | 100,0 %       
Cliente 106 | Instalación 13  | 15,00   | 4,00     | 26,7 %        
Cliente 106 | Instalación 76  | 15,00   | 11,00    | 73,3 %        
Cliente 107 | Instalación 12  | 12,00   | 12,00    | 100,0 %       
Cliente 108 | Instalación 162 | 5,00    | 5,00     | 100,0 %       
Cliente 109 | Instalación 183 | 6,00    | 6,00     | 100,0 %       
Cliente 110 | Instalación 96  | 16,00   | 16,00    | 100,0 %       
Cliente 111 | Instalación 57  | 10,00   | 10,00    | 100,0 %       
Cliente 112 | Instalación 116 | 15,00   | 15,00    | 100,0 %       
Cliente 113 | Instalación 37  | 11,00   | 11,00    | 100,0 %       
Cliente 114 | Instalación 98  | 12,00   | 12,00    | 100,0 %       
Cliente 115 | Instalación 56  | 5,00    | 5,00     | 100,0 %       
Cliente 116 | Instalación 27  | 19,00   | 19,00    | 100,0 %       
Cliente 117 | Instalación 132 | 8,00    | 8,00     | 100,0 %       
Cliente 118 | Instalación 40  | 11,00   | 11,00    | 100,0 %       
Cliente 119 | Instalación 136 | 18,00   | 18,00    | 100,0 %       
Cliente 120 | Instalación 17  | 12,00   | 12,00    | 100,0 %       
Cliente 121 | Instalación 32  | 19,00   | 19,00    | 100,0 %       
Cliente 122 | Instalación 21  | 15,00   | 15,00    | 100,0 %       
Cliente 123 | Instalación 132 | 8,00    | 8,00     | 100,0 %       
Cliente 124 | Instalación 46  | 18,00   | 18,00    | 100,0 %       
Cliente 125 | Instalación 20  | 13,00   | 9,00     | 69,2 %        
Cliente 125 | Instalación 196 | 13,00   | 4,00     | 30,8 %        
Cliente 126 | Instalación 141 | 10,00   | 10,00    | 100,0 %       
Cliente 127 | Instalación 40  | 7,00    | 7,00     | 100,0 %       
Cliente 128 | Instalación 178 | 5,00    | 5,00     | 100,0 %       
Cliente 129 | Instalación 193 | 7,00    | 7,00     | 100,0 %       
Cliente 130 | Instalación 141 | 15,00   | 15,00    | 100,0 %       
Cliente 131 | Instalación 2   | 19,00   | 19,00    | 100,0 %       
Cliente 132 | Instalación 12  | 11,00   | 11,00    | 100,0 %       
Cliente 133 | Instalación 48  | 13,00   | 13,00    | 100,0 %       
Cliente 134 | Instalación 145 | 20,00   | 20,00    | 100,0 %       
Cliente 135 | Instalación 166 | 18,00   | 18,00    | 100,0 %       
Cliente 136 | Instalación 72  | 16,00   | 16,00    | 100,0 %       
Cliente 137 | Instalación 41  | 10,00   | 10,00    | 100,0 %       
Cliente 138 | Instalación 41  | 20,00   | 13,00    | 65,0 %        
Cliente 138 | Instalación 150 | 20,00   | 7,00     | 35,0 %        
Cliente 139 | Instalación 150 | 10,00   | 10,00    | 100,0 %       
Cliente 140 | Instalación 68  | 16,00   | 9,00     | 56,3 %        
Cliente 140 | Instalación 141 | 16,00   | 7,00     | 43,8 %        
Cliente 141 | Instalación 1   | 12,00   | 12,00    | 100,0 %       
Cliente 142 | Instalación 162 | 16,00   | 16,00    | 100,0 %       
Cliente 143 | Instalación 145 | 7,00    | 7,00     | 100,0 %       
Cliente 144 | Instalación 104 | 19,00   | 19,00    | 100,0 %       
Cliente 145 | Instalación 57  | 15,00   | 15,00    | 100,0 %       
Cliente 146 | Instalación 116 | 7,00    | 7,00     | 100,0 %       
Cliente 147 | Instalación 116 | 9,00    | 9,00     | 100,0 %       
Cliente 148 | Instalación 32  | 9,00    | 9,00     | 100,0 %       
Cliente 149 | Instalación 135 | 12,00   | 12,00    | 100,0 %       
Cliente 150 | Instalación 48  | 20,00   | 20,00    | 100,0 %       
Cliente 151 | Instalación 53  | 7,00    | 7,00     | 100,0 %       
Cliente 152 | Instalación 40  | 5,00    | 5,00     | 100,0 %       
Cliente 153 | Instalación 132 | 5,00    | 5,00     | 100,0 %       
Cliente 154 | Instalación 37  | 15,00   | 7,00     | 46,7 %        
Cliente 154 | Instalación 52  | 15,00   | 2,00     | 13,3 %        
Cliente 154 | Instalación 85  | 15,00   | 6,00     | 40,0 %        
Cliente 155 | Instalación 145 | 17,00   | 13,00    | 76,5 %        
Cliente 155 | Instalación 160 | 17,00   | 4,00     | 23,5 %        
Cliente 156 | Instalación 196 | 12,00   | 12,00    | 100,0 %       
Cliente 157 | Instalación 16  | 18,00   | 18,00    | 100,0 %       
Cliente 158 | Instalación 68  | 18,00   | 6,00     | 33,3 %        
Cliente 158 | Instalación 116 | 18,00   | 4,00     | 22,2 %        
Cliente 158 | Instalación 144 | 18,00   | 8,00     | 44,4 %        
Cliente 159 | Instalación 196 | 10,00   | 10,00    | 100,0 %       
Cliente 160 | Instalación 73  | 7,00    | 7,00     | 100,0 %       
Cliente 161 | Instalación 97  | 5,00    | 5,00     | 100,0 %       
Cliente 162 | Instalación 190 | 12,00   | 12,00    | 100,0 %       
Cliente 163 | Instalación 94  | 17,00   | 17,00    | 100,0 %       
Cliente 164 | Instalación 150 | 12,00   | 2,00     | 16,7 %        
Cliente 164 | Instalación 178 | 12,00   | 10,00    | 83,3 %        
Cliente 165 | Instalación 130 | 7,00    | 7,00     | 100,0 %       
Cliente 166 | Instalación 68  | 6,00    | 6,00     | 100,0 %       
Cliente 167 | Instalación 166 | 14,00   | 14,00    | 100,0 %       
Cliente 168 | Instalación 160 | 19,00   | 14,00    | 73,7 %        
Cliente 168 | Instalación 175 | 19,00   | 5,00     | 26,3 %        
Cliente 169 | Instalación 132 | 15,00   | 15,00    | 100,0 %       
Cliente 170 | Instalación 96  | 11,00   | 11,00    | 100,0 %       
Cliente 171 | Instalación 12  | 14,00   | 11,00    | 78,6 %        
Cliente 171 | Instalación 15  | 14,00   | 3,00     | 21,4 %        
Cliente 172 | Instalación 85  | 16,00   | 16,00    | 100,0 %       
Cliente 173 | Instalación 6   | 20,00   | 20,00    | 100,0 %       
Cliente 174 | Instalación 35  | 7,00    | 7,00     | 100,0 %       
Cliente 175 | Instalación 170 | 5,00    | 5,00     | 100,0 %       
Cliente 176 | Instalación 82  | 13,00   | 13,00    | 100,0 %       
Cliente 177 | Instalación 98  | 11,00   | 11,00    | 100,0 %       
Cliente 178 | Instalación 157 | 19,00   | 19,00    | 100,0 %       
Cliente 179 | Instalación 21  | 19,00   | 19,00    | 100,0 %       
Cliente 180 | Instalación 196 | 17,00   | 17,00    | 100,0 %       
Cliente 181 | Instalación 196 | 18,00   | 18,00    | 100,0 %       
Cliente 182 | Instalación 62  | 13,00   | 13,00    | 100,0 %       
Cliente 183 | Instalación 175 | 6,00    | 6,00     | 100,0 %       
Cliente 184 | Instalación 16  | 17,00   | 17,00    | 100,0 %       
Cliente 185 | Instalación 187 | 12,00   | 12,00    | 100,0 %       
Cliente 186 | Instalación 178 | 16,00   | 16,00    | 100,0 %       
Cliente 187 | Instalación 43  | 8,00    | 8,00     | 100,0 %       
Cliente 188 | Instalación 183 | 14,00   | 14,00    | 100,0 %       
Cliente 189 | Instalación 180 | 8,00    | 8,00     | 100,0 %       
Cliente 190 | Instalación 120 | 13,00   | 13,00    | 100,0 %       
Cliente 191 | Instalación 15  | 10,00   | 10,00    | 100,0 %       
Cliente 192 | Instalación 41  | 14,00   | 14,00    | 100,0 %       
Cliente 193 | Instalación 23  | 10,00   | 10,00    | 100,0 %       
Cliente 194 | Instalación 35  | 16,00   | 16,00    | 100,0 %       
Cliente 195 | Instalación 170 | 8,00    | 8,00     | 100,0 %       
Cliente 196 | Instalación 149 | 17,00   | 17,00    | 100,0 %       
Cliente 197 | Instalación 100 | 20,00   | 6,00     | 30,0 %        
Cliente 197 | Instalación 193 | 20,00   | 14,00    | 70,0 %        
Cliente 198 | Instalación 116 | 9,00    | 9,00     | 100,0 %       
Cliente 199 | Instalación 16  | 7,00    | 7,00     | 100,0 %       
Cliente 200 | Instalación 138 | 6,00    | 6,00     | 100,0 %       
Cliente 201 | Instalación 162 | 7,00    | 7,00     | 100,0 %       
Cliente 202 | Instalación 40  | 14,00   | 14,00    | 100,0 %       
Cliente 203 | Instalación 6   | 15,00   | 13,00    | 86,7 %        
Cliente 203 | Instalación 151 | 15,00   | 2,00     | 13,3 %        
Cliente 204 | Instalación 62  | 18,00   | 12,00    | 66,7 %        
Cliente 204 | Instalación 132 | 18,00   | 6,00     | 33,3 %        
Cliente 205 | Instalación 118 | 19,00   | 19,00    | 100,0 %       
Cliente 206 | Instalación 186 | 9,00    | 9,00     | 100,0 %       
Cliente 207 | Instalación 35  | 18,00   | 18,00    | 100,0 %       
Cliente 208 | Instalación 17  | 20,00   | 20,00    | 100,0 %       
Cliente 209 | Instalación 68  | 20,00   | 20,00    | 100,0 %       
Cliente 210 | Instalación 195 | 13,00   | 13,00    | 100,0 %       
Cliente 211 | Instalación 16  | 7,00    | 7,00     | 100,0 %       
Cliente 212 | Instalación 68  | 14,00   | 14,00    | 100,0 %       
Cliente 213 | Instalación 97  | 18,00   | 18,00    | 100,0 %       
Cliente 214 | Instalación 56  | 17,00   | 17,00    | 100,0 %       
Cliente 215 | Instalación 103 | 15,00   | 15,00    | 100,0 %       
Cliente 216 | Instalación 186 | 20,00   | 20,00    | 100,0 %       
Cliente 217 | Instalación 82  | 19,00   | 19,00    | 100,0 %       
Cliente 218 | Instalación 5   | 11,00   | 3,00     | 27,3 %        
Cliente 218 | Instalación 183 | 11,00   | 8,00     | 72,7 %        
Cliente 219 | Instalación 37  | 5,00    | 5,00     | 100,0 %       
Cliente 220 | Instalación 64  | 10,00   | 10,00    | 100,0 %       
Cliente 221 | Instalación 135 | 17,00   | 17,00    | 100,0 %       
Cliente 222 | Instalación 15  | 6,00    | 6,00     | 100,0 %       
Cliente 223 | Instalación 118 | 7,00    | 7,00     | 100,0 %       
Cliente 224 | Instalación 52  | 18,00   | 17,00    | 94,4 %        
Cliente 224 | Instalación 85  | 18,00   | 1,00     | 5,6 %         
Cliente 225 | Instalación 145 | 9,00    | 9,00     | 100,0 %       
Cliente 226 | Instalación 2   | 7,00    | 5,00     | 71,4 %        
Cliente 226 | Instalación 35  | 7,00    | 2,00     | 28,6 %        
Cliente 227 | Instalación 65  | 16,00   | 4,00     | 25,0 %        
Cliente 227 | Instalación 76  | 16,00   | 12,00    | 75,0 %        
Cliente 228 | Instalación 40  | 10,00   | 10,00    | 100,0 %       
Cliente 229 | Instalación 64  | 14,00   | 14,00    | 100,0 %       
Cliente 230 | Instalación 57  | 6,00    | 6,00     | 100,0 %       
Cliente 231 | Instalación 180 | 10,00   | 10,00    | 100,0 %       
Cliente 232 | Instalación 48  | 14,00   | 14,00    | 100,0 %       
Cliente 233 | Instalación 16  | 11,00   | 11,00    | 100,0 %       
Cliente 234 | Instalación 178 | 17,00   | 17,00    | 100,0 %       
Cliente 235 | Instalación 23  | 12,00   | 6,00     | 50,0 %        
Cliente 235 | Instalación 40  | 12,00   | 6,00     | 50,0 %        
Cliente 236 | Instalación 132 | 14,00   | 14,00    | 100,0 %       
Cliente 237 | Instalación 83  | 20,00   | 20,00    | 100,0 %       
Cliente 238 | Instalación 149 | 11,00   | 11,00    | 100,0 %       
Cliente 239 | Instalación 61  | 15,00   | 15,00    | 100,0 %       
Cliente 240 | Instalación 88  | 18,00   | 18,00    | 100,0 %       
Cliente 241 | Instalación 195 | 17,00   | 17,00    | 100,0 %       
Cliente 242 | Instalación 187 | 5,00    | 5,00     | 100,0 %       
Cliente 243 | Instalación 170 | 14,00   | 14,00    | 100,0 %       
Cliente 244 | Instalación 118 | 20,00   | 16,00    | 80,0 %        
Cliente 244 | Instalación 159 | 20,00   | 4,00     | 20,0 %        
Cliente 245 | Instalación 48  | 17,00   | 17,00    | 100,0 %       
Cliente 246 | Instalación 132 | 5,00    | 5,00     | 100,0 %       
Cliente 247 | Instalación 15  | 17,00   | 17,00    | 100,0 %       
Cliente 248 | Instalación 132 | 6,00    | 6,00     | 100,0 %       
Cliente 249 | Instalación 144 | 12,00   | 12,00    | 100,0 %       
Cliente 250 | Instalación 43  | 16,00   | 16,00    | 100,0 %       
Cliente 251 | Instalación 138 | 19,00   | 19,00    | 100,0 %       
Cliente 252 | Instalación 145 | 8,00    | 8,00     | 100,0 %       
Cliente 253 | Instalación 169 | 9,00    | 9,00     | 100,0 %       
Cliente 254 | Instalación 183 | 8,00    | 8,00     | 100,0 %       
Cliente 255 | Instalación 92  | 14,00   | 14,00    | 100,0 %       
Cliente 256 | Instalación 88  | 5,00    | 5,00     | 100,0 %       
Cliente 257 | Instalación 88  | 18,00   | 18,00    | 100,0 %       
Cliente 258 | Instalación 71  | 11,00   | 11,00    | 100,0 %       
Cliente 259 | Instalación 132 | 8,00    | 8,00     | 100,0 %       
Cliente 260 | Instalación 2   | 16,00   | 16,00    | 100,0 %       
Cliente 261 | Instalación 92  | 12,00   | 12,00    | 100,0 %       
Cliente 262 | Instalación 16  | 10,00   | 10,00    | 100,0 %       
Cliente 263 | Instalación 83  | 18,00   | 18,00    | 100,0 %       
Cliente 264 | Instalación 120 | 7,00    | 7,00     | 100,0 %       
Cliente 265 | Instalación 110 | 6,00    | 5,00     | 83,3 %        
Cliente 265 | Instalación 178 | 6,00    | 1,00     | 16,7 %        
Cliente 266 | Instalación 88  | 13,00   | 2,00     | 15,4 %        
Cliente 266 | Instalación 175 | 13,00   | 11,00    | 84,6 %        
Cliente 267 | Instalación 104 | 12,00   | 12,00    | 100,0 %       
Cliente 268 | Instalación 131 | 15,00   | 15,00    | 100,0 %       
Cliente 269 | Instalación 185 | 13,00   | 13,00    | 100,0 %       
Cliente 270 | Instalación 16  | 5,00    | 5,00     | 100,0 %       
Cliente 271 | Instalación 187 | 13,00   | 13,00    | 100,0 %       
Cliente 272 | Instalación 159 | 12,00   | 12,00    | 100,0 %       
Cliente 273 | Instalación 64  | 10,00   | 1,00     | 10,0 %        
Cliente 273 | Instalación 132 | 10,00   | 9,00     | 90,0 %        
Cliente 274 | Instalación 154 | 12,00   | 12,00    | 100,0 %       
Cliente 275 | Instalación 85  | 16,00   | 16,00    | 100,0 %       
Cliente 276 | Instalación 103 | 9,00    | 9,00     | 100,0 %       
Cliente 277 | Instalación 185 | 16,00   | 16,00    | 100,0 %       
Cliente 278 | Instalación 98  | 7,00    | 7,00     | 100,0 %       
Cliente 279 | Instalación 180 | 13,00   | 13,00    | 100,0 %       
Cliente 280 | Instalación 130 | 20,00   | 20,00    | 100,0 %       
Cliente 281 | Instalación 124 | 10,00   | 10,00    | 100,0 %       
Cliente 282 | Instalación 98  | 16,00   | 16,00    | 100,0 %       
Cliente 283 | Instalación 64  | 10,00   | 10,00    | 100,0 %       
Cliente 284 | Instalación 96  | 11,00   | 11,00    | 100,0 %       
Cliente 285 | Instalación 82  | 13,00   | 13,00    | 100,0 %       
Cliente 286 | Instalación 135 | 5,00    | 5,00     | 100,0 %       
Cliente 287 | Instalación 151 | 14,00   | 14,00    | 100,0 %       
Cliente 288 | Instalación 193 | 11,00   | 11,00    | 100,0 %       
Cliente 289 | Instalación 149 | 20,00   | 10,00    | 50,0 %        
Cliente 289 | Instalación 187 | 20,00   | 10,00    | 50,0 %        
Cliente 290 | Instalación 188 | 6,00    | 6,00     | 100,0 %       
Cliente 291 | Instalación 188 | 8,00    | 8,00     | 100,0 %       
Cliente 292 | Instalación 64  | 16,00   | 16,00    | 100,0 %       
Cliente 293 | Instalación 130 | 7,00    | 7,00     | 100,0 %       
Cliente 294 | Instalación 46  | 12,00   | 12,00    | 100,0 %       
Cliente 295 | Instalación 159 | 17,00   | 17,00    | 100,0 %       
Cliente 296 | Instalación 155 | 18,00   | 18,00    | 100,0 %       
Cliente 297 | Instalación 82  | 17,00   | 17,00    | 100,0 %       
Cliente 298 | Instalación 82  | 16,00   | 16,00    | 100,0 %       
Cliente 299 | Instalación 110 | 7,00    | 2,00     | 28,6 %        
Cliente 299 | Instalación 155 | 7,00    | 5,00     | 71,4 %        
Cliente 300 | Instalación 56  | 7,00    | 7,00     | 100,0 %       
Cliente 301 | Instalación 78  | 6,00    | 6,00     | 100,0 %       
Cliente 302 | Instalación 1   | 10,00   | 10,00    | 100,0 %       
Cliente 303 | Instalación 31  | 17,00   | 17,00    | 100,0 %       
Cliente 304 | Instalación 9   | 18,00   | 6,00     | 33,3 %        
Cliente 304 | Instalación 65  | 18,00   | 12,00    | 66,7 %        
Cliente 305 | Instalación 118 | 9,00    | 9,00     | 100,0 %       
Cliente 306 | Instalación 27  | 12,00   | 12,00    | 100,0 %       
Cliente 307 | Instalación 140 | 15,00   | 15,00    | 100,0 %       
Cliente 308 | Instalación 162 | 7,00    | 7,00     | 100,0 %       
Cliente 309 | Instalación 180 | 11,00   | 11,00    | 100,0 %       
Cliente 310 | Instalación 190 | 17,00   | 17,00    | 100,0 %       
Cliente 311 | Instalación 97  | 17,00   | 17,00    | 100,0 %       
Cliente 312 | Instalación 155 | 5,00    | 5,00     | 100,0 %       
Cliente 313 | Instalación 17  | 8,00    | 4,00     | 50,0 %        
Cliente 313 | Instalación 92  | 8,00    | 4,00     | 50,0 %        
Cliente 314 | Instalación 130 | 10,00   | 10,00    | 100,0 %       
Cliente 315 | Instalación 191 | 15,00   | 15,00    | 100,0 %       
Cliente 316 | Instalación 16  | 8,00    | 8,00     | 100,0 %       
Cliente 317 | Instalación 124 | 14,00   | 14,00    | 100,0 %       
Cliente 318 | Instalación 185 | 17,00   | 17,00    | 100,0 %       
Cliente 319 | Instalación 6   | 15,00   | 15,00    | 100,0 %       
Cliente 320 | Instalación 116 | 5,00    | 5,00     | 100,0 %       
Cliente 321 | Instalación 17  | 5,00    | 5,00     | 100,0 %       
Cliente 322 | Instalación 5   | 13,00   | 13,00    | 100,0 %       
Cliente 323 | Instalación 110 | 11,00   | 11,00    | 100,0 %       
Cliente 324 | Instalación 17  | 17,00   | 17,00    | 100,0 %       
Cliente 325 | Instalación 56  | 17,00   | 17,00    | 100,0 %       
Cliente 326 | Instalación 154 | 6,00    | 6,00     | 100,0 %       
Cliente 327 | Instalación 56  | 9,00    | 9,00     | 100,0 %       
Cliente 328 | Instalación 57  | 15,00   | 15,00    | 100,0 %       
Cliente 329 | Instalación 110 | 13,00   | 13,00    | 100,0 %       
Cliente 330 | Instalación 180 | 5,00    | 5,00     | 100,0 %       
Cliente 331 | Instalación 15  | 17,00   | 17,00    | 100,0 %       
Cliente 332 | Instalación 110 | 12,00   | 12,00    | 100,0 %       
Cliente 333 | Instalación 27  | 19,00   | 19,00    | 100,0 %       
Cliente 334 | Instalación 185 | 7,00    | 7,00     | 100,0 %       
Cliente 335 | Instalación 138 | 8,00    | 8,00     | 100,0 %       
Cliente 336 | Instalación 191 | 14,00   | 14,00    | 100,0 %       
Cliente 337 | Instalación 76  | 16,00   | 16,00    | 100,0 %       
Cliente 338 | Instalación 124 | 19,00   | 19,00    | 100,0 %       
Cliente 339 | Instalación 152 | 5,00    | 5,00     | 100,0 %       
Cliente 340 | Instalación 31  | 12,00   | 9,00     | 75,0 %        
Cliente 340 | Instalación 43  | 12,00   | 3,00     | 25,0 %        
Cliente 341 | Instalación 31  | 13,00   | 12,00    | 92,3 %        
Cliente 341 | Instalación 71  | 13,00   | 1,00     | 7,7 %         
Cliente 342 | Instalación 162 | 17,00   | 17,00    | 100,0 %       
Cliente 343 | Instalación 154 | 15,00   | 15,00    | 100,0 %       
Cliente 344 | Instalación 193 | 10,00   | 10,00    | 100,0 %       
Cliente 345 | Instalación 131 | 8,00    | 8,00     | 100,0 %       
Cliente 346 | Instalación 188 | 9,00    | 9,00     | 100,0 %       
Cliente 347 | Instalación 23  | 10,00   | 10,00    | 100,0 %       
Cliente 348 | Instalación 138 | 7,00    | 7,00     | 100,0 %       
Cliente 349 | Instalación 9   | 16,00   | 14,00    | 87,5 %        
