
--- TABLA 4: SOLUCIÓN DE APERTURA DE INSTALACIONES ---
Instalación     | Estado  | Coste Fijo
Instalación 61  | Abierta | 570,00    
Instalación 62  | Abierta | 380,00    
Instalación 63  | Abierta | 730,00    
Instalación 64  | Abierta | 660,00    
Instalación 65  | Abierta | 440,00    
Instalación 66  | Abierta | 670,00    
Instalación 67  | Abierta | 1080,00   
Instalación 68  | Abierta | 670,00    
Instalación 69  | Cerrada | 0,00      
Instalación 70  | Abierta | 590,00    
Instalación 71  | Abierta | 830,00    
Instalación 72  | Abierta | 330,00    
Instalación 73  | Abierta | 290,00    
Instalación 74  | Abierta | 850,00    
Instalación 75  | Cerrada | 0,00      
Instalación 76  | Cerrada | 0,00      
Instalación 77  | Cerrada | 0,00      
Instalación 78  | Abierta | 220,00    
Instalación 79  | Cerrada | 0,00      
Instalación 80  | Cerrada | 0,00      
Instalación 81  | Cerrada | 0,00      
Instalación 82  | Abierta | 950,00    
Instalación 83  | Abierta | 1010,00   
Instalación 84  | Cerrada | 0,00      
Instalación 85  | Abierta | 300,00    
Instalación 86  | Cerrada | 0,00      
Instalación 87  | Cerrada | 0,00      
Instalación 88  | Abierta | 440,00    
Instalación 89  | Cerrada | 0,00      
Instalación 90  | Abierta | 460,00    
Instalación 91  | Cerrada | 0,00      
Instalación 92  | Abierta | 320,00    
Instalación 93  | Cerrada | 0,00      
Instalación 94  | Abierta | 290,00    
Instalación 95  | Cerrada | 0,00      
Instalación 96  | Abierta | 660,00    
Instalación 97  | Abierta | 870,00    
Instalación 98  | Abierta | 440,00    
Instalación 99  | Cerrada | 0,00      
Instalación 100 | Abierta | 390,00    
Instalación 101 | Cerrada | 0,00      
Instalación 102 | Cerrada | 0,00      
Instalación 103 | Cerrada | 0,00      
Instalación 104 | Abierta | 790,00    
Instalación 105 | Abierta | 850,00    
Instalación 106 | Abierta | 350,00    
Instalación 107 | Cerrada | 0,00      
Instalación 108 | Cerrada | 0,00      
Instalación 109 | Cerrada | 0,00      
Instalación 110 | Cerrada | 0,00      
Instalación 111 | Cerrada | 0,00      
Instalación 112 | Cerrada | 0,00      
Instalación 113 | Cerrada | 0,00      
Instalación 114 | Cerrada | 0,00      
Instalación 115 | Cerrada | 0,00      
Instalación 116 | Abierta | 460,00    
Instalación 117 | Cerrada | 0,00      
Instalación 118 | Cerrada | 0,00      
Instalación 119 | Abierta | 800,00    
Instalación 120 | Abierta | 500,00    
Instalación 121 | Abierta | 290,00    
Instalación 122 | Cerrada | 0,00      
Instalación 123 | Cerrada | 0,00      
Instalación 124 | Cerrada | 0,00      
Instalación 125 | Abierta | 770,00    
Instalación 126 | Abierta | 620,00    
Instalación 127 | Cerrada | 0,00      
Instalación 128 | Cerrada | 0,00      
Instalación 129 | Cerrada | 0,00      
Instalación 130 | Cerrada | 0,00      
Instalación 131 | Abierta | 500,00    
Instalación 132 | Abierta | 850,00    
Instalación 133 | Abierta | 370,00    
Instalación 134 | Cerrada | 0,00      
Instalación 135 | Abierta | 450,00    
Instalación 136 | Abierta | 650,00    
Instalación 137 | Cerrada | 0,00      
Instalación 138 | Abierta | 730,00    
Instalación 139 | Cerrada | 0,00      
Instalación 140 | Cerrada | 0,00      
Instalación 141 | Cerrada | 0,00      
Instalación 142 | Abierta | 860,00    
Instalación 143 | Abierta | 750,00    
Instalación 144 | Abierta | 900,00    
Instalación 145 | Abierta | 730,00    
Instalación 146 | Abierta | 670,00    
Instalación 147 | Abierta | 380,00    
Instalación 148 | Cerrada | 0,00      
Instalación 149 | Abierta | 750,00    
Instalación 150 | Abierta | 250,00    
Instalación 151 | Abierta | 450,00    
Instalación 152 | Abierta | 360,00    
Instalación 153 | Cerrada | 0,00      
Instalación 154 | Abierta | 620,00    
Instalación 155 | Abierta | 300,00    
Instalación 156 | Cerrada | 0,00      
Instalación 157 | Cerrada | 0,00      
Instalación 158 | Abierta | 280,00    
Instalación 159 | Abierta | 500,00    
Instalación 160 | Cerrada | 0,00      
Instalación 161 | Abierta | 810,00    
Instalación 162 | Cerrada | 0,00      
Instalación 163 | Cerrada | 0,00      
Instalación 164 | Cerrada | 0,00      
Instalación 165 | Cerrada | 0,00      
Instalación 166 | Cerrada | 0,00      
Instalación 167 | Cerrada | 0,00      
Instalación 168 | Cerrada | 0,00      
Instalación 169 | Abierta | 480,00    
Instalación 170 | Abierta | 760,00    
Instalación 171 | Cerrada | 0,00      
Instalación 172 | Cerrada | 0,00      
Instalación 173 | Cerrada | 0,00      
Instalación 174 | Abierta | 930,00    
Instalación 175 | Cerrada | 0,00      
Instalación 176 | Cerrada | 0,00      
Instalación 177 | Cerrada | 0,00      
Instalación 178 | Abierta | 750,00    
Instalación 179 | Abierta | 500,00    
Instalación 180 | Abierta | 620,00    
Instalación 181 | Cerrada | 0,00      
Instalación 182 | Cerrada | 0,00      
Instalación 183 | Abierta | 860,00    
Instalación 184 | Cerrada | 0,00      
Instalación 185 | Abierta | 600,00    
Instalación 186 | Abierta | 320,00    
Instalación 187 | Cerrada | 0,00      
Instalación 188 | Abierta | 300,00    
Instalación 189 | Cerrada | 0,00      
Instalación 190 | Abierta | 510,00    
Instalación 191 | Abierta | 330,00    
Instalación 192 | Cerrada | 0,00      
Instalación 193 | Abierta | 600,00    
Instalación 194 | Cerrada | 0,00      
Instalación 195 | Cerrada | 0,00      
Instalación 196 | Abierta | 640,00    
Instalación 197 | Cerrada | 0,00      
Instalación 198 | Cerrada | 0,00      
Instalación 199 | Cerrada | 0,00      
TOTAL           |         | 57680,00  
