
--- TABLA 6: VERIFICACIÓN DE RESTRICCIONES ---
Capacidad
Instalación     | Carga Total | Capacidad | Estado 
Instalación 181 | 100,00      | 100,00    | ✓Límite
Instalación 182 | 0,00        | 100,00    | ✓OK    
Instalación 183 | 0,00        | 40,00     | ✓OK    
Instalación 184 | 0,00        | 60,00     | ✓OK    
Instalación 185 | 0,00        | 80,00     | ✓OK    
Instalación 186 | 0,00        | 60,00     | ✓OK    
Instalación 187 | 0,00        | 30,00     | ✓OK    
Instalación 188 | 29,00       | 30,00     | ✓OK    
Instalación 189 | 0,00        | 80,00     | ✓OK    
Instalación 190 | 28,00       | 30,00     | ✓OK    
Instalación 191 | 40,00       | 40,00     | ✓Límite
Instalación 192 | 60,00       | 60,00     | ✓Límite
Instalación 193 | 0,00        | 100,00    | ✓OK    
Instalación 194 | 63,00       | 70,00     | ✓OK    
Instalación 195 | 70,00       | 70,00     | ✓Límite
Instalación 196 | 0,00        | 30,00     | ✓OK    
Instalación 197 | 40,00       | 40,00     | ✓Límite
Instalación 198 | 40,00       | 40,00     | ✓Límite
Instalación 199 | 0,00        | 90,00     | ✓OK    
Instalación 200 | 0,00        | 90,00     | ✓OK    
Instalación 201 | 99,00       | 100,00    | ✓OK    
Instalación 202 | 97,00       | 100,00    | ✓OK    
Instalación 203 | 38,00       | 40,00     | ✓OK    
Instalación 204 | 65,00       | 70,00     | ✓OK    
Instalación 205 | 49,00       | 50,00     | ✓OK    
Instalación 206 | 0,00        | 80,00     | ✓OK    
Instalación 207 | 90,00       | 90,00     | ✓Límite
Instalación 208 | 40,00       | 40,00     | ✓Límite
Instalación 209 | 60,00       | 60,00     | ✓Límite
Instalación 210 | 40,00       | 40,00     | ✓Límite
Instalación 211 | 0,00        | 60,00     | ✓OK    
Instalación 212 | 0,00        | 100,00    | ✓OK    
Instalación 213 | 0,00        | 80,00     | ✓OK    
Instalación 214 | 0,00        | 90,00     | ✓OK    
Instalación 215 | 100,00      | 100,00    | ✓Límite
Instalación 216 | 60,00       | 60,00     | ✓Límite
Instalación 217 | 0,00        | 100,00    | ✓OK    
Instalación 218 | 0,00        | 60,00     | ✓OK    
Instalación 219 | 0,00        | 80,00     | ✓OK    
Instalación 220 | 0,00        | 90,00     | ✓OK    
Instalación 221 | 0,00        | 80,00     | ✓OK    
Instalación 222 | 49,00       | 50,00     | ✓OK    
Instalación 223 | 0,00        | 100,00    | ✓OK    
Instalación 224 | 0,00        | 80,00     | ✓OK    
Instalación 225 | 0,00        | 90,00     | ✓OK    
Instalación 226 | 48,00       | 50,00     | ✓OK    
Instalación 227 | 79,00       | 80,00     | ✓OK    
Instalación 228 | 0,00        | 70,00     | ✓OK    
Instalación 229 | 0,00        | 70,00     | ✓OK    
Instalación 230 | 50,00       | 50,00     | ✓Límite
Instalación 231 | 80,00       | 80,00     | ✓Límite
Instalación 232 | 0,00        | 90,00     | ✓OK    
Instalación 233 | 69,00       | 70,00     | ✓OK    
Instalación 234 | 29,00       | 30,00     | ✓OK    
Instalación 235 | 49,00       | 50,00     | ✓OK    
Instalación 236 | 50,00       | 50,00     | ✓Límite
Instalación 237 | 80,00       | 80,00     | ✓Límite
Instalación 238 | 68,00       | 70,00     | ✓OK    
Instalación 239 | 0,00        | 40,00     | ✓OK    
Instalación 240 | 79,00       | 80,00     | ✓OK    
Instalación 241 | 71,00       | 80,00     | ✓OK    
Instalación 242 | 0,00        | 30,00     | ✓OK    
Instalación 243 | 0,00        | 80,00     | ✓OK    
Instalación 244 | 70,00       | 70,00     | ✓Límite
Instalación 245 | 0,00        | 60,00     | ✓OK    
Instalación 246 | 50,00       | 50,00     | ✓Límite
Instalación 247 | 0,00        | 70,00     | ✓OK    
Instalación 248 | 50,00       | 50,00     | ✓Límite
Instalación 249 | 60,00       | 60,00     | ✓Límite

Incompatibilidades
Par incompatible | Estado
-----------------+-------
-                | ✓OK   
