
--- TABLA 4: SOLUCIÓN DE APERTURA DE INSTALACIONES ---
Instalación     | Estado  | Coste Fijo
Instalación 61  | Cerrada | 0,00      
Instalación 62  | Cerrada | 0,00      
Instalación 63  | Abierta | 390,00    
Instalación 64  | Cerrada | 0,00      
Instalación 65  | Cerrada | 0,00      
Instalación 66  | Abierta | 650,00    
Instalación 67  | Abierta | 790,00    
Instalación 68  | Abierta | 1030,00   
Instalación 69  | Abierta | 1050,00   
Instalación 70  | Cerrada | 0,00      
Instalación 71  | Cerrada | 0,00      
Instalación 72  | Cerrada | 0,00      
Instalación 73  | Abierta | 590,00    
Instalación 74  | Cerrada | 0,00      
Instalación 75  | Cerrada | 0,00      
Instalación 76  | Abierta | 630,00    
Instalación 77  | Cerrada | 0,00      
Instalación 78  | Abierta | 920,00    
Instalación 79  | Abierta | 430,00    
Instalación 80  | Abierta | 1060,00   
Instalación 81  | Abierta | 440,00    
Instalación 82  | Cerrada | 0,00      
Instalación 83  | Abierta | 710,00    
Instalación 84  | Cerrada | 0,00      
Instalación 85  | Cerrada | 0,00      
Instalación 86  | Cerrada | 0,00      
Instalación 87  | Cerrada | 0,00      
Instalación 88  | Cerrada | 0,00      
Instalación 89  | Abierta | 300,00    
Instalación 90  | Cerrada | 0,00      
Instalación 91  | Abierta | 340,00    
Instalación 92  | Abierta | 710,00    
Instalación 93  | Abierta | 530,00    
Instalación 94  | Abierta | 440,00    
Instalación 95  | Cerrada | 0,00      
Instalación 96  | Cerrada | 0,00      
Instalación 97  | Abierta | 390,00    
Instalación 98  | Cerrada | 0,00      
Instalación 99  | Abierta | 550,00    
Instalación 100 | Abierta | 610,00    
Instalación 101 | Abierta | 960,00    
Instalación 102 | Cerrada | 0,00      
Instalación 103 | Abierta | 990,00    
Instalación 104 | Abierta | 350,00    
Instalación 105 | Cerrada | 0,00      
Instalación 106 | Cerrada | 0,00      
Instalación 107 | Cerrada | 0,00      
Instalación 108 | Cerrada | 0,00      
Instalación 109 | Abierta | 840,00    
Instalación 110 | Cerrada | 0,00      
Instalación 111 | Abierta | 510,00    
Instalación 112 | Cerrada | 0,00      
Instalación 113 | Cerrada | 0,00      
Instalación 114 | Abierta | 450,00    
Instalación 115 | Cerrada | 0,00      
Instalación 116 | Cerrada | 0,00      
Instalación 117 | Cerrada | 0,00      
Instalación 118 | Cerrada | 0,00      
Instalación 119 | Abierta | 430,00    
Instalación 120 | Abierta | 220,00    
Instalación 121 | Cerrada | 0,00      
Instalación 122 | Cerrada | 0,00      
Instalación 123 | Cerrada | 0,00      
Instalación 124 | Abierta | 500,00    
Instalación 125 | Cerrada | 0,00      
Instalación 126 | Cerrada | 0,00      
Instalación 127 | Cerrada | 0,00      
Instalación 128 | Cerrada | 0,00      
Instalación 129 | Abierta | 670,00    
Instalación 130 | Abierta | 480,00    
Instalación 131 | Cerrada | 0,00      
Instalación 132 | Cerrada | 0,00      
Instalación 133 | Abierta | 390,00    
Instalación 134 | Cerrada | 0,00      
Instalación 135 | Cerrada | 0,00      
Instalación 136 | Abierta | 1070,00   
Instalación 137 | Abierta | 640,00    
Instalación 138 | Abierta | 430,00    
Instalación 139 | Abierta | 400,00    
Instalación 140 | Cerrada | 0,00      
Instalación 141 | Abierta | 520,00    
Instalación 142 | Cerrada | 0,00      
Instalación 143 | Abierta | 480,00    
Instalación 144 | Abierta | 260,00    
Instalación 145 | Cerrada | 0,00      
Instalación 146 | Abierta | 630,00    
Instalación 147 | Cerrada | 0,00      
Instalación 148 | Cerrada | 0,00      
Instalación 149 | Abierta | 590,00    
Instalación 150 | Cerrada | 0,00      
Instalación 151 | Cerrada | 0,00      
Instalación 152 | Cerrada | 0,00      
Instalación 153 | Abierta | 350,00    
Instalación 154 | Cerrada | 0,00      
Instalación 155 | Cerrada | 0,00      
Instalación 156 | Abierta | 580,00    
Instalación 157 | Cerrada | 0,00      
Instalación 158 | Cerrada | 0,00      
Instalación 159 | Abierta | 280,00    
Instalación 160 | Abierta | 780,00    
Instalación 161 | Abierta | 290,00    
Instalación 162 | Cerrada | 0,00      
Instalación 163 | Abierta | 560,00    
Instalación 164 | Abierta | 730,00    
Instalación 165 | Abierta | 390,00    
Instalación 166 | Abierta | 660,00    
Instalación 167 | Abierta | 550,00    
Instalación 168 | Cerrada | 0,00      
Instalación 169 | Abierta | 570,00    
Instalación 170 | Abierta | 480,00    
Instalación 171 | Cerrada | 0,00      
Instalación 172 | Cerrada | 0,00      
Instalación 173 | Abierta | 640,00    
Instalación 174 | Cerrada | 0,00      
Instalación 175 | Abierta | 330,00    
Instalación 176 | Abierta | 290,00    
Instalación 177 | Cerrada | 0,00      
Instalación 178 | Abierta | 940,00    
Instalación 179 | Abierta | 1090,00   
Instalación 180 | Cerrada | 0,00      
Instalación 181 | Abierta | 1030,00   
Instalación 182 | Cerrada | 0,00      
Instalación 183 | Cerrada | 0,00      
Instalación 184 | Cerrada | 0,00      
Instalación 185 | Cerrada | 0,00      
Instalación 186 | Cerrada | 0,00      
Instalación 187 | Cerrada | 0,00      
Instalación 188 | Abierta | 260,00    
Instalación 189 | Cerrada | 0,00      
Instalación 190 | Abierta | 310,00    
Instalación 191 | Abierta | 280,00    
Instalación 192 | Abierta | 510,00    
Instalación 193 | Cerrada | 0,00      
Instalación 194 | Abierta | 500,00    
Instalación 195 | Abierta | 750,00    
Instalación 196 | Cerrada | 0,00      
Instalación 197 | Abierta | 330,00    
Instalación 198 | Abierta | 370,00    
Instalación 199 | Cerrada | 0,00      
Instalación 200 | Cerrada | 0,00      
Instalación 201 | Abierta | 770,00    
Instalación 202 | Abierta | 1140,00   
Instalación 203 | Abierta | 290,00    
Instalación 204 | Abierta | 500,00    
Instalación 205 | Abierta | 550,00    
Instalación 206 | Cerrada | 0,00      
Instalación 207 | Abierta | 990,00    
Instalación 208 | Abierta | 370,00    
Instalación 209 | Abierta | 720,00    
Instalación 210 | Abierta | 300,00    
Instalación 211 | Cerrada | 0,00      
Instalación 212 | Cerrada | 0,00      
Instalación 213 | Cerrada | 0,00      
Instalación 214 | Cerrada | 0,00      
Instalación 215 | Abierta | 850,00    
Instalación 216 | Abierta | 590,00    
Instalación 217 | Cerrada | 0,00      
Instalación 218 | Cerrada | 0,00      
Instalación 219 | Cerrada | 0,00      
Instalación 220 | Cerrada | 0,00      
Instalación 221 | Cerrada | 0,00      
Instalación 222 | Abierta | 570,00    
Instalación 223 | Cerrada | 0,00      
Instalación 224 | Cerrada | 0,00      
Instalación 225 | Cerrada | 0,00      
Instalación 226 | Abierta | 540,00    
Instalación 227 | Abierta | 600,00    
Instalación 228 | Cerrada | 0,00      
Instalación 229 | Cerrada | 0,00      
Instalación 230 | Abierta | 440,00    
Instalación 231 | Abierta | 770,00    
Instalación 232 | Cerrada | 0,00      
Instalación 233 | Abierta | 620,00    
Instalación 234 | Abierta | 210,00    
Instalación 235 | Abierta | 430,00    
Instalación 236 | Abierta | 550,00    
Instalación 237 | Abierta | 890,00    
Instalación 238 | Abierta | 630,00    
Instalación 239 | Cerrada | 0,00      
Instalación 240 | Abierta | 1030,00   
Instalación 241 | Abierta | 600,00    
Instalación 242 | Cerrada | 0,00      
Instalación 243 | Cerrada | 0,00      
Instalación 244 | Abierta | 750,00    
Instalación 245 | Cerrada | 0,00      
Instalación 246 | Abierta | 390,00    
Instalación 247 | Cerrada | 0,00      
Instalación 248 | Abierta | 410,00    
Instalación 249 | Abierta | 560,00    
TOTAL           |         | 72270,00  
