
--- TABLA 4: SOLUCIÓN DE APERTURA DE INSTALACIONES ---
Instalación     | Estado  | Coste Fijo
Instalación 254 | Abierta | 910,00    
Instalación 255 | Abierta | 690,00    
Instalación 256 | Cerrada | 0,00      
Instalación 257 | Abierta | 450,00    
Instalación 258 | Cerrada | 0,00      
Instalación 259 | Abierta | 720,00    
Instalación 260 | Abierta | 290,00    
Instalación 261 | Abierta | 360,00    
Instalación 262 | Abierta | 510,00    
Instalación 263 | Cerrada | 0,00      
Instalación 264 | Cerrada | 0,00      
Instalación 265 | Cerrada | 0,00      
Instalación 266 | Abierta | 670,00    
Instalación 267 | Abierta | 800,00    
Instalación 268 | Abierta | 220,00    
Instalación 269 | Abierta | 220,00    
Instalación 270 | Cerrada | 0,00      
Instalación 271 | Cerrada | 0,00      
Instalación 272 | Cerrada | 0,00      
Instalación 273 | Cerrada | 0,00      
Instalación 274 | Cerrada | 0,00      
Instalación 275 | Abierta | 320,00    
Instalación 276 | Abierta | 530,00    
Instalación 277 | Cerrada | 0,00      
Instalación 278 | Abierta | 750,00    
Instalación 279 | Abierta | 1000,00   
Instalación 280 | Abierta | 500,00    
Instalación 281 | Cerrada | 0,00      
Instalación 282 | Cerrada | 0,00      
Instalación 283 | Cerrada | 0,00      
Instalación 284 | Cerrada | 0,00      
Instalación 285 | Abierta | 240,00    
Instalación 286 | Cerrada | 0,00      
Instalación 287 | Abierta | 460,00    
Instalación 288 | Cerrada | 0,00      
Instalación 289 | Abierta | 350,00    
Instalación 290 | Cerrada | 0,00      
Instalación 291 | Cerrada | 0,00      
Instalación 292 | Abierta | 780,00    
Instalación 293 | Abierta | 220,00    
Instalación 294 | Abierta | 750,00    
Instalación 295 | Abierta | 470,00    
Instalación 296 | Abierta | 210,00    
Instalación 297 | Abierta | 380,00    
Instalación 298 | Cerrada | 0,00      
Instalación 299 | Cerrada | 0,00      
Instalación 300 | Abierta | 730,00    
Instalación 301 | Abierta | 500,00    
Instalación 302 | Abierta | 660,00    
Instalación 303 | Cerrada | 0,00      
Instalación 304 | Abierta | 830,00    
Instalación 305 | Cerrada | 0,00      
Instalación 306 | Abierta | 540,00    
Instalación 307 | Cerrada | 0,00      
Instalación 308 | Abierta | 440,00    
Instalación 309 | Cerrada | 0,00      
Instalación 310 | Abierta | 290,00    
Instalación 311 | Abierta | 580,00    
Instalación 312 | Abierta | 480,00    
Instalación 313 | Cerrada | 0,00      
Instalación 314 | Abierta | 510,00    
Instalación 315 | Cerrada | 0,00      
Instalación 316 | Cerrada | 0,00      
Instalación 317 | Cerrada | 0,00      
Instalación 318 | Cerrada | 0,00      
Instalación 319 | Cerrada | 0,00      
Instalación 320 | Cerrada | 0,00      
Instalación 321 | Cerrada | 0,00      
Instalación 322 | Cerrada | 0,00      
Instalación 323 | Cerrada | 0,00      
Instalación 324 | Cerrada | 0,00      
Instalación 325 | Cerrada | 0,00      
Instalación 326 | Abierta | 270,00    
Instalación 327 | Abierta | 290,00    
Instalación 328 | Cerrada | 0,00      
Instalación 329 | Cerrada | 0,00      
Instalación 330 | Cerrada | 0,00      
Instalación 331 | Cerrada | 0,00      
Instalación 332 | Abierta | 520,00    
Instalación 333 | Cerrada | 0,00      
Instalación 334 | Abierta | 240,00    
Instalación 335 | Abierta | 670,00    
Instalación 336 | Cerrada | 0,00      
Instalación 337 | Cerrada | 0,00      
Instalación 338 | Abierta | 500,00    
Instalación 339 | Abierta | 560,00    
Instalación 340 | Abierta | 490,00    
Instalación 341 | Cerrada | 0,00      
Instalación 342 | Abierta | 340,00    
Instalación 343 | Abierta | 580,00    
Instalación 344 | Abierta | 360,00    
Instalación 345 | Cerrada | 0,00      
Instalación 346 | Cerrada | 0,00      
Instalación 347 | Abierta | 710,00    
Instalación 348 | Cerrada | 0,00      
Instalación 349 | Cerrada | 0,00      
Instalación 350 | Cerrada | 0,00      
Instalación 351 | Abierta | 240,00    
Instalación 352 | Cerrada | 0,00      
Instalación 353 | Cerrada | 0,00      
Instalación 354 | Cerrada | 0,00      
Instalación 355 | Abierta | 640,00    
Instalación 356 | Abierta | 600,00    
Instalación 357 | Cerrada | 0,00      
Instalación 358 | Abierta | 360,00    
Instalación 359 | Abierta | 340,00    
Instalación 360 | Abierta | 400,00    
Instalación 361 | Abierta | 1030,00   
Instalación 362 | Cerrada | 0,00      
Instalación 363 | Abierta | 320,00    
Instalación 364 | Abierta | 1010,00   
Instalación 365 | Abierta | 710,00    
Instalación 366 | Cerrada | 0,00      
Instalación 367 | Abierta | 570,00    
Instalación 368 | Abierta | 890,00    
Instalación 369 | Abierta | 570,00    
Instalación 370 | Cerrada | 0,00      
Instalación 371 | Cerrada | 0,00      
Instalación 372 | Abierta | 450,00    
Instalación 373 | Cerrada | 0,00      
Instalación 374 | Cerrada | 0,00      
Instalación 375 | Cerrada | 0,00      
Instalación 376 | Abierta | 510,00    
Instalación 377 | Cerrada | 0,00      
Instalación 378 | Cerrada | 0,00      
Instalación 379 | Cerrada | 0,00      
Instalación 380 | Cerrada | 0,00      
Instalación 381 | Cerrada | 0,00      
Instalación 382 | Cerrada | 0,00      
Instalación 383 | Abierta | 310,00    
Instalación 384 | Cerrada | 0,00      
Instalación 385 | Cerrada | 0,00      
Instalación 386 | Cerrada | 0,00      
Instalación 387 | Cerrada | 0,00      
Instalación 388 | Abierta | 480,00    
Instalación 389 | Abierta | 500,00    
Instalación 390 | Abierta | 480,00    
Instalación 391 | Abierta | 480,00    
Instalación 392 | Cerrada | 0,00      
Instalación 393 | Cerrada | 0,00      
Instalación 394 | Abierta | 290,00    
Instalación 395 | Abierta | 650,00    
Instalación 396 | Abierta | 470,00    
Instalación 397 | Abierta | 430,00    
Instalación 398 | Cerrada | 0,00      
Instalación 399 | Abierta | 490,00    
Instalación 400 | Abierta | 1000,00   
Instalación 401 | Abierta | 230,00    
Instalación 402 | Cerrada | 0,00      
Instalación 403 | Abierta | 240,00    
Instalación 404 | Cerrada | 0,00      
Instalación 405 | Abierta | 220,00    
Instalación 406 | Abierta | 390,00    
Instalación 407 | Abierta | 630,00    
Instalación 408 | Abierta | 490,00    
Instalación 409 | Abierta | 630,00    
Instalación 410 | Cerrada | 0,00      
Instalación 411 | Abierta | 810,00    
Instalación 412 | Abierta | 230,00    
Instalación 413 | Abierta | 390,00    
Instalación 414 | Cerrada | 0,00      
Instalación 415 | Abierta | 620,00    
Instalación 416 | Abierta | 870,00    
Instalación 417 | Abierta | 860,00    
Instalación 418 | Cerrada | 0,00      
Instalación 419 | Cerrada | 0,00      
Instalación 420 | Abierta | 770,00    
Instalación 421 | Cerrada | 0,00      
Instalación 422 | Abierta | 310,00    
Instalación 423 | Cerrada | 0,00      
Instalación 424 | Abierta | 400,00    
Instalación 425 | Abierta | 370,00    
Instalación 426 | Abierta | 280,00    
Instalación 427 | Abierta | 590,00    
Instalación 428 | Cerrada | 0,00      
Instalación 429 | Abierta | 440,00    
Instalación 430 | Abierta | 460,00    
Instalación 431 | Cerrada | 0,00      
Instalación 432 | Cerrada | 0,00      
Instalación 433 | Abierta | 730,00    
Instalación 434 | Cerrada | 0,00      
Instalación 435 | Cerrada | 0,00      
Instalación 436 | Abierta | 810,00    
Instalación 437 | Cerrada | 0,00      
Instalación 438 | Cerrada | 0,00      
Instalación 439 | Cerrada | 0,00      
Instalación 440 | Abierta | 680,00    
Instalación 441 | Abierta | 880,00    
Instalación 442 | Abierta | 310,00    
Instalación 443 | Cerrada | 0,00      
Instalación 444 | Abierta | 730,00    
Instalación 445 | Cerrada | 0,00      
Instalación 446 | Cerrada | 0,00      
Instalación 447 | Cerrada | 0,00      
Instalación 448 | Cerrada | 0,00      
Instalación 449 | Cerrada | 0,00      
Instalación 450 | Abierta | 1060,00   
Instalación 451 | Abierta | 430,00    
Instalación 452 | Abierta | 680,00    
Instalación 453 | Abierta | 330,00    
Instalación 454 | Cerrada | 0,00      
Instalación 455 | Abierta | 500,00    
Instalación 456 | Abierta | 290,00    
Instalación 457 | Abierta | 710,00    
Instalación 458 | Abierta | 520,00    
Instalación 459 | Cerrada | 0,00      
Instalación 460 | Abierta | 640,00    
Instalación 461 | Abierta | 690,00    
Instalación 462 | Abierta | 710,00    
Instalación 463 | Cerrada | 0,00      
Instalación 464 | Abierta | 340,00    
Instalación 465 | Abierta | 590,00    
Instalación 466 | Cerrada | 0,00      
Instalación 467 | Cerrada | 0,00      
Instalación 468 | Abierta | 560,00    
Instalación 469 | Cerrada | 0,00      
Instalación 470 | Cerrada | 0,00      
Instalación 471 | Cerrada | 0,00      
Instalación 472 | Cerrada | 0,00      
Instalación 473 | Abierta | 980,00    
Instalación 474 | Abierta | 550,00    
Instalación 475 | Abierta | 530,00    
Instalación 476 | Abierta | 420,00    
Instalación 477 | Cerrada | 0,00      
Instalación 478 | Abierta | 650,00    
Instalación 479 | Abierta | 490,00    
Instalación 480 | Abierta | 500,00    
Instalación 481 | Cerrada | 0,00      
Instalación 482 | Abierta | 420,00    
Instalación 483 | Abierta | 590,00    
Instalación 484 | Abierta | 600,00    
Instalación 485 | Abierta | 810,00    
Instalación 486 | Abierta | 720,00    
Instalación 487 | Cerrada | 0,00      
Instalación 488 | Abierta | 310,00    
Instalación 489 | Cerrada | 0,00      
Instalación 490 | Abierta | 370,00    
Instalación 491 | Abierta | 570,00    
Instalación 492 | Cerrada | 0,00      
Instalación 493 | Abierta | 560,00    
Instalación 494 | Cerrada | 0,00      
Instalación 495 | Abierta | 510,00    
Instalación 496 | Abierta | 430,00    
Instalación 497 | Abierta | 240,00    
Instalación 498 | Abierta | 770,00    
Instalación 499 | Abierta | 360,00    
TOTAL           |         | 143000,00 
