
--- TABLA 7: DESGLOSE DETALLADO DE COSTES VARIABLES DE TRANSPORTE ---
Cliente      | Instalación     | Cantidad (q) | Coste Unitario (c) | Subtotal
Cliente 45   | Instalación 279 | 6,00         | 4,00               | 24,00   
Cliente 46   | Instalación 259 | 6,00         | 2,00               | 12,00   
Cliente 47   | Instalación 11  | 8,00         | 11,00              | 88,00   
Cliente 48   | Instalación 180 | 8,00         | 6,00               | 48,00   
Cliente 49   | Instalación 77  | 7,00         | 2,00               | 14,00   
Cliente 50   | Instalación 452 | 8,00         | 6,00               | 48,00   
Cliente 51   | Instalación 412 | 7,00         | 6,00               | 42,00   
Cliente 52   | Instalación 55  | 12,00        | 3,00               | 36,00   
Cliente 53   | Instalación 474 | 11,00        | 5,00               | 55,00   
Cliente 54   | Instalación 146 | 18,00        | 3,00               | 54,00   
Cliente 55   | Instalación 237 | 10,00        | 2,00               | 20,00   
Cliente 56   | Instalación 497 | 15,00        | 2,00               | 30,00   
Cliente 57   | Instalación 390 | 7,00         | 1,00               | 7,00    
Cliente 58   | Instalación 417 | 15,00        | 1,00               | 15,00   
Cliente 59   | Instalación 278 | 7,00         | 4,00               | 28,00   
Cliente 60   | Instalación 267 | 9,00         | 4,00               | 36,00   
Cliente 61   | Instalación 182 | 7,00         | 2,00               | 14,00   
Cliente 62   | Instalación 76  | 20,00        | 4,00               | 80,00   
Cliente 63   | Instalación 18  | 14,00        | 1,00               | 14,00   
Cliente 64   | Instalación 59  | 17,00        | 2,00               | 34,00   
Cliente 65   | Instalación 131 | 20,00        | 2,00               | 40,00   
Cliente 66   | Instalación 408 | 16,00        | 3,00               | 48,00   
Cliente 67   | Instalación 296 | 17,00        | 3,00               | 51,00   
Cliente 67   | Instalación 450 | 3,00         | 9,00               | 27,00   
Cliente 68   | Instalación 150 | 11,00        | 5,00               | 55,00   
Cliente 69   | Instalación 66  | 9,00         | 9,00               | 81,00   
Cliente 70   | Instalación 232 | 8,00         | 5,00               | 40,00   
Cliente 71   | Instalación 460 | 10,00        | 7,00               | 70,00   
Cliente 72   | Instalación 498 | 9,00         | 1,00               | 9,00    
Cliente 73   | Instalación 186 | 19,00        | 3,00               | 57,00   
Cliente 74   | Instalación 327 | 19,00        | 4,00               | 76,00   
Cliente 75   | Instalación 150 | 15,00        | 2,00               | 30,00   
Cliente 76   | Instalación 266 | 12,00        | 5,00               | 60,00   
Cliente 77   | Instalación 81  | 16,00        | 10,00              | 160,00  
Cliente 78   | Instalación 287 | 12,00        | 1,00               | 12,00   
Cliente 79   | Instalación 16  | 7,00         | 1,00               | 7,00    
Cliente 80   | Instalación 211 | 16,00        | 2,00               | 32,00   
Cliente 81   | Instalación 226 | 17,00        | 2,00               | 34,00   
Cliente 82   | Instalación 473 | 19,00        | 1,00               | 19,00   
Cliente 83   | Instalación 292 | 15,00        | 2,00               | 30,00   
Cliente 84   | Instalación 389 | 11,00        | 3,00               | 33,00   
Cliente 85   | Instalación 156 | 18,00        | 3,00               | 54,00   
Cliente 86   | Instalación 230 | 9,00         | 2,00               | 18,00   
Cliente 87   | Instalación 376 | 20,00        | 1,00               | 20,00   
Cliente 88   | Instalación 187 | 15,00        | 1,00               | 15,00   
Cliente 89   | Instalación 413 | 18,00        | 7,00               | 126,00  
Cliente 90   | Instalación 465 | 15,00        | 7,00               | 105,00  
Cliente 91   | Instalación 306 | 14,00        | 4,00               | 56,00   
Cliente 92   | Instalación 355 | 17,00        | 4,00               | 68,00   
Cliente 93   | Instalación 427 | 16,00        | 2,00               | 32,00   
Cliente 94   | Instalación 285 | 1,00         | 3,00               | 3,00    
Cliente 94   | Instalación 430 | 17,00        | 4,00               | 68,00   
Cliente 95   | Instalación 484 | 8,00         | 2,00               | 16,00   
Cliente 96   | Instalación 159 | 10,00        | 4,00               | 40,00   
Cliente 97   | Instalación 237 | 1,00         | 3,00               | 3,00    
Cliente 97   | Instalación 426 | 6,00         | 3,00               | 18,00   
Cliente 98   | Instalación 397 | 15,00        | 3,00               | 45,00   
Cliente 99   | Instalación 181 | 1,00         | 2,00               | 2,00    
Cliente 99   | Instalación 495 | 19,00        | 5,00               | 95,00   
Cliente 100  | Instalación 461 | 16,00        | 4,00               | 64,00   
Cliente 101  | Instalación 73  | 9,00         | 6,00               | 54,00   
Cliente 102  | Instalación 47  | 14,00        | 5,00               | 70,00   
Cliente 103  | Instalación 314 | 6,00         | 3,00               | 18,00   
Cliente 104  | Instalación 76  | 5,00         | 1,00               | 5,00    
Cliente 105  | Instalación 20  | 5,00         | 7,00               | 35,00   
Cliente 105  | Instalación 116 | 3,00         | 8,00               | 24,00   
Cliente 105  | Instalación 245 | 1,00         | 9,00               | 9,00    
Cliente 105  | Instalación 276 | 2,00         | 7,00               | 14,00   
Cliente 105  | Instalación 473 | 2,00         | 10,00              | 20,00   
Cliente 106  | Instalación 190 | 11,00        | 4,00               | 44,00   
Cliente 107  | Instalación 45  | 5,00         | 6,00               | 30,00   
Cliente 107  | Instalación 268 | 3,00         | 6,00               | 18,00   
Cliente 108  | Instalación 187 | 17,00        | 1,00               | 17,00   
Cliente 109  | Instalación 232 | 15,00        | 2,00               | 30,00   
Cliente 109  | Instalación 456 | 2,00         | 5,00               | 10,00   
Cliente 110  | Instalación 468 | 15,00        | 5,00               | 75,00   
Cliente 111  | Instalación 11  | 10,00        | 8,00               | 80,00   
Cliente 111  | Instalación 34  | 4,00         | 6,00               | 24,00   
Cliente 111  | Instalación 490 | 4,00         | 5,00               | 20,00   
Cliente 112  | Instalación 225 | 7,00         | 1,00               | 7,00    
Cliente 113  | Instalación 106 | 17,00        | 3,00               | 51,00   
Cliente 114  | Instalación 11  | 10,00        | 4,00               | 40,00   
Cliente 115  | Instalación 394 | 10,00        | 1,00               | 10,00   
Cliente 116  | Instalación 189 | 20,00        | 4,00               | 80,00   
Cliente 117  | Instalación 464 | 12,00        | 7,00               | 84,00   
Cliente 118  | Instalación 191 | 6,00         | 3,00               | 18,00   
Cliente 119  | Instalación 359 | 14,00        | 1,00               | 14,00   
Cliente 120  | Instalación 192 | 19,00        | 6,00               | 114,00  
Cliente 121  | Instalación 433 | 14,00        | 6,00               | 84,00   
Cliente 122  | Instalación 213 | 11,00        | 2,00               | 22,00   
Cliente 123  | Instalación 340 | 17,00        | 3,00               | 51,00   
Cliente 124  | Instalación 280 | 18,00        | 5,00               | 90,00   
Cliente 125  | Instalación 495 | 6,00         | 2,00               | 12,00   
Cliente 126  | Instalación 262 | 7,00         | 1,00               | 7,00    
Cliente 127  | Instalación 76  | 10,00        | 3,00               | 30,00   
Cliente 128  | Instalación 34  | 5,00         | 6,00               | 30,00   
Cliente 129  | Instalación 156 | 5,00         | 4,00               | 20,00   
Cliente 130  | Instalación 147 | 18,00        | 2,00               | 36,00   
Cliente 131  | Instalación 343 | 14,00        | 3,00               | 42,00   
Cliente 132  | Instalación 11  | 4,00         | 3,00               | 12,00   
Cliente 132  | Instalación 301 | 3,00         | 3,00               | 9,00    
Cliente 133  | Instalación 460 | 7,00         | 3,00               | 21,00   
Cliente 134  | Instalación 347 | 7,00         | 1,00               | 7,00    
Cliente 135  | Instalación 12  | 16,00        | 1,00               | 16,00   
Cliente 136  | Instalación 424 | 12,00        | 1,00               | 12,00   
Cliente 137  | Instalación 15  | 20,00        | 4,00               | 80,00   
Cliente 138  | Instalación 450 | 13,00        | 4,00               | 52,00   
Cliente 139  | Instalación 401 | 13,00        | 4,00               | 52,00   
Cliente 140  | Instalación 113 | 3,00         | 2,00               | 6,00    
Cliente 140  | Instalación 147 | 11,00        | 3,00               | 33,00   
Cliente 141  | Instalación 171 | 11,00        | 9,00               | 99,00   
Cliente 142  | Instalación 146 | 7,00         | 3,00               | 21,00   
Cliente 143  | Instalación 395 | 5,00         | 6,00               | 30,00   
Cliente 144  | Instalación 64  | 6,00         | 2,00               | 12,00   
Cliente 145  | Instalación 406 | 11,00        | 2,00               | 22,00   
Cliente 146  | Instalación 6   | 15,00        | 1,00               | 15,00   
Cliente 147  | Instalación 302 | 13,00        | 7,00               | 91,00   
Cliente 148  | Instalación 496 | 5,00         | 1,00               | 5,00    
Cliente 149  | Instalación 262 | 20,00        | 2,00               | 40,00   
Cliente 150  | Instalación 498 | 19,00        | 10,00              | 190,00  
Cliente 151  | Instalación 15  | 8,00         | 1,00               | 8,00    
Cliente 152  | Instalación 56  | 17,00        | 2,00               | 34,00   
Cliente 153  | Instalación 367 | 13,00        | 1,00               | 13,00   
Cliente 154  | Instalación 342 | 6,00         | 5,00               | 30,00   
Cliente 155  | Instalación 151 | 5,00         | 2,00               | 10,00   
Cliente 156  | Instalación 292 | 15,00        | 4,00               | 60,00   
Cliente 157  | Instalación 15  | 5,00         | 2,00               | 10,00   
Cliente 157  | Instalación 18  | 2,00         | 6,00               | 12,00   
Cliente 157  | Instalación 29  | 2,00         | 9,00               | 18,00   
Cliente 157  | Instalación 359 | 2,00         | 6,00               | 12,00   
Cliente 158  | Instalación 395 | 7,00         | 1,00               | 7,00    
Cliente 158  | Instalación 403 | 5,00         | 4,00               | 20,00   
Cliente 159  | Instalación 23  | 11,00        | 2,00               | 22,00   
Cliente 160  | Instalación 440 | 7,00         | 3,00               | 21,00   
Cliente 161  | Instalación 15  | 7,00         | 4,00               | 28,00   
Cliente 162  | Instalación 156 | 20,00        | 11,00              | 220,00  
Cliente 163  | Instalación 233 | 3,00         | 3,00               | 9,00    
Cliente 163  | Instalación 297 | 16,00        | 3,00               | 48,00   
Cliente 164  | Instalación 254 | 1,00         | 4,00               | 4,00    
Cliente 164  | Instalación 278 | 4,00         | 4,00               | 16,00   
Cliente 165  | Instalación 416 | 12,00        | 1,00               | 12,00   
Cliente 166  | Instalación 493 | 20,00        | 5,00               | 100,00  
Cliente 167  | Instalación 186 | 8,00         | 1,00               | 8,00    
Cliente 168  | Instalación 182 | 11,00        | 5,00               | 55,00   
Cliente 169  | Instalación 15  | 7,00         | 5,00               | 35,00   
Cliente 170  | Instalación 301 | 16,00        | 10,00              | 160,00  
Cliente 171  | Instalación 390 | 4,00         | 4,00               | 16,00   
Cliente 171  | Instalación 415 | 1,00         | 6,00               | 6,00    
Cliente 172  | Instalación 57  | 16,00        | 1,00               | 16,00   
Cliente 173  | Instalación 172 | 19,00        | 4,00               | 76,00   
Cliente 174  | Instalación 339 | 11,00        | 2,00               | 22,00   
Cliente 175  | Instalación 172 | 16,00        | 1,00               | 16,00   
Cliente 176  | Instalación 109 | 6,00         | 3,00               | 18,00   
Cliente 177  | Instalación 159 | 6,00         | 2,00               | 12,00   
Cliente 178  | Instalación 131 | 15,00        | 2,00               | 30,00   
Cliente 179  | Instalación 212 | 10,00        | 4,00               | 40,00   
Cliente 180  | Instalación 181 | 16,00        | 1,00               | 16,00   
Cliente 181  | Instalación 399 | 12,00        | 4,00               | 48,00   
Cliente 182  | Instalación 77  | 13,00        | 3,00               | 39,00   
Cliente 183  | Instalación 391 | 14,00        | 2,00               | 28,00   
Cliente 184  | Instalación 112 | 9,00         | 2,00               | 18,00   
Cliente 184  | Instalación 261 | 3,00         | 1,00               | 3,00    
Cliente 184  | Instalación 269 | 4,00         | 2,00               | 8,00    
Cliente 185  | Instalación 191 | 5,00         | 3,00               | 15,00   
Cliente 186  | Instalación 29  | 8,00         | 2,00               | 16,00   
Cliente 187  | Instalación 416 | 12,00        | 4,00               | 48,00   
Cliente 188  | Instalación 206 | 11,00        | 8,00               | 88,00   
Cliente 188  | Instalación 214 | 1,00         | 7,00               | 7,00    
Cliente 188  | Instalación 413 | 2,00         | 3,00               | 6,00    
Cliente 189  | Instalación 10  | 15,00        | 5,00               | 75,00   
Cliente 190  | Instalación 462 | 5,00         | 2,00               | 10,00   
Cliente 191  | Instalación 260 | 6,00         | 2,00               | 12,00   
Cliente 192  | Instalación 110 | 8,00         | 3,00               | 24,00   
Cliente 193  | Instalación 45  | 17,00        | 0,00               | 0,00    
Cliente 194  | Instalación 118 | 8,00         | 2,00               | 16,00   
Cliente 195  | Instalación 77  | 11,00        | 2,00               | 22,00   
Cliente 196  | Instalación 399 | 20,00        | 6,00               | 120,00  
Cliente 197  | Instalación 254 | 16,00        | 6,00               | 96,00   
Cliente 198  | Instalación 279 | 13,00        | 7,00               | 91,00   
Cliente 199  | Instalación 415 | 20,00        | 3,00               | 60,00   
Cliente 200  | Instalación 468 | 9,00         | 4,00               | 36,00   
Cliente 201  | Instalación 185 | 7,00         | 9,00               | 63,00   
Cliente 202  | Instalación 390 | 16,00        | 2,00               | 32,00   
Cliente 203  | Instalación 455 | 13,00        | 4,00               | 52,00   
Cliente 204  | Instalación 462 | 16,00        | 5,00               | 80,00   
Cliente 205  | Instalación 22  | 6,00         | 4,00               | 24,00   
Cliente 206  | Instalación 460 | 19,00        | 4,00               | 76,00   
Cliente 207  | Instalación 388 | 5,00         | 5,00               | 25,00   
Cliente 208  | Instalación 29  | 5,00         | 3,00               | 15,00   
Cliente 209  | Instalación 425 | 17,00        | 4,00               | 68,00   
Cliente 210  | Instalación 369 | 9,00         | 0,00               | 0,00    
Cliente 211  | Instalación 400 | 13,00        | 3,00               | 39,00   
Cliente 212  | Instalación 231 | 16,00        | 6,00               | 96,00   
Cliente 212  | Instalación 339 | 2,00         | 3,00               | 6,00    
Cliente 213  | Instalación 117 | 19,00        | 2,00               | 38,00   
Cliente 214  | Instalación 233 | 4,00         | 4,00               | 16,00   
Cliente 214  | Instalación 326 | 6,00         | 4,00               | 24,00   
Cliente 215  | Instalación 396 | 9,00         | 0,00               | 0,00    
Cliente 216  | Instalación 152 | 17,00        | 4,00               | 68,00   
Cliente 217  | Instalación 57  | 14,00        | 2,00               | 28,00   
Cliente 218  | Instalación 347 | 8,00         | 7,00               | 56,00   
Cliente 219  | Instalación 81  | 19,00        | 4,00               | 76,00   
Cliente 220  | Instalación 417 | 12,00        | 5,00               | 60,00   
Cliente 221  | Instalación 250 | 8,00         | 4,00               | 32,00   
Cliente 222  | Instalación 254 | 16,00        | 7,00               | 112,00  
Cliente 223  | Instalación 11  | 11,00        | 6,00               | 66,00   
Cliente 223  | Instalación 476 | 7,00         | 2,00               | 14,00   
Cliente 224  | Instalación 259 | 18,00        | 4,00               | 72,00   
Cliente 225  | Instalación 368 | 10,00        | 4,00               | 40,00   
Cliente 226  | Instalación 115 | 13,00        | 5,00               | 65,00   
Cliente 227  | Instalación 169 | 4,00         | 4,00               | 16,00   
Cliente 227  | Instalación 457 | 11,00        | 1,00               | 11,00   
Cliente 228  | Instalación 314 | 9,00         | 2,00               | 18,00   
Cliente 229  | Instalación 0   | 4,00         | 3,00               | 12,00   
Cliente 229  | Instalación 11  | 6,00         | 9,00               | 54,00   
Cliente 230  | Instalación 20  | 16,00        | 7,00               | 112,00  
Cliente 231  | Instalación 411 | 15,00        | 3,00               | 45,00   
Cliente 232  | Instalación 251 | 4,00         | 4,00               | 16,00   
Cliente 232  | Instalación 347 | 15,00        | 2,00               | 30,00   
Cliente 233  | Instalación 143 | 2,00         | 2,00               | 4,00    
Cliente 233  | Instalación 458 | 12,00        | 2,00               | 24,00   
Cliente 234  | Instalación 33  | 3,00         | 3,00               | 9,00    
Cliente 234  | Instalación 297 | 8,00         | 3,00               | 24,00   
Cliente 235  | Instalación 389 | 16,00        | 6,00               | 96,00   
Cliente 236  | Instalación 364 | 14,00        | 5,00               | 70,00   
Cliente 237  | Instalación 367 | 7,00         | 4,00               | 28,00   
Cliente 238  | Instalación 20  | 7,00         | 5,00               | 35,00   
Cliente 239  | Instalación 143 | 8,00         | 7,00               | 56,00   
Cliente 239  | Instalación 458 | 2,00         | 7,00               | 14,00   
Cliente 240  | Instalación 159 | 7,00         | 2,00               | 14,00   
Cliente 241  | Instalación 69  | 5,00         | 3,00               | 15,00   
Cliente 241  | Instalación 133 | 2,00         | 4,00               | 8,00    
Cliente 242  | Instalación 394 | 5,00         | 0,00               | 0,00    
Cliente 243  | Instalación 221 | 14,00        | 5,00               | 70,00   
Cliente 244  | Instalación 416 | 9,00         | 3,00               | 27,00   
Cliente 245  | Instalación 158 | 16,00        | 2,00               | 32,00   
Cliente 246  | Instalación 83  | 12,00        | 5,00               | 60,00   
Cliente 247  | Instalación 452 | 5,00         | 6,00               | 30,00   
Cliente 248  | Instalación 396 | 15,00        | 4,00               | 60,00   
Cliente 249  | Instalación 15  | 6,00         | 0,00               | 0,00    
Cliente 250  | Instalación 367 | 7,00         | 1,00               | 7,00    
Cliente 251  | Instalación 191 | 14,00        | 3,00               | 42,00   
Cliente 252  | Instalación 158 | 15,00        | 1,00               | 15,00   
Cliente 253  | Instalación 485 | 11,00        | 6,00               | 66,00   
Cliente 254  | Instalación 441 | 17,00        | 1,00               | 17,00   
Cliente 255  | Instalación 66  | 6,00         | 5,00               | 30,00   
Cliente 256  | Instalación 400 | 6,00         | 3,00               | 18,00   
Cliente 257  | Instalación 52  | 14,00        | 5,00               | 70,00   
Cliente 258  | Instalación 182 | 6,00         | 1,00               | 6,00    
Cliente 259  | Instalación 150 | 12,00        | 3,00               | 36,00   
Cliente 260  | Instalación 36  | 6,00         | 2,00               | 12,00   
Cliente 260  | Instalación 388 | 5,00         | 4,00               | 20,00   
Cliente 261  | Instalación 131 | 1,00         | 5,00               | 5,00    
Cliente 261  | Instalación 310 | 10,00        | 4,00               | 40,00   
Cliente 261  | Instalación 460 | 4,00         | 6,00               | 24,00   
Cliente 262  | Instalación 192 | 20,00        | 1,00               | 20,00   
Cliente 263  | Instalación 76  | 10,00        | 2,00               | 20,00   
Cliente 264  | Instalación 155 | 1,00         | 3,00               | 3,00    
Cliente 264  | Instalación 483 | 14,00        | 5,00               | 70,00   
Cliente 265  | Instalación 47  | 17,00        | 2,00               | 34,00   
Cliente 266  | Instalación 184 | 10,00        | 4,00               | 40,00   
Cliente 267  | Instalación 429 | 9,00         | 2,00               | 18,00   
Cliente 268  | Instalación 150 | 7,00         | 5,00               | 35,00   
Cliente 269  | Instalación 361 | 20,00        | 10,00              | 200,00  
Cliente 270  | Instalación 452 | 8,00         | 4,00               | 32,00   
Cliente 271  | Instalación 95  | 15,00        | 1,00               | 15,00   
Cliente 272  | Instalación 158 | 15,00        | 7,00               | 105,00  
Cliente 273  | Instalación 367 | 8,00         | 6,00               | 48,00   
Cliente 273  | Instalación 407 | 1,00         | 3,00               | 3,00    
Cliente 274  | Instalación 47  | 11,00        | 3,00               | 33,00   
Cliente 275  | Instalación 260 | 8,00         | 4,00               | 32,00   
Cliente 276  | Instalación 138 | 17,00        | 2,00               | 34,00   
Cliente 277  | Instalación 34  | 15,00        | 2,00               | 30,00   
Cliente 278  | Instalación 226 | 20,00        | 4,00               | 80,00   
Cliente 279  | Instalación 335 | 18,00        | 6,00               | 108,00  
Cliente 280  | Instalación 451 | 12,00        | 1,00               | 12,00   
Cliente 281  | Instalación 294 | 18,00        | 4,00               | 72,00   
Cliente 282  | Instalación 233 | 20,00        | 4,00               | 80,00   
Cliente 283  | Instalación 276 | 14,00        | 2,00               | 28,00   
Cliente 284  | Instalación 225 | 5,00         | 2,00               | 10,00   
Cliente 284  | Instalación 483 | 4,00         | 6,00               | 24,00   
Cliente 285  | Instalación 167 | 6,00         | 4,00               | 24,00   
Cliente 286  | Instalación 42  | 9,00         | 5,00               | 45,00   
Cliente 287  | Instalación 167 | 20,00        | 2,00               | 40,00   
Cliente 288  | Instalación 244 | 19,00        | 1,00               | 19,00   
Cliente 289  | Instalación 46  | 16,00        | 6,00               | 96,00   
Cliente 290  | Instalación 499 | 10,00        | 6,00               | 60,00   
Cliente 291  | Instalación 408 | 19,00        | 2,00               | 38,00   
Cliente 292  | Instalación 69  | 8,00         | 1,00               | 8,00    
Cliente 293  | Instalación 440 | 13,00        | 2,00               | 26,00   
Cliente 294  | Instalación 83  | 11,00        | 4,00               | 44,00   
Cliente 295  | Instalación 112 | 11,00        | 6,00               | 66,00   
Cliente 296  | Instalación 89  | 4,00         | 4,00               | 16,00   
Cliente 296  | Instalación 278 | 10,00        | 7,00               | 70,00   
Cliente 297  | Instalación 498 | 8,00         | 1,00               | 8,00    
Cliente 298  | Instalación 6   | 12,00        | 4,00               | 48,00   
Cliente 298  | Instalación 401 | 2,00         | 2,00               | 4,00    
Cliente 299  | Instalación 407 | 9,00         | 2,00               | 18,00   
Cliente 300  | Instalación 251 | 6,00         | 3,00               | 18,00   
Cliente 301  | Instalación 150 | 15,00        | 2,00               | 30,00   
Cliente 302  | Instalación 297 | 20,00        | 2,00               | 40,00   
Cliente 303  | Instalación 46  | 10,00        | 4,00               | 40,00   
Cliente 304  | Instalación 480 | 13,00        | 6,00               | 78,00   
Cliente 305  | Instalación 56  | 8,00         | 1,00               | 8,00    
Cliente 306  | Instalación 23  | 3,00         | 4,00               | 12,00   
Cliente 306  | Instalación 462 | 8,00         | 5,00               | 40,00   
Cliente 307  | Instalación 473 | 8,00         | 6,00               | 48,00   
Cliente 308  | Instalación 77  | 7,00         | 1,00               | 7,00    
Cliente 309  | Instalación 407 | 13,00        | 1,00               | 13,00   
Cliente 310  | Instalación 184 | 7,00         | 7,00               | 49,00   
Cliente 311  | Instalación 226 | 12,00        | 2,00               | 24,00   
Cliente 312  | Instalación 34  | 14,00        | 4,00               | 56,00   
Cliente 313  | Instalación 364 | 9,00         | 2,00               | 18,00   
Cliente 314  | Instalación 88  | 10,00        | 5,00               | 50,00   
Cliente 315  | Instalación 42  | 17,00        | 3,00               | 51,00   
Cliente 316  | Instalación 334 | 18,00        | 4,00               | 72,00   
Cliente 317  | Instalación 257 | 13,00        | 3,00               | 39,00   
Cliente 318  | Instalación 233 | 20,00        | 3,00               | 60,00   
Cliente 319  | Instalación 475 | 9,00         | 3,00               | 27,00   
Cliente 320  | Instalación 499 | 12,00        | 1,00               | 12,00   
Cliente 321  | Instalación 115 | 7,00         | 7,00               | 49,00   
Cliente 322  | Instalación 39  | 8,00         | 2,00               | 16,00   
Cliente 323  | Instalación 225 | 12,00        | 3,00               | 36,00   
Cliente 324  | Instalación 138 | 5,00         | 1,00               | 5,00    
Cliente 325  | Instalación 105 | 1,00         | 2,00               | 2,00    
Cliente 325  | Instalación 464 | 5,00         | 1,00               | 5,00    
Cliente 326  | Instalación 109 | 13,00        | 2,00               | 26,00   
Cliente 327  | Instalación 304 | 8,00         | 7,00               | 56,00   
Cliente 328  | Instalación 57  | 11,00        | 4,00               | 44,00   
Cliente 329  | Instalación 420 | 13,00        | 3,00               | 39,00   
Cliente 330  | Instalación 310 | 20,00        | 4,00               | 80,00   
Cliente 331  | Instalación 223 | 8,00         | 4,00               | 32,00   
Cliente 332  | Instalación 81  | 7,00         | 4,00               | 28,00   
Cliente 333  | Instalación 358 | 2,00         | 5,00               | 10,00   
Cliente 333  | Instalación 372 | 16,00        | 2,00               | 32,00   
Cliente 334  | Instalación 304 | 8,00         | 4,00               | 32,00   
Cliente 335  | Instalación 88  | 5,00         | 5,00               | 25,00   
Cliente 336  | Instalación 87  | 8,00         | 1,00               | 8,00    
Cliente 337  | Instalación 351 | 14,00        | 5,00               | 70,00   
Cliente 338  | Instalación 177 | 11,00        | 9,00               | 99,00   
Cliente 339  | Instalación 118 | 8,00         | 2,00               | 16,00   
Cliente 340  | Instalación 388 | 6,00         | 6,00               | 36,00   
Cliente 341  | Instalación 180 | 19,00        | 4,00               | 76,00   
Cliente 342  | Instalación 221 | 11,00        | 3,00               | 33,00   
Cliente 343  | Instalación 152 | 11,00        | 5,00               | 55,00   
Cliente 344  | Instalación 55  | 5,00         | 3,00               | 15,00   
Cliente 345  | Instalación 294 | 16,00        | 2,00               | 32,00   
Cliente 346  | Instalación 294 | 14,00        | 0,00               | 0,00    
Cliente 347  | Instalación 473 | 20,00        | 4,00               | 80,00   
Cliente 348  | Instalación 211 | 10,00        | 3,00               | 30,00   
Cliente 349  | Instalación 289 | 8,00         | 2,00               | 16,00   
Cliente 350  | Instalación 409 | 13,00        | 8,00               | 104,00  
Cliente 351  | Instalación 105 | 15,00        | 5,00               | 75,00   
Cliente 351  | Instalación 113 | 3,00         | 3,00               | 9,00    
Cliente 352  | Instalación 131 | 10,00        | 6,00               | 60,00   
Cliente 353  | Instalación 79  | 6,00         | 4,00               | 24,00   
Cliente 354  | Instalación 204 | 8,00         | 3,00               | 24,00   
Cliente 354  | Instalación 389 | 6,00         | 4,00               | 24,00   
Cliente 355  | Instalación 326 | 5,00         | 1,00               | 5,00    
