
--- TABLA 4: SOLUCIÓN DE APERTURA DE INSTALACIONES ---
Instalación     | Estado  | Coste Fijo
Instalación 130 | Abierta | 910,00    
Instalación 131 | Cerrada | 0,00      
Instalación 132 | Abierta | 720,00    
Instalación 133 | Cerrada | 0,00      
Instalación 134 | Cerrada | 0,00      
Instalación 135 | Abierta | 1030,00   
Instalación 136 | Abierta | 420,00    
Instalación 137 | Abierta | 560,00    
Instalación 138 | Cerrada | 0,00      
Instalación 139 | Cerrada | 0,00      
Instalación 140 | Abierta | 550,00    
Instalación 141 | Cerrada | 0,00      
Instalación 142 | Abierta | 810,00    
Instalación 143 | Abierta | 250,00    
Instalación 144 | Abierta | 260,00    
Instalación 145 | Cerrada | 0,00      
Instalación 146 | Abierta | 770,00    
Instalación 147 | Abierta | 550,00    
Instalación 148 | Abierta | 280,00    
Instalación 149 | Abierta | 280,00    
Instalación 150 | Abierta | 650,00    
Instalación 151 | Abierta | 460,00    
Instalación 152 | Abierta | 600,00    
Instalación 153 | Cerrada | 0,00      
Instalación 154 | Abierta | 630,00    
Instalación 155 | Abierta | 490,00    
Instalación 156 | Abierta | 640,00    
Instalación 157 | Cerrada | 0,00      
Instalación 158 | Abierta | 820,00    
Instalación 159 | Cerrada | 0,00      
Instalación 160 | Abierta | 570,00    
Instalación 161 | Cerrada | 0,00      
Instalación 162 | Abierta | 520,00    
Instalación 163 | Cerrada | 0,00      
Instalación 164 | Cerrada | 0,00      
Instalación 165 | Cerrada | 0,00      
Instalación 166 | Cerrada | 0,00      
Instalación 167 | Cerrada | 0,00      
Instalación 168 | Cerrada | 0,00      
Instalación 169 | Abierta | 590,00    
Instalación 170 | Abierta | 340,00    
Instalación 171 | Cerrada | 0,00      
Instalación 172 | Abierta | 840,00    
Instalación 173 | Abierta | 610,00    
Instalación 174 | Cerrada | 0,00      
Instalación 175 | Abierta | 620,00    
Instalación 176 | Cerrada | 0,00      
Instalación 177 | Cerrada | 0,00      
Instalación 178 | Cerrada | 0,00      
Instalación 179 | Abierta | 460,00    
Instalación 180 | Abierta | 700,00    
Instalación 181 | Abierta | 780,00    
Instalación 182 | Abierta | 630,00    
Instalación 183 | Cerrada | 0,00      
Instalación 184 | Abierta | 830,00    
Instalación 185 | Cerrada | 0,00      
Instalación 186 | Abierta | 220,00    
Instalación 187 | Cerrada | 0,00      
Instalación 188 | Abierta | 360,00    
Instalación 189 | Cerrada | 0,00      
Instalación 190 | Abierta | 330,00    
Instalación 191 | Abierta | 810,00    
Instalación 192 | Abierta | 480,00    
Instalación 193 | Abierta | 310,00    
Instalación 194 | Cerrada | 0,00      
Instalación 195 | Abierta | 510,00    
Instalación 196 | Abierta | 230,00    
Instalación 197 | Abierta | 560,00    
Instalación 198 | Abierta | 620,00    
Instalación 199 | Cerrada | 0,00      
Instalación 200 | Cerrada | 0,00      
Instalación 201 | Cerrada | 0,00      
Instalación 202 | Cerrada | 0,00      
Instalación 203 | Abierta | 630,00    
Instalación 204 | Abierta | 410,00    
Instalación 205 | Cerrada | 0,00      
Instalación 206 | Cerrada | 0,00      
Instalación 207 | Abierta | 230,00    
Instalación 208 | Cerrada | 0,00      
Instalación 209 | Cerrada | 0,00      
Instalación 210 | Abierta | 300,00    
Instalación 211 | Cerrada | 0,00      
Instalación 212 | Cerrada | 0,00      
Instalación 213 | Cerrada | 0,00      
Instalación 214 | Cerrada | 0,00      
Instalación 215 | Cerrada | 0,00      
Instalación 216 | Cerrada | 0,00      
Instalación 217 | Cerrada | 0,00      
Instalación 218 | Abierta | 440,00    
Instalación 219 | Abierta | 420,00    
Instalación 220 | Cerrada | 0,00      
Instalación 221 | Cerrada | 0,00      
Instalación 222 | Abierta | 900,00    
Instalación 223 | Cerrada | 0,00      
Instalación 224 | Abierta | 490,00    
Instalación 225 | Abierta | 310,00    
Instalación 226 | Abierta | 490,00    
Instalación 227 | Cerrada | 0,00      
Instalación 228 | Abierta | 440,00    
Instalación 229 | Cerrada | 0,00      
Instalación 230 | Cerrada | 0,00      
Instalación 231 | Abierta | 700,00    
Instalación 232 | Abierta | 220,00    
Instalación 233 | Cerrada | 0,00      
Instalación 234 | Cerrada | 0,00      
Instalación 235 | Abierta | 660,00    
Instalación 236 | Cerrada | 0,00      
Instalación 237 | Cerrada | 0,00      
Instalación 238 | Abierta | 810,00    
Instalación 239 | Cerrada | 0,00      
Instalación 240 | Abierta | 220,00    
Instalación 241 | Abierta | 420,00    
Instalación 242 | Abierta | 340,00    
Instalación 243 | Abierta | 330,00    
Instalación 244 | Cerrada | 0,00      
Instalación 245 | Abierta | 540,00    
Instalación 246 | Abierta | 470,00    
Instalación 247 | Cerrada | 0,00      
Instalación 248 | Abierta | 950,00    
Instalación 249 | Abierta | 370,00    
Instalación 250 | Abierta | 300,00    
Instalación 251 | Cerrada | 0,00      
Instalación 252 | Abierta | 710,00    
Instalación 253 | Cerrada | 0,00      
Instalación 254 | Abierta | 420,00    
Instalación 255 | Cerrada | 0,00      
Instalación 256 | Abierta | 750,00    
Instalación 257 | Cerrada | 0,00      
Instalación 258 | Abierta | 370,00    
Instalación 259 | Abierta | 490,00    
Instalación 260 | Cerrada | 0,00      
Instalación 261 | Abierta | 330,00    
Instalación 262 | Abierta | 530,00    
Instalación 263 | Cerrada | 0,00      
Instalación 264 | Abierta | 510,00    
Instalación 265 | Abierta | 350,00    
Instalación 266 | Abierta | 810,00    
Instalación 267 | Cerrada | 0,00      
Instalación 268 | Abierta | 420,00    
Instalación 269 | Cerrada | 0,00      
Instalación 270 | Abierta | 210,00    
Instalación 271 | Abierta | 300,00    
Instalación 272 | Abierta | 310,00    
Instalación 273 | Abierta | 350,00    
Instalación 274 | Cerrada | 0,00      
Instalación 275 | Cerrada | 0,00      
Instalación 276 | Abierta | 330,00    
Instalación 277 | Abierta | 590,00    
Instalación 278 | Cerrada | 0,00      
Instalación 279 | Cerrada | 0,00      
Instalación 280 | Cerrada | 0,00      
Instalación 281 | Abierta | 440,00    
Instalación 282 | Cerrada | 0,00      
Instalación 283 | Cerrada | 0,00      
Instalación 284 | Abierta | 450,00    
Instalación 285 | Abierta | 850,00    
Instalación 286 | Abierta | 430,00    
Instalación 287 | Abierta | 300,00    
Instalación 288 | Cerrada | 0,00      
Instalación 289 | Cerrada | 0,00      
Instalación 290 | Cerrada | 0,00      
Instalación 291 | Cerrada | 0,00      
Instalación 292 | Abierta | 570,00    
Instalación 293 | Cerrada | 0,00      
Instalación 294 | Abierta | 780,00    
Instalación 295 | Abierta | 230,00    
Instalación 296 | Cerrada | 0,00      
Instalación 297 | Abierta | 300,00    
Instalación 298 | Cerrada | 0,00      
Instalación 299 | Abierta | 260,00    
TOTAL           |         | 81180,00  
