
--- TABLA 4: SOLUCIÓN DE APERTURA DE INSTALACIONES ---
Instalación     | Estado  | Coste Fijo
Instalación 61  | Abierta | 870,00    
Instalación 62  | Cerrada | 0,00      
Instalación 63  | Abierta | 830,00    
Instalación 64  | Abierta | 330,00    
Instalación 65  | Abierta | 540,00    
Instalación 66  | Abierta | 370,00    
Instalación 67  | Abierta | 530,00    
Instalación 68  | Abierta | 740,00    
Instalación 69  | Abierta | 280,00    
Instalación 70  | Abierta | 620,00    
Instalación 71  | Abierta | 1030,00   
Instalación 72  | Cerrada | 0,00      
Instalación 73  | Abierta | 520,00    
Instalación 74  | Abierta | 520,00    
Instalación 75  | Abierta | 360,00    
Instalación 76  | Cerrada | 0,00      
Instalación 77  | Abierta | 530,00    
Instalación 78  | Abierta | 290,00    
Instalación 79  | Cerrada | 0,00      
Instalación 80  | Cerrada | 0,00      
Instalación 81  | Cerrada | 0,00      
Instalación 82  | Abierta | 880,00    
Instalación 83  | Cerrada | 0,00      
Instalación 84  | Abierta | 760,00    
Instalación 85  | Abierta | 530,00    
Instalación 86  | Cerrada | 0,00      
Instalación 87  | Cerrada | 0,00      
Instalación 88  | Cerrada | 0,00      
Instalación 89  | Cerrada | 0,00      
Instalación 90  | Cerrada | 0,00      
Instalación 91  | Cerrada | 0,00      
Instalación 92  | Abierta | 720,00    
Instalación 93  | Cerrada | 0,00      
Instalación 94  | Cerrada | 0,00      
Instalación 95  | Cerrada | 0,00      
Instalación 96  | Abierta | 420,00    
Instalación 97  | Cerrada | 0,00      
Instalación 98  | Abierta | 450,00    
Instalación 99  | Cerrada | 0,00      
Instalación 100 | Cerrada | 0,00      
Instalación 101 | Cerrada | 0,00      
Instalación 102 | Cerrada | 0,00      
Instalación 103 | Abierta | 320,00    
Instalación 104 | Cerrada | 0,00      
Instalación 105 | Abierta | 820,00    
Instalación 106 | Abierta | 950,00    
Instalación 107 | Abierta | 340,00    
Instalación 108 | Cerrada | 0,00      
Instalación 109 | Cerrada | 0,00      
Instalación 110 | Cerrada | 0,00      
Instalación 111 | Cerrada | 0,00      
Instalación 112 | Abierta | 1100,00   
Instalación 113 | Abierta | 510,00    
Instalación 114 | Cerrada | 0,00      
Instalación 115 | Abierta | 560,00    
Instalación 116 | Cerrada | 0,00      
Instalación 117 | Abierta | 260,00    
Instalación 118 | Abierta | 840,00    
Instalación 119 | Abierta | 240,00    
Instalación 120 | Cerrada | 0,00      
Instalación 121 | Cerrada | 0,00      
Instalación 122 | Abierta | 330,00    
Instalación 123 | Abierta | 650,00    
Instalación 124 | Abierta | 1100,00   
Instalación 125 | Abierta | 850,00    
Instalación 126 | Cerrada | 0,00      
Instalación 127 | Cerrada | 0,00      
Instalación 128 | Cerrada | 0,00      
Instalación 129 | Cerrada | 0,00      
Instalación 130 | Cerrada | 0,00      
Instalación 131 | Abierta | 1050,00   
Instalación 132 | Cerrada | 0,00      
Instalación 133 | Cerrada | 0,00      
Instalación 134 | Cerrada | 0,00      
Instalación 135 | Abierta | 610,00    
Instalación 136 | Abierta | 360,00    
Instalación 137 | Abierta | 560,00    
Instalación 138 | Cerrada | 0,00      
Instalación 139 | Cerrada | 0,00      
Instalación 140 | Cerrada | 0,00      
Instalación 141 | Abierta | 340,00    
Instalación 142 | Cerrada | 0,00      
Instalación 143 | Cerrada | 0,00      
Instalación 144 | Cerrada | 0,00      
Instalación 145 | Abierta | 490,00    
Instalación 146 | Abierta | 280,00    
Instalación 147 | Abierta | 350,00    
Instalación 148 | Cerrada | 0,00      
Instalación 149 | Cerrada | 0,00      
Instalación 150 | Abierta | 380,00    
Instalación 151 | Abierta | 840,00    
Instalación 152 | Cerrada | 0,00      
Instalación 153 | Abierta | 770,00    
Instalación 154 | Cerrada | 0,00      
Instalación 155 | Cerrada | 0,00      
Instalación 156 | Abierta | 440,00    
Instalación 157 | Abierta | 530,00    
Instalación 158 | Abierta | 530,00    
Instalación 159 | Cerrada | 0,00      
Instalación 160 | Cerrada | 0,00      
Instalación 161 | Abierta | 490,00    
Instalación 162 | Abierta | 390,00    
Instalación 163 | Abierta | 530,00    
Instalación 164 | Abierta | 580,00    
Instalación 165 | Cerrada | 0,00      
Instalación 166 | Cerrada | 0,00      
Instalación 167 | Cerrada | 0,00      
Instalación 168 | Cerrada | 0,00      
Instalación 169 | Cerrada | 0,00      
Instalación 170 | Abierta | 660,00    
Instalación 171 | Cerrada | 0,00      
Instalación 172 | Cerrada | 0,00      
Instalación 173 | Abierta | 620,00    
Instalación 174 | Abierta | 670,00    
Instalación 175 | Abierta | 670,00    
Instalación 176 | Abierta | 620,00    
Instalación 177 | Cerrada | 0,00      
Instalación 178 | Abierta | 900,00    
Instalación 179 | Abierta | 380,00    
Instalación 180 | Abierta | 560,00    
Instalación 181 | Abierta | 270,00    
Instalación 182 | Cerrada | 0,00      
Instalación 183 | Cerrada | 0,00      
Instalación 184 | Abierta | 950,00    
Instalación 185 | Cerrada | 0,00      
Instalación 186 | Cerrada | 0,00      
Instalación 187 | Cerrada | 0,00      
Instalación 188 | Abierta | 420,00    
Instalación 189 | Abierta | 510,00    
Instalación 190 | Cerrada | 0,00      
Instalación 191 | Abierta | 440,00    
Instalación 192 | Cerrada | 0,00      
Instalación 193 | Abierta | 1070,00   
Instalación 194 | Abierta | 490,00    
Instalación 195 | Cerrada | 0,00      
Instalación 196 | Cerrada | 0,00      
Instalación 197 | Abierta | 210,00    
Instalación 198 | Cerrada | 0,00      
Instalación 199 | Abierta | 450,00    
Instalación 200 | Cerrada | 0,00      
Instalación 201 | Cerrada | 0,00      
Instalación 202 | Cerrada | 0,00      
Instalación 203 | Cerrada | 0,00      
Instalación 204 | Abierta | 440,00    
Instalación 205 | Abierta | 460,00    
Instalación 206 | Abierta | 580,00    
Instalación 207 | Cerrada | 0,00      
Instalación 208 | Abierta | 1160,00   
Instalación 209 | Cerrada | 0,00      
Instalación 210 | Abierta | 360,00    
Instalación 211 | Cerrada | 0,00      
Instalación 212 | Abierta | 850,00    
Instalación 213 | Cerrada | 0,00      
Instalación 214 | Abierta | 1040,00   
Instalación 215 | Abierta | 620,00    
Instalación 216 | Cerrada | 0,00      
Instalación 217 | Abierta | 400,00    
Instalación 218 | Cerrada | 0,00      
Instalación 219 | Abierta | 440,00    
Instalación 220 | Abierta | 230,00    
Instalación 221 | Cerrada | 0,00      
Instalación 222 | Abierta | 490,00    
Instalación 223 | Cerrada | 0,00      
Instalación 224 | Cerrada | 0,00      
Instalación 225 | Cerrada | 0,00      
Instalación 226 | Cerrada | 0,00      
Instalación 227 | Cerrada | 0,00      
Instalación 228 | Cerrada | 0,00      
Instalación 229 | Abierta | 450,00    
Instalación 230 | Abierta | 830,00    
Instalación 231 | Abierta | 600,00    
Instalación 232 | Abierta | 580,00    
Instalación 233 | Abierta | 540,00    
Instalación 234 | Abierta | 720,00    
Instalación 235 | Cerrada | 0,00      
Instalación 236 | Abierta | 410,00    
Instalación 237 | Abierta | 550,00    
Instalación 238 | Abierta | 370,00    
Instalación 239 | Cerrada | 0,00      
Instalación 240 | Cerrada | 0,00      
Instalación 241 | Cerrada | 0,00      
Instalación 242 | Cerrada | 0,00      
Instalación 243 | Cerrada | 0,00      
Instalación 244 | Abierta | 1090,00   
Instalación 245 | Cerrada | 0,00      
Instalación 246 | Cerrada | 0,00      
Instalación 247 | Cerrada | 0,00      
Instalación 248 | Abierta | 630,00    
Instalación 249 | Abierta | 1140,00   
Instalación 250 | Cerrada | 0,00      
Instalación 251 | Abierta | 270,00    
Instalación 252 | Cerrada | 0,00      
Instalación 253 | Abierta | 750,00    
Instalación 254 | Abierta | 880,00    
Instalación 255 | Abierta | 620,00    
Instalación 256 | Abierta | 420,00    
Instalación 257 | Cerrada | 0,00      
Instalación 258 | Abierta | 720,00    
Instalación 259 | Cerrada | 0,00      
Instalación 260 | Cerrada | 0,00      
Instalación 261 | Abierta | 1000,00   
Instalación 262 | Abierta | 210,00    
Instalación 263 | Abierta | 510,00    
Instalación 264 | Cerrada | 0,00      
Instalación 265 | Cerrada | 0,00      
Instalación 266 | Cerrada | 0,00      
Instalación 267 | Abierta | 690,00    
Instalación 268 | Cerrada | 0,00      
Instalación 269 | Abierta | 480,00    
Instalación 270 | Abierta | 450,00    
Instalación 271 | Cerrada | 0,00      
Instalación 272 | Abierta | 780,00    
Instalación 273 | Abierta | 350,00    
Instalación 274 | Cerrada | 0,00      
Instalación 275 | Cerrada | 0,00      
Instalación 276 | Abierta | 780,00    
Instalación 277 | Cerrada | 0,00      
Instalación 278 | Abierta | 360,00    
Instalación 279 | Cerrada | 0,00      
Instalación 280 | Abierta | 520,00    
Instalación 281 | Abierta | 730,00    
Instalación 282 | Cerrada | 0,00      
Instalación 283 | Abierta | 1300,00   
Instalación 284 | Abierta | 790,00    
Instalación 285 | Abierta | 350,00    
Instalación 286 | Cerrada | 0,00      
Instalación 287 | Cerrada | 0,00      
Instalación 288 | Abierta | 550,00    
Instalación 289 | Abierta | 770,00    
Instalación 290 | Cerrada | 0,00      
Instalación 291 | Cerrada | 0,00      
Instalación 292 | Abierta | 360,00    
Instalación 293 | Cerrada | 0,00      
Instalación 294 | Cerrada | 0,00      
Instalación 295 | Cerrada | 0,00      
Instalación 296 | Abierta | 300,00    
Instalación 297 | Cerrada | 0,00      
Instalación 298 | Cerrada | 0,00      
Instalación 299 | Abierta | 870,00    
Instalación 300 | Cerrada | 0,00      
Instalación 301 | Abierta | 820,00    
Instalación 302 | Abierta | 360,00    
Instalación 303 | Abierta | 930,00    
Instalación 304 | Abierta | 530,00    
Instalación 305 | Cerrada | 0,00      
Instalación 306 | Abierta | 440,00    
Instalación 307 | Abierta | 600,00    
Instalación 308 | Cerrada | 0,00      
Instalación 309 | Cerrada | 0,00      
Instalación 310 | Abierta | 380,00    
Instalación 311 | Cerrada | 0,00      
Instalación 312 | Cerrada | 0,00      
Instalación 313 | Abierta | 280,00    
Instalación 314 | Abierta | 360,00    
Instalación 315 | Abierta | 540,00    
Instalación 316 | Cerrada | 0,00      
Instalación 317 | Abierta | 640,00    
Instalación 318 | Cerrada | 0,00      
Instalación 319 | Abierta | 790,00    
Instalación 320 | Abierta | 600,00    
Instalación 321 | Abierta | 570,00    
Instalación 322 | Abierta | 550,00    
Instalación 323 | Cerrada | 0,00      
Instalación 324 | Cerrada | 0,00      
Instalación 325 | Abierta | 820,00    
Instalación 326 | Cerrada | 0,00      
Instalación 327 | Cerrada | 0,00      
Instalación 328 | Abierta | 690,00    
Instalación 329 | Cerrada | 0,00      
Instalación 330 | Cerrada | 0,00      
Instalación 331 | Cerrada | 0,00      
Instalación 332 | Abierta | 730,00    
Instalación 333 | Cerrada | 0,00      
Instalación 334 | Abierta | 690,00    
Instalación 335 | Cerrada | 0,00      
Instalación 336 | Cerrada | 0,00      
Instalación 337 | Cerrada | 0,00      
Instalación 338 | Abierta | 270,00    
Instalación 339 | Abierta | 570,00    
Instalación 340 | Cerrada | 0,00      
Instalación 341 | Cerrada | 0,00      
Instalación 342 | Abierta | 550,00    
Instalación 343 | Cerrada | 0,00      
Instalación 344 | Abierta | 240,00    
Instalación 345 | Abierta | 710,00    
Instalación 346 | Cerrada | 0,00      
Instalación 347 | Abierta | 420,00    
Instalación 348 | Abierta | 320,00    
Instalación 349 | Cerrada | 0,00      
Instalación 350 | Cerrada | 0,00      
Instalación 351 | Cerrada | 0,00      
Instalación 352 | Abierta | 380,00    
Instalación 353 | Cerrada | 0,00      
Instalación 354 | Cerrada | 0,00      
Instalación 355 | Cerrada | 0,00      
Instalación 356 | Abierta | 420,00    
Instalación 357 | Cerrada | 0,00      
Instalación 358 | Abierta | 940,00    
Instalación 359 | Abierta | 760,00    
Instalación 360 | Abierta | 540,00    
Instalación 361 | Cerrada | 0,00      
Instalación 362 | Abierta | 860,00    
Instalación 363 | Abierta | 560,00    
Instalación 364 | Cerrada | 0,00      
Instalación 365 | Cerrada | 0,00      
Instalación 366 | Abierta | 1270,00   
Instalación 367 | Abierta | 550,00    
Instalación 368 | Abierta | 440,00    
Instalación 369 | Abierta | 380,00    
Instalación 370 | Abierta | 780,00    
Instalación 371 | Abierta | 290,00    
Instalación 372 | Cerrada | 0,00      
Instalación 373 | Cerrada | 0,00      
Instalación 374 | Cerrada | 0,00      
Instalación 375 | Abierta | 480,00    
Instalación 376 | Abierta | 1000,00   
Instalación 377 | Abierta | 300,00    
Instalación 378 | Abierta | 280,00    
Instalación 379 | Cerrada | 0,00      
Instalación 380 | Abierta | 670,00    
Instalación 381 | Abierta | 940,00    
Instalación 382 | Cerrada | 0,00      
Instalación 383 | Cerrada | 0,00      
Instalación 384 | Cerrada | 0,00      
Instalación 385 | Abierta | 340,00    
Instalación 386 | Abierta | 740,00    
Instalación 387 | Abierta | 970,00    
Instalación 388 | Cerrada | 0,00      
Instalación 389 | Abierta | 900,00    
Instalación 390 | Abierta | 590,00    
Instalación 391 | Abierta | 300,00    
Instalación 392 | Cerrada | 0,00      
Instalación 393 | Cerrada | 0,00      
Instalación 394 | Abierta | 410,00    
Instalación 395 | Cerrada | 0,00      
Instalación 396 | Abierta | 590,00    
Instalación 397 | Abierta | 560,00    
Instalación 398 | Cerrada | 0,00      
Instalación 399 | Cerrada | 0,00      
TOTAL           |         | 119780,00 
