
--- TABLA 7: DESGLOSE DETALLADO DE COSTES VARIABLES DE TRANSPORTE ---
Cliente      | Instalación     | Cantidad (q) | Coste Unitario (c) | Subtotal
Cliente 50   | Instalación 92  | 11,00        | 12,00              | 132,00  
Cliente 51   | Instalación 342 | 19,00        | 4,00               | 76,00   
Cliente 52   | Instalación 141 | 9,00         | 3,00               | 27,00   
Cliente 53   | Instalación 352 | 9,00         | 5,00               | 45,00   
Cliente 54   | Instalación 307 | 11,00        | 2,00               | 22,00   
Cliente 55   | Instalación 325 | 15,00        | 1,00               | 15,00   
Cliente 56   | Instalación 92  | 16,00        | 5,00               | 80,00   
Cliente 57   | Instalación 368 | 14,00        | 3,00               | 42,00   
Cliente 58   | Instalación 64  | 5,00         | 9,00               | 45,00   
Cliente 59   | Instalación 229 | 12,00        | 5,00               | 60,00   
Cliente 60   | Instalación 359 | 14,00        | 9,00               | 126,00  
Cliente 61   | Instalación 219 | 12,00        | 7,00               | 84,00   
Cliente 62   | Instalación 176 | 15,00        | 5,00               | 75,00   
Cliente 63   | Instalación 170 | 19,00        | 6,00               | 114,00  
Cliente 64   | Instalación 16  | 8,00         | 8,00               | 64,00   
Cliente 65   | Instalación 71  | 11,00        | 1,00               | 11,00   
Cliente 66   | Instalación 236 | 16,00        | 1,00               | 16,00   
Cliente 67   | Instalación 217 | 13,00        | 2,00               | 26,00   
Cliente 68   | Instalación 75  | 17,00        | 3,00               | 51,00   
Cliente 69   | Instalación 314 | 8,00         | 4,00               | 32,00   
Cliente 70   | Instalación 219 | 13,00        | 5,00               | 65,00   
Cliente 71   | Instalación 125 | 7,00         | 3,00               | 21,00   
Cliente 72   | Instalación 270 | 7,00         | 4,00               | 28,00   
Cliente 73   | Instalación 163 | 15,00        | 2,00               | 30,00   
Cliente 74   | Instalación 387 | 16,00        | 8,00               | 128,00  
Cliente 75   | Instalación 206 | 17,00        | 1,00               | 17,00   
Cliente 76   | Instalación 57  | 11,00        | 4,00               | 44,00   
Cliente 77   | Instalación 267 | 13,00        | 6,00               | 78,00   
Cliente 78   | Instalación 386 | 20,00        | 6,00               | 120,00  
Cliente 79   | Instalación 322 | 6,00         | 11,00              | 66,00   
Cliente 80   | Instalación 339 | 16,00        | 6,00               | 96,00   
Cliente 81   | Instalación 26  | 6,00         | 5,00               | 30,00   
Cliente 82   | Instalación 180 | 10,00        | 9,00               | 90,00   
Cliente 83   | Instalación 115 | 12,00        | 6,00               | 72,00   
Cliente 84   | Instalación 170 | 9,00         | 2,00               | 18,00   
Cliente 85   | Instalación 229 | 5,00         | 2,00               | 10,00   
Cliente 86   | Instalación 267 | 16,00        | 4,00               | 64,00   
Cliente 87   | Instalación 214 | 14,00        | 7,00               | 98,00   
Cliente 88   | Instalación 122 | 19,00        | 6,00               | 114,00  
Cliente 89   | Instalación 84  | 9,00         | 5,00               | 45,00   
Cliente 90   | Instalación 58  | 11,00        | 2,00               | 22,00   
Cliente 91   | Instalación 210 | 20,00        | 5,00               | 100,00  
Cliente 92   | Instalación 68  | 10,00        | 3,00               | 30,00   
Cliente 93   | Instalación 389 | 7,00         | 4,00               | 28,00   
Cliente 94   | Instalación 145 | 10,00        | 6,00               | 60,00   
Cliente 95   | Instalación 103 | 5,00         | 0,00               | 0,00    
Cliente 96   | Instalación 63  | 16,00        | 2,00               | 32,00   
Cliente 97   | Instalación 208 | 15,00        | 2,00               | 30,00   
Cliente 98   | Instalación 396 | 16,00        | 2,00               | 32,00   
Cliente 99   | Instalación 370 | 8,00         | 10,00              | 80,00   
Cliente 100  | Instalación 219 | 15,00        | 4,00               | 60,00   
Cliente 101  | Instalación 125 | 6,00         | 2,00               | 12,00   
Cliente 102  | Instalación 55  | 11,00        | 4,00               | 44,00   
Cliente 103  | Instalación 230 | 14,00        | 5,00               | 70,00   
Cliente 104  | Instalación 390 | 18,00        | 4,00               | 72,00   
Cliente 105  | Instalación 122 | 6,00         | 6,00               | 36,00   
Cliente 106  | Instalación 284 | 16,00        | 8,00               | 128,00  
Cliente 107  | Instalación 174 | 18,00        | 9,00               | 162,00  
Cliente 108  | Instalación 153 | 14,00        | 10,00              | 140,00  
Cliente 109  | Instalación 232 | 9,00         | 2,00               | 18,00   
Cliente 110  | Instalación 33  | 19,00        | 5,00               | 95,00   
Cliente 111  | Instalación 370 | 5,00         | 6,00               | 30,00   
Cliente 112  | Instalación 229 | 16,00        | 2,00               | 32,00   
Cliente 113  | Instalación 39  | 3,00         | 10,00              | 30,00   
Cliente 113  | Instalación 191 | 10,00        | 8,00               | 80,00   
Cliente 114  | Instalación 358 | 18,00        | 3,00               | 54,00   
Cliente 115  | Instalación 147 | 13,00        | 7,00               | 91,00   
Cliente 116  | Instalación 238 | 9,00         | 2,00               | 18,00   
Cliente 117  | Instalación 61  | 12,00        | 7,00               | 84,00   
Cliente 117  | Instalación 359 | 8,00         | 8,00               | 64,00   
Cliente 118  | Instalación 65  | 13,00        | 1,00               | 13,00   
Cliente 118  | Instalación 197 | 7,00         | 5,00               | 35,00   
Cliente 119  | Instalación 184 | 12,00        | 5,00               | 60,00   
Cliente 120  | Instalación 366 | 20,00        | 5,00               | 100,00  
Cliente 121  | Instalación 276 | 13,00        | 7,00               | 91,00   
Cliente 122  | Instalación 263 | 15,00        | 8,00               | 120,00  
Cliente 123  | Instalación 49  | 4,00         | 1,00               | 4,00    
Cliente 123  | Instalación 222 | 9,00         | 2,00               | 18,00   
Cliente 124  | Instalación 214 | 9,00         | 2,00               | 18,00   
Cliente 125  | Instalación 188 | 12,00        | 3,00               | 36,00   
Cliente 126  | Instalación 106 | 9,00         | 7,00               | 63,00   
Cliente 127  | Instalación 387 | 18,00        | 2,00               | 36,00   
Cliente 128  | Instalación 150 | 19,00        | 7,00               | 133,00  
Cliente 129  | Instalación 289 | 10,00        | 5,00               | 50,00   
Cliente 130  | Instalación 272 | 18,00        | 3,00               | 54,00   
Cliente 131  | Instalación 261 | 13,00        | 1,00               | 13,00   
Cliente 132  | Instalación 48  | 7,00         | 7,00               | 49,00   
Cliente 133  | Instalación 212 | 10,00        | 2,00               | 20,00   
Cliente 134  | Instalación 217 | 20,00        | 5,00               | 100,00  
Cliente 135  | Instalación 194 | 7,00         | 11,00              | 77,00   
Cliente 136  | Instalación 248 | 16,00        | 9,00               | 144,00  
Cliente 137  | Instalación 6   | 15,00        | 4,00               | 60,00   
Cliente 138  | Instalación 254 | 17,00        | 7,00               | 119,00  
Cliente 139  | Instalación 135 | 16,00        | 1,00               | 16,00   
Cliente 140  | Instalación 141 | 12,00        | 8,00               | 96,00   
Cliente 141  | Instalación 238 | 7,00         | 6,00               | 42,00   
Cliente 142  | Instalación 381 | 12,00        | 4,00               | 48,00   
Cliente 143  | Instalación 158 | 12,00        | 2,00               | 24,00   
Cliente 144  | Instalación 57  | 11,00        | 4,00               | 44,00   
Cliente 145  | Instalación 217 | 17,00        | 5,00               | 85,00   
Cliente 146  | Instalación 234 | 6,00         | 4,00               | 24,00   
Cliente 147  | Instalación 380 | 13,00        | 10,00              | 130,00  
Cliente 148  | Instalación 112 | 14,00        | 3,00               | 42,00   
Cliente 149  | Instalación 296 | 18,00        | 8,00               | 144,00  
Cliente 150  | Instalación 135 | 19,00        | 4,00               | 76,00   
Cliente 151  | Instalación 359 | 16,00        | 11,00              | 176,00  
Cliente 152  | Instalación 339 | 10,00        | 8,00               | 80,00   
Cliente 153  | Instalación 153 | 13,00        | 2,00               | 26,00   
Cliente 154  | Instalación 161 | 13,00        | 3,00               | 39,00   
Cliente 155  | Instalación 49  | 6,00         | 3,00               | 18,00   
Cliente 156  | Instalación 66  | 5,00         | 4,00               | 20,00   
Cliente 157  | Instalación 380 | 11,00        | 5,00               | 55,00   
Cliente 158  | Instalación 232 | 10,00        | 5,00               | 50,00   
Cliente 159  | Instalación 75  | 15,00        | 1,00               | 15,00   
Cliente 160  | Instalación 284 | 12,00        | 5,00               | 60,00   
Cliente 161  | Instalación 124 | 8,00         | 6,00               | 48,00   
Cliente 162  | Instalación 356 | 20,00        | 1,00               | 20,00   
Cliente 163  | Instalación 328 | 9,00         | 7,00               | 63,00   
Cliente 164  | Instalación 320 | 6,00         | 4,00               | 24,00   
Cliente 165  | Instalación 11  | 14,00        | 1,00               | 14,00   
Cliente 166  | Instalación 208 | 13,00        | 3,00               | 39,00   
Cliente 167  | Instalación 262 | 10,00        | 1,00               | 10,00   
Cliente 168  | Instalación 391 | 9,00         | 6,00               | 54,00   
Cliente 169  | Instalación 258 | 16,00        | 5,00               | 80,00   
Cliente 170  | Instalación 158 | 17,00        | 6,00               | 102,00  
Cliente 171  | Instalación 51  | 17,00        | 2,00               | 34,00   
Cliente 172  | Instalación 255 | 8,00         | 2,00               | 16,00   
Cliente 173  | Instalación 322 | 20,00        | 7,00               | 140,00  
Cliente 174  | Instalación 258 | 14,00        | 6,00               | 84,00   
Cliente 175  | Instalación 363 | 6,00         | 2,00               | 12,00   
Cliente 176  | Instalación 153 | 11,00        | 2,00               | 22,00   
Cliente 177  | Instalación 3   | 20,00        | 1,00               | 20,00   
Cliente 178  | Instalación 244 | 17,00        | 5,00               | 85,00   
Cliente 179  | Instalación 251 | 7,00         | 2,00               | 14,00   
Cliente 180  | Instalación 53  | 7,00         | 3,00               | 21,00   
Cliente 181  | Instalación 28  | 15,00        | 4,00               | 60,00   
Cliente 182  | Instalación 49  | 12,00        | 4,00               | 48,00   
Cliente 182  | Instalación 385 | 3,00         | 9,00               | 27,00   
Cliente 183  | Instalación 136 | 10,00        | 10,00              | 100,00  
Cliente 184  | Instalación 289 | 20,00        | 0,00               | 0,00    
Cliente 185  | Instalación 380 | 9,00         | 4,00               | 36,00   
Cliente 186  | Instalación 180 | 14,00        | 9,00               | 126,00  
Cliente 187  | Instalación 342 | 5,00         | 6,00               | 30,00   
Cliente 188  | Instalación 332 | 18,00        | 3,00               | 54,00   
Cliente 189  | Instalación 82  | 10,00        | 2,00               | 20,00   
Cliente 190  | Instalación 7   | 9,00         | 3,00               | 27,00   
Cliente 191  | Instalación 321 | 18,00        | 7,00               | 126,00  
Cliente 192  | Instalación 381 | 13,00        | 5,00               | 65,00   
Cliente 193  | Instalación 377 | 11,00        | 1,00               | 11,00   
Cliente 194  | Instalación 267 | 7,00         | 7,00               | 49,00   
Cliente 195  | Instalación 176 | 11,00        | 1,00               | 11,00   
Cliente 196  | Instalación 84  | 6,00         | 5,00               | 30,00   
Cliente 197  | Instalación 60  | 8,00         | 2,00               | 16,00   
Cliente 198  | Instalación 57  | 10,00        | 6,00               | 60,00   
Cliente 199  | Instalación 310 | 16,00        | 8,00               | 128,00  
Cliente 200  | Instalación 238 | 17,00        | 5,00               | 85,00   
Cliente 201  | Instalación 7   | 14,00        | 1,00               | 14,00   
Cliente 202  | Instalación 381 | 11,00        | 4,00               | 44,00   
Cliente 203  | Instalación 362 | 15,00        | 7,00               | 105,00  
Cliente 204  | Instalación 376 | 5,00         | 4,00               | 20,00   
Cliente 205  | Instalación 63  | 14,00        | 2,00               | 28,00   
Cliente 205  | Instalación 368 | 2,00         | 7,00               | 14,00   
Cliente 206  | Instalación 178 | 3,00         | 4,00               | 12,00   
Cliente 206  | Instalación 237 | 3,00         | 7,00               | 21,00   
Cliente 207  | Instalación 7   | 6,00         | 3,00               | 18,00   
Cliente 208  | Instalación 321 | 10,00        | 7,00               | 70,00   
Cliente 209  | Instalación 74  | 17,00        | 5,00               | 85,00   
Cliente 210  | Instalación 178 | 10,00        | 1,00               | 10,00   
Cliente 211  | Instalación 231 | 17,00        | 6,00               | 102,00  
Cliente 212  | Instalación 67  | 12,00        | 4,00               | 48,00   
Cliente 213  | Instalación 204 | 12,00        | 10,00              | 120,00  
Cliente 214  | Instalación 106 | 18,00        | 7,00               | 126,00  
Cliente 215  | Instalación 184 | 12,00        | 11,00              | 132,00  
Cliente 215  | Instalación 261 | 4,00         | 5,00               | 20,00   
Cliente 216  | Instalación 319 | 9,00         | 2,00               | 18,00   
Cliente 217  | Instalación 175 | 7,00         | 2,00               | 14,00   
Cliente 218  | Instalación 230 | 17,00        | 5,00               | 85,00   
Cliente 218  | Instalación 232 | 1,00         | 4,00               | 4,00    
Cliente 219  | Instalación 153 | 15,00        | 3,00               | 45,00   
Cliente 220  | Instalación 261 | 16,00        | 5,00               | 80,00   
Cliente 221  | Instalación 332 | 5,00         | 6,00               | 30,00   
Cliente 222  | Instalación 358 | 14,00        | 10,00              | 140,00  
Cliente 223  | Instalación 321 | 11,00        | 3,00               | 33,00   
Cliente 224  | Instalación 214 | 16,00        | 6,00               | 96,00   
Cliente 225  | Instalación 280 | 4,00         | 4,00               | 16,00   
Cliente 225  | Instalación 284 | 9,00         | 4,00               | 36,00   
Cliente 226  | Instalación 281 | 14,00        | 3,00               | 42,00   
Cliente 227  | Instalación 3   | 14,00        | 1,00               | 14,00   
Cliente 228  | Instalación 60  | 15,00        | 4,00               | 60,00   
Cliente 229  | Instalación 263 | 14,00        | 8,00               | 112,00  
Cliente 230  | Instalación 193 | 6,00         | 1,00               | 6,00    
Cliente 231  | Instalación 360 | 6,00         | 1,00               | 6,00    
Cliente 232  | Instalación 184 | 8,00         | 6,00               | 48,00   
Cliente 233  | Instalación 98  | 15,00        | 2,00               | 30,00   
Cliente 234  | Instalación 77  | 15,00        | 2,00               | 30,00   
Cliente 235  | Instalación 199 | 15,00        | 7,00               | 105,00  
Cliente 235  | Instalación 219 | 4,00         | 11,00              | 44,00   
Cliente 235  | Instalación 321 | 1,00         | 5,00               | 5,00    
Cliente 236  | Instalación 64  | 3,00         | 7,00               | 21,00   
Cliente 236  | Instalación 173 | 10,00        | 4,00               | 40,00   
Cliente 237  | Instalación 181 | 10,00        | 3,00               | 30,00   
Cliente 237  | Instalación 313 | 2,00         | 6,00               | 12,00   
Cliente 238  | Instalación 367 | 10,00        | 7,00               | 70,00   
Cliente 239  | Instalación 179 | 10,00        | 4,00               | 40,00   
Cliente 240  | Instalación 63  | 16,00        | 1,00               | 16,00   
Cliente 241  | Instalación 157 | 9,00         | 3,00               | 27,00   
Cliente 242  | Instalación 103 | 15,00        | 11,00              | 165,00  
Cliente 243  | Instalación 2   | 18,00        | 2,00               | 36,00   
Cliente 244  | Instalación 131 | 7,00         | 2,00               | 14,00   
Cliente 244  | Instalación 157 | 7,00         | 3,00               | 21,00   
Cliente 245  | Instalación 322 | 11,00        | 3,00               | 33,00   
Cliente 246  | Instalación 233 | 20,00        | 1,00               | 20,00   
Cliente 247  | Instalación 158 | 5,00         | 4,00               | 20,00   
Cliente 248  | Instalación 4   | 11,00        | 1,00               | 11,00   
Cliente 249  | Instalación 255 | 5,00         | 3,00               | 15,00   
Cliente 250  | Instalación 262 | 15,00        | 1,00               | 15,00   
Cliente 251  | Instalación 304 | 12,00        | 2,00               | 24,00   
Cliente 252  | Instalación 82  | 7,00         | 3,00               | 21,00   
Cliente 253  | Instalación 175 | 4,00         | 11,00              | 44,00   
Cliente 253  | Instalación 359 | 9,00         | 6,00               | 54,00   
Cliente 254  | Instalación 248 | 12,00        | 2,00               | 24,00   
Cliente 255  | Instalación 319 | 10,00        | 14,00              | 140,00  
Cliente 256  | Instalación 315 | 13,00        | 3,00               | 39,00   
Cliente 257  | Instalación 153 | 9,00         | 6,00               | 54,00   
Cliente 258  | Instalación 18  | 7,00         | 2,00               | 14,00   
Cliente 259  | Instalación 162 | 19,00        | 1,00               | 19,00   
Cliente 260  | Instalación 106 | 12,00        | 5,00               | 60,00   
Cliente 261  | Instalación 366 | 20,00        | 6,00               | 120,00  
Cliente 262  | Instalación 276 | 13,00        | 5,00               | 65,00   
Cliente 263  | Instalación 145 | 13,00        | 1,00               | 13,00   
Cliente 264  | Instalación 178 | 18,00        | 1,00               | 18,00   
Cliente 265  | Instalación 112 | 18,00        | 1,00               | 18,00   
Cliente 266  | Instalación 161 | 7,00         | 2,00               | 14,00   
Cliente 267  | Instalación 67  | 12,00        | 3,00               | 36,00   
Cliente 268  | Instalación 258 | 11,00        | 4,00               | 44,00   
Cliente 269  | Instalación 263 | 19,00        | 6,00               | 114,00  
Cliente 270  | Instalación 55  | 13,00        | 6,00               | 78,00   
Cliente 271  | Instalación 369 | 6,00         | 2,00               | 12,00   
Cliente 272  | Instalación 229 | 17,00        | 6,00               | 102,00  
Cliente 273  | Instalación 31  | 9,00         | 2,00               | 18,00   
Cliente 274  | Instalación 112 | 19,00        | 6,00               | 114,00  
Cliente 275  | Instalación 77  | 12,00        | 5,00               | 60,00   
Cliente 276  | Instalación 29  | 15,00        | 1,00               | 15,00   
Cliente 277  | Instalación 26  | 13,00        | 2,00               | 26,00   
Cliente 278  | Instalación 302 | 20,00        | 2,00               | 40,00   
Cliente 279  | Instalación 162 | 11,00        | 4,00               | 44,00   
Cliente 280  | Instalación 370 | 9,00         | 0,00               | 0,00    
Cliente 281  | Instalación 397 | 17,00        | 6,00               | 102,00  
Cliente 282  | Instalación 45  | 20,00        | 3,00               | 60,00   
Cliente 283  | Instalación 63  | 19,00        | 4,00               | 76,00   
Cliente 284  | Instalación 119 | 10,00        | 8,00               | 80,00   
Cliente 284  | Instalación 276 | 1,00         | 1,00               | 1,00    
Cliente 284  | Instalación 332 | 9,00         | 8,00               | 72,00   
Cliente 285  | Instalación 14  | 18,00        | 10,00              | 180,00  
Cliente 286  | Instalación 193 | 17,00        | 5,00               | 85,00   
Cliente 287  | Instalación 299 | 18,00        | 4,00               | 72,00   
Cliente 288  | Instalación 334 | 19,00        | 4,00               | 76,00   
Cliente 289  | Instalación 344 | 14,00        | 1,00               | 14,00   
Cliente 290  | Instalación 253 | 9,00         | 1,00               | 9,00    
Cliente 291  | Instalación 65  | 18,00        | 3,00               | 54,00   
Cliente 292  | Instalación 381 | 15,00        | 7,00               | 105,00  
Cliente 293  | Instalación 153 | 17,00        | 5,00               | 85,00   
Cliente 294  | Instalación 317 | 14,00        | 13,00              | 182,00  
Cliente 295  | Instalación 342 | 9,00         | 7,00               | 63,00   
Cliente 296  | Instalación 307 | 15,00        | 3,00               | 45,00   
Cliente 297  | Instalación 359 | 16,00        | 6,00               | 96,00   
Cliente 298  | Instalación 124 | 16,00        | 4,00               | 64,00   
Cliente 299  | Instalación 304 | 16,00        | 5,00               | 80,00   
Cliente 300  | Instalación 342 | 6,00         | 1,00               | 6,00    
Cliente 301  | Instalación 18  | 18,00        | 9,00               | 162,00  
Cliente 302  | Instalación 345 | 8,00         | 7,00               | 56,00   
Cliente 303  | Instalación 283 | 8,00         | 3,00               | 24,00   
Cliente 304  | Instalación 233 | 17,00        | 6,00               | 102,00  
Cliente 305  | Instalación 215 | 8,00         | 2,00               | 16,00   
Cliente 306  | Instalación 33  | 8,00         | 7,00               | 56,00   
Cliente 307  | Instalación 56  | 5,00         | 2,00               | 10,00   
Cliente 308  | Instalación 320 | 15,00        | 1,00               | 15,00   
Cliente 309  | Instalación 147 | 11,00        | 4,00               | 44,00   
Cliente 310  | Instalación 303 | 18,00        | 2,00               | 36,00   
Cliente 311  | Instalación 179 | 8,00         | 6,00               | 48,00   
Cliente 312  | Instalación 397 | 15,00        | 9,00               | 135,00  
Cliente 313  | Instalación 84  | 12,00        | 5,00               | 60,00   
Cliente 314  | Instalación 234 | 19,00        | 10,00              | 190,00  
Cliente 315  | Instalación 380 | 7,00         | 9,00               | 63,00   
Cliente 316  | Instalación 199 | 5,00         | 3,00               | 15,00   
Cliente 317  | Instalación 358 | 13,00        | 1,00               | 13,00   
Cliente 318  | Instalación 58  | 14,00        | 1,00               | 14,00   
Cliente 319  | Instalación 269 | 10,00        | 4,00               | 40,00   
Cliente 320  | Instalación 161 | 8,00         | 3,00               | 24,00   
Cliente 321  | Instalación 107 | 2,00         | 5,00               | 10,00   
Cliente 321  | Instalación 267 | 13,00        | 5,00               | 65,00   
Cliente 322  | Instalación 48  | 13,00        | 5,00               | 65,00   
Cliente 323  | Instalación 98  | 14,00        | 9,00               | 126,00  
Cliente 324  | Instalación 363 | 10,00        | 8,00               | 80,00   
Cliente 325  | Instalación 124 | 6,00         | 1,00               | 6,00    
Cliente 326  | Instalación 289 | 20,00        | 5,00               | 100,00  
Cliente 327  | Instalación 96  | 13,00        | 6,00               | 78,00   
Cliente 328  | Instalación 176 | 17,00        | 1,00               | 17,00   
Cliente 329  | Instalación 320 | 20,00        | 2,00               | 40,00   
Cliente 330  | Instalación 56  | 20,00        | 4,00               | 80,00   
Cliente 331  | Instalación 328 | 17,00        | 4,00               | 68,00   
Cliente 332  | Instalación 71  | 9,00         | 9,00               | 81,00   
Cliente 333  | Instalación 394 | 6,00         | 7,00               | 42,00   
Cliente 334  | Instalación 60  | 6,00         | 1,00               | 6,00    
Cliente 335  | Instalación 151 | 14,00        | 13,00              | 182,00  
Cliente 336  | Instalación 85  | 6,00         | 19,00              | 114,00  
Cliente 337  | Instalación 118 | 12,00        | 10,00              | 120,00  
Cliente 338  | Instalación 2   | 16,00        | 7,00               | 112,00  
Cliente 339  | Instalación 347 | 9,00         | 6,00               | 54,00   
Cliente 340  | Instalación 173 | 9,00         | 10,00              | 90,00   
Cliente 341  | Instalación 261 | 19,00        | 1,00               | 19,00   
Cliente 342  | Instalación 345 | 1,00         | 3,00               | 3,00    
Cliente 342  | Instalación 391 | 14,00        | 4,00               | 56,00   
Cliente 343  | Instalación 191 | 5,00         | 9,00               | 45,00   
Cliente 344  | Instalación 231 | 8,00         | 1,00               | 8,00    
Cliente 345  | Instalación 320 | 16,00        | 4,00               | 64,00   
Cliente 346  | Instalación 21  | 18,00        | 3,00               | 54,00   
Cliente 347  | Instalación 233 | 13,00        | 3,00               | 39,00   
Cliente 348  | Instalación 281 | 20,00        | 3,00               | 60,00   
Cliente 349  | Instalación 328 | 6,00         | 4,00               | 24,00   
Cliente 350  | Instalación 234 | 9,00         | 7,00               | 63,00   
Cliente 351  | Instalación 249 | 13,00        | 5,00               | 65,00   
Cliente 352  | Instalación 156 | 19,00        | 3,00               | 57,00   
Cliente 352  | Instalación 179 | 1,00         | 8,00               | 8,00    
Cliente 353  | Instalación 396 | 10,00        | 4,00               | 40,00   
Cliente 354  | Instalación 230 | 14,00        | 2,00               | 28,00   
Cliente 355  | Instalación 386 | 19,00        | 4,00               | 76,00   
Cliente 356  | Instalación 21  | 5,00         | 5,00               | 25,00   
Cliente 356  | Instalación 106 | 12,00        | 2,00               | 24,00   
Cliente 357  | Instalación 188 | 6,00         | 9,00               | 54,00   
Cliente 358  | Instalación 362 | 19,00        | 1,00               | 19,00   
Cliente 359  | Instalación 4   | 11,00        | 4,00               | 44,00   
Cliente 360  | Instalación 112 | 11,00        | 4,00               | 44,00   
Cliente 361  | Instalación 303 | 5,00         | 4,00               | 20,00   
Cliente 362  | Instalación 175 | 5,00         | 6,00               | 30,00   
Cliente 363  | Instalación 193 | 15,00        | 2,00               | 30,00   
Cliente 364  | Instalación 58  | 9,00         | 3,00               | 27,00   
Cliente 365  | Instalación 249 | 1,00         | 4,00               | 4,00    
Cliente 365  | Instalación 278 | 15,00        | 7,00               | 105,00  
Cliente 366  | Instalación 288 | 16,00        | 7,00               | 112,00  
Cliente 367  | Instalación 292 | 13,00        | 0,00               | 0,00    
Cliente 368  | Instalación 49  | 5,00         | 2,00               | 10,00   
Cliente 369  | Instalación 319 | 13,00        | 4,00               | 52,00   
Cliente 370  | Instalación 32  | 19,00        | 5,00               | 95,00   
Cliente 371  | Instalación 164 | 18,00        | 5,00               | 90,00   
Cliente 372  | Instalación 3   | 15,00        | 1,00               | 15,00   
Cliente 373  | Instalación 342 | 18,00        | 4,00               | 72,00   
Cliente 374  | Instalación 299 | 19,00        | 5,00               | 95,00   
Cliente 375  | Instalación 322 | 5,00         | 5,00               | 25,00   
Cliente 376  | Instalación 131 | 18,00        | 4,00               | 72,00   
Cliente 377  | Instalación 145 | 6,00         | 10,00              | 60,00   
Cliente 378  | Instalación 284 | 14,00        | 5,00               | 70,00   
Cliente 379  | Instalación 321 | 5,00         | 11,00              | 55,00   
Cliente 380  | Instalación 356 | 12,00        | 11,00              | 132,00  
Cliente 381  | Instalación 163 | 8,00         | 2,00               | 16,00   
