
--- TABLA 6: VERIFICACIÓN DE RESTRICCIONES ---
Capacidad
Instalación     | Carga Total | Capacidad | Estado 
Instalación 269 | 60,00       | 60,00     | ✓Límite
Instalación 270 | 45,00       | 50,00     | ✓OK    
Instalación 271 | 0,00        | 70,00     | ✓OK    
Instalación 272 | 69,00       | 70,00     | ✓OK    
Instalación 273 | 28,00       | 30,00     | ✓OK    
Instalación 274 | 0,00        | 70,00     | ✓OK    
Instalación 275 | 0,00        | 90,00     | ✓OK    
Instalación 276 | 69,00       | 70,00     | ✓OK    
Instalación 277 | 0,00        | 50,00     | ✓OK    
Instalación 278 | 36,00       | 40,00     | ✓OK    
Instalación 279 | 0,00        | 100,00    | ✓OK    
Instalación 280 | 57,00       | 60,00     | ✓OK    
Instalación 281 | 99,00       | 100,00    | ✓OK    
Instalación 282 | 0,00        | 60,00     | ✓OK    
Instalación 283 | 100,00      | 100,00    | ✓Límite
Instalación 284 | 90,00       | 90,00     | ✓Límite
Instalación 285 | 29,00       | 30,00     | ✓OK    
Instalación 286 | 0,00        | 80,00     | ✓OK    
Instalación 287 | 0,00        | 60,00     | ✓OK    
Instalación 288 | 50,00       | 50,00     | ✓Límite
Instalación 289 | 69,00       | 70,00     | ✓OK    
Instalación 290 | 0,00        | 80,00     | ✓OK    
Instalación 291 | 0,00        | 100,00    | ✓OK    
Instalación 292 | 30,00       | 30,00     | ✓Límite
Instalación 293 | 0,00        | 90,00     | ✓OK    
Instalación 294 | 0,00        | 70,00     | ✓OK    
Instalación 295 | 0,00        | 60,00     | ✓OK    
Instalación 296 | 29,00       | 30,00     | ✓OK    
Instalación 297 | 0,00        | 90,00     | ✓OK    
Instalación 298 | 0,00        | 100,00    | ✓OK    
Instalación 299 | 85,00       | 90,00     | ✓OK    
Instalación 300 | 0,00        | 50,00     | ✓OK    
Instalación 301 | 97,00       | 100,00    | ✓OK    
Instalación 302 | 39,00       | 40,00     | ✓OK    
Instalación 303 | 88,00       | 90,00     | ✓OK    
Instalación 304 | 60,00       | 60,00     | ✓Límite
Instalación 305 | 0,00        | 70,00     | ✓OK    
Instalación 306 | 40,00       | 40,00     | ✓Límite
Instalación 307 | 78,00       | 80,00     | ✓OK    
Instalación 308 | 0,00        | 90,00     | ✓OK    
Instalación 309 | 0,00        | 80,00     | ✓OK    
Instalación 310 | 29,00       | 30,00     | ✓OK    
Instalación 311 | 0,00        | 70,00     | ✓OK    
Instalación 312 | 0,00        | 80,00     | ✓OK    
Instalación 313 | 40,00       | 40,00     | ✓Límite
Instalación 314 | 42,00       | 50,00     | ✓OK    
Instalación 315 | 49,00       | 70,00     | ✓OK    
Instalación 316 | 0,00        | 100,00    | ✓OK    
Instalación 317 | 90,00       | 90,00     | ✓Límite
Instalación 318 | 0,00        | 70,00     | ✓OK    
Instalación 319 | 90,00       | 90,00     | ✓Límite
Instalación 320 | 77,00       | 80,00     | ✓OK    
Instalación 321 | 70,00       | 70,00     | ✓Límite
Instalación 322 | 58,00       | 60,00     | ✓OK    
Instalación 323 | 0,00        | 40,00     | ✓OK    
Instalación 324 | 0,00        | 30,00     | ✓OK    
Instalación 325 | 78,00       | 80,00     | ✓OK    
Instalación 326 | 0,00        | 60,00     | ✓OK    
Instalación 327 | 0,00        | 100,00    | ✓OK    
Instalación 328 | 88,00       | 90,00     | ✓OK    
Instalación 329 | 0,00        | 60,00     | ✓OK    
Instalación 330 | 0,00        | 100,00    | ✓OK    
Instalación 331 | 0,00        | 60,00     | ✓OK    
Instalación 332 | 89,00       | 90,00     | ✓OK    
Instalación 333 | 0,00        | 60,00     | ✓OK    
Instalación 334 | 68,00       | 70,00     | ✓OK    
Instalación 335 | 0,00        | 40,00     | ✓OK    
Instalación 336 | 0,00        | 50,00     | ✓OK    
Instalación 337 | 0,00        | 100,00    | ✓OK    
Instalación 338 | 30,00       | 30,00     | ✓Límite
Instalación 339 | 79,00       | 80,00     | ✓OK    
Instalación 340 | 0,00        | 80,00     | ✓OK    
Instalación 341 | 0,00        | 80,00     | ✓OK    
Instalación 342 | 70,00       | 70,00     | ✓Límite
Instalación 343 | 0,00        | 100,00    | ✓OK    
Instalación 344 | 30,00       | 30,00     | ✓Límite
Instalación 345 | 60,00       | 60,00     | ✓Límite
Instalación 346 | 0,00        | 100,00    | ✓OK    
Instalación 347 | 49,00       | 50,00     | ✓OK    
Instalación 348 | 28,00       | 30,00     | ✓OK    
Instalación 349 | 0,00        | 90,00     | ✓OK    
Instalación 350 | 0,00        | 60,00     | ✓OK    
Instalación 351 | 0,00        | 70,00     | ✓OK    
Instalación 352 | 29,00       | 50,00     | ✓OK    
Instalación 353 | 0,00        | 40,00     | ✓OK    
Instalación 354 | 0,00        | 90,00     | ✓OK    
Instalación 355 | 0,00        | 70,00     | ✓OK    
Instalación 356 | 49,00       | 50,00     | ✓OK    
Instalación 357 | 0,00        | 80,00     | ✓OK    
Instalación 358 | 100,00      | 100,00    | ✓Límite
Instalación 359 | 98,00       | 100,00    | ✓OK    
Instalación 360 | 58,00       | 60,00     | ✓OK    
Instalación 361 | 0,00        | 80,00     | ✓OK    
Instalación 362 | 100,00      | 100,00    | ✓Límite
Instalación 363 | 57,00       | 60,00     | ✓OK    
Instalación 364 | 0,00        | 70,00     | ✓OK    
Instalación 365 | 0,00        | 90,00     | ✓OK    
Instalación 366 | 100,00      | 100,00    | ✓Límite
Instalación 367 | 44,00       | 50,00     | ✓OK    
Instalación 368 | 59,00       | 60,00     | ✓OK    
Instalación 369 | 49,00       | 50,00     | ✓OK    
Instalación 370 | 70,00       | 70,00     | ✓Límite
Instalación 371 | 28,00       | 30,00     | ✓OK    
Instalación 372 | 0,00        | 40,00     | ✓OK    
Instalación 373 | 0,00        | 60,00     | ✓OK    
Instalación 374 | 0,00        | 50,00     | ✓OK    
Instalación 375 | 53,00       | 60,00     | ✓OK    
Instalación 376 | 98,00       | 100,00    | ✓OK    
Instalación 377 | 29,00       | 30,00     | ✓OK    
Instalación 378 | 29,00       | 30,00     | ✓OK    
Instalación 379 | 0,00        | 30,00     | ✓OK    
Instalación 380 | 90,00       | 90,00     | ✓Límite
Instalación 381 | 88,00       | 90,00     | ✓OK    
Instalación 382 | 0,00        | 80,00     | ✓OK    
Instalación 383 | 0,00        | 40,00     | ✓OK    
Instalación 384 | 0,00        | 60,00     | ✓OK    
Instalación 385 | 40,00       | 40,00     | ✓Límite
Instalación 386 | 80,00       | 80,00     | ✓Límite
Instalación 387 | 99,00       | 100,00    | ✓OK    
Instalación 388 | 0,00        | 50,00     | ✓OK    
Instalación 389 | 95,00       | 100,00    | ✓OK    
Instalación 390 | 60,00       | 60,00     | ✓Límite
Instalación 391 | 30,00       | 30,00     | ✓Límite
Instalación 392 | 0,00        | 40,00     | ✓OK    
Instalación 393 | 0,00        | 30,00     | ✓OK    
Instalación 394 | 50,00       | 50,00     | ✓Límite
Instalación 395 | 0,00        | 100,00    | ✓OK    
Instalación 396 | 75,00       | 80,00     | ✓OK    
Instalación 397 | 80,00       | 80,00     | ✓Límite
Instalación 398 | 0,00        | 30,00     | ✓OK    
Instalación 399 | 0,00        | 50,00     | ✓OK    

Incompatibilidades
Par incompatible | Estado
-----------------+-------
-                | ✓OK   
