
--- TABLA 5: DETALLE DE ASIGNACIÓN DE CLIENTES ---
Cliente      | Instalación     | Demanda | Asignada | Porcentaje (%)
Cliente 75   | Instalación 206 | 17,00   | 17,00    | 100,0 %       
Cliente 76   | Instalación 57  | 11,00   | 11,00    | 100,0 %       
Cliente 77   | Instalación 267 | 13,00   | 13,00    | 100,0 %       
Cliente 78   | Instalación 386 | 20,00   | 20,00    | 100,0 %       
Cliente 79   | Instalación 322 | 6,00    | 6,00     | 100,0 %       
Cliente 80   | Instalación 339 | 16,00   | 16,00    | 100,0 %       
Cliente 81   | Instalación 26  | 6,00    | 6,00     | 100,0 %       
Cliente 82   | Instalación 180 | 10,00   | 10,00    | 100,0 %       
Cliente 83   | Instalación 115 | 12,00   | 12,00    | 100,0 %       
Cliente 84   | Instalación 170 | 9,00    | 9,00     | 100,0 %       
Cliente 85   | Instalación 229 | 5,00    | 5,00     | 100,0 %       
Cliente 86   | Instalación 267 | 16,00   | 16,00    | 100,0 %       
Cliente 87   | Instalación 214 | 14,00   | 14,00    | 100,0 %       
Cliente 88   | Instalación 122 | 19,00   | 19,00    | 100,0 %       
Cliente 89   | Instalación 84  | 9,00    | 9,00     | 100,0 %       
Cliente 90   | Instalación 58  | 11,00   | 11,00    | 100,0 %       
Cliente 91   | Instalación 210 | 20,00   | 20,00    | 100,0 %       
Cliente 92   | Instalación 68  | 10,00   | 10,00    | 100,0 %       
Cliente 93   | Instalación 389 | 7,00    | 7,00     | 100,0 %       
Cliente 94   | Instalación 145 | 10,00   | 10,00    | 100,0 %       
Cliente 95   | Instalación 103 | 5,00    | 5,00     | 100,0 %       
Cliente 96   | Instalación 63  | 16,00   | 16,00    | 100,0 %       
Cliente 97   | Instalación 208 | 15,00   | 15,00    | 100,0 %       
Cliente 98   | Instalación 396 | 16,00   | 16,00    | 100,0 %       
Cliente 99   | Instalación 370 | 8,00    | 8,00     | 100,0 %       
Cliente 100  | Instalación 219 | 15,00   | 15,00    | 100,0 %       
Cliente 101  | Instalación 125 | 6,00    | 6,00     | 100,0 %       
Cliente 102  | Instalación 55  | 11,00   | 11,00    | 100,0 %       
Cliente 103  | Instalación 230 | 14,00   | 14,00    | 100,0 %       
Cliente 104  | Instalación 390 | 18,00   | 18,00    | 100,0 %       
Cliente 105  | Instalación 122 | 6,00    | 6,00     | 100,0 %       
Cliente 106  | Instalación 284 | 16,00   | 16,00    | 100,0 %       
Cliente 107  | Instalación 174 | 18,00   | 18,00    | 100,0 %       
Cliente 108  | Instalación 153 | 14,00   | 14,00    | 100,0 %       
Cliente 109  | Instalación 232 | 9,00    | 9,00     | 100,0 %       
Cliente 110  | Instalación 33  | 19,00   | 19,00    | 100,0 %       
Cliente 111  | Instalación 370 | 5,00    | 5,00     | 100,0 %       
Cliente 112  | Instalación 229 | 16,00   | 16,00    | 100,0 %       
Cliente 113  | Instalación 39  | 13,00   | 3,00     | 23,1 %        
Cliente 113  | Instalación 191 | 13,00   | 10,00    | 76,9 %        
Cliente 114  | Instalación 358 | 18,00   | 18,00    | 100,0 %       
Cliente 115  | Instalación 147 | 13,00   | 13,00    | 100,0 %       
Cliente 116  | Instalación 238 | 9,00    | 9,00     | 100,0 %       
Cliente 117  | Instalación 61  | 20,00   | 12,00    | 60,0 %        
Cliente 117  | Instalación 359 | 20,00   | 8,00     | 40,0 %        
Cliente 118  | Instalación 65  | 20,00   | 13,00    | 65,0 %        
Cliente 118  | Instalación 197 | 20,00   | 7,00     | 35,0 %        
Cliente 119  | Instalación 184 | 12,00   | 12,00    | 100,0 %       
Cliente 120  | Instalación 366 | 20,00   | 20,00    | 100,0 %       
Cliente 121  | Instalación 276 | 13,00   | 13,00    | 100,0 %       
Cliente 122  | Instalación 263 | 15,00   | 15,00    | 100,0 %       
Cliente 123  | Instalación 49  | 13,00   | 4,00     | 30,8 %        
Cliente 123  | Instalación 222 | 13,00   | 9,00     | 69,2 %        
Cliente 124  | Instalación 214 | 9,00    | 9,00     | 100,0 %       
Cliente 125  | Instalación 188 | 12,00   | 12,00    | 100,0 %       
Cliente 126  | Instalación 106 | 9,00    | 9,00     | 100,0 %       
Cliente 127  | Instalación 387 | 18,00   | 18,00    | 100,0 %       
Cliente 128  | Instalación 150 | 19,00   | 19,00    | 100,0 %       
Cliente 129  | Instalación 289 | 10,00   | 10,00    | 100,0 %       
Cliente 130  | Instalación 272 | 18,00   | 18,00    | 100,0 %       
Cliente 131  | Instalación 261 | 13,00   | 13,00    | 100,0 %       
Cliente 132  | Instalación 48  | 7,00    | 7,00     | 100,0 %       
Cliente 133  | Instalación 212 | 10,00   | 10,00    | 100,0 %       
Cliente 134  | Instalación 217 | 20,00   | 20,00    | 100,0 %       
Cliente 135  | Instalación 194 | 7,00    | 7,00     | 100,0 %       
Cliente 136  | Instalación 248 | 16,00   | 16,00    | 100,0 %       
Cliente 137  | Instalación 6   | 15,00   | 15,00    | 100,0 %       
Cliente 138  | Instalación 254 | 17,00   | 17,00    | 100,0 %       
Cliente 139  | Instalación 135 | 16,00   | 16,00    | 100,0 %       
Cliente 140  | Instalación 141 | 12,00   | 12,00    | 100,0 %       
Cliente 141  | Instalación 238 | 7,00    | 7,00     | 100,0 %       
Cliente 142  | Instalación 381 | 12,00   | 12,00    | 100,0 %       
Cliente 143  | Instalación 158 | 12,00   | 12,00    | 100,0 %       
Cliente 144  | Instalación 57  | 11,00   | 11,00    | 100,0 %       
Cliente 145  | Instalación 217 | 17,00   | 17,00    | 100,0 %       
Cliente 146  | Instalación 234 | 6,00    | 6,00     | 100,0 %       
Cliente 147  | Instalación 380 | 13,00   | 13,00    | 100,0 %       
Cliente 148  | Instalación 112 | 14,00   | 14,00    | 100,0 %       
Cliente 149  | Instalación 296 | 18,00   | 18,00    | 100,0 %       
Cliente 150  | Instalación 135 | 19,00   | 19,00    | 100,0 %       
Cliente 151  | Instalación 359 | 16,00   | 16,00    | 100,0 %       
Cliente 152  | Instalación 339 | 10,00   | 10,00    | 100,0 %       
Cliente 153  | Instalación 153 | 13,00   | 13,00    | 100,0 %       
Cliente 154  | Instalación 161 | 13,00   | 13,00    | 100,0 %       
Cliente 155  | Instalación 49  | 6,00    | 6,00     | 100,0 %       
Cliente 156  | Instalación 66  | 5,00    | 5,00     | 100,0 %       
Cliente 157  | Instalación 380 | 11,00   | 11,00    | 100,0 %       
Cliente 158  | Instalación 232 | 10,00   | 10,00    | 100,0 %       
Cliente 159  | Instalación 75  | 15,00   | 15,00    | 100,0 %       
Cliente 160  | Instalación 284 | 12,00   | 12,00    | 100,0 %       
Cliente 161  | Instalación 124 | 8,00    | 8,00     | 100,0 %       
Cliente 162  | Instalación 356 | 20,00   | 20,00    | 100,0 %       
Cliente 163  | Instalación 328 | 9,00    | 9,00     | 100,0 %       
Cliente 164  | Instalación 320 | 6,00    | 6,00     | 100,0 %       
Cliente 165  | Instalación 11  | 14,00   | 14,00    | 100,0 %       
Cliente 166  | Instalación 208 | 13,00   | 13,00    | 100,0 %       
Cliente 167  | Instalación 262 | 10,00   | 10,00    | 100,0 %       
Cliente 168  | Instalación 391 | 9,00    | 9,00     | 100,0 %       
Cliente 169  | Instalación 258 | 16,00   | 16,00    | 100,0 %       
Cliente 170  | Instalación 158 | 17,00   | 17,00    | 100,0 %       
Cliente 171  | Instalación 51  | 17,00   | 17,00    | 100,0 %       
Cliente 172  | Instalación 255 | 8,00    | 8,00     | 100,0 %       
Cliente 173  | Instalación 322 | 20,00   | 20,00    | 100,0 %       
Cliente 174  | Instalación 258 | 14,00   | 14,00    | 100,0 %       
Cliente 175  | Instalación 363 | 6,00    | 6,00     | 100,0 %       
Cliente 176  | Instalación 153 | 11,00   | 11,00    | 100,0 %       
Cliente 177  | Instalación 3   | 20,00   | 20,00    | 100,0 %       
Cliente 178  | Instalación 244 | 17,00   | 17,00    | 100,0 %       
Cliente 179  | Instalación 251 | 7,00    | 7,00     | 100,0 %       
Cliente 180  | Instalación 53  | 7,00    | 7,00     | 100,0 %       
Cliente 181  | Instalación 28  | 15,00   | 15,00    | 100,0 %       
Cliente 182  | Instalación 49  | 15,00   | 12,00    | 80,0 %        
Cliente 182  | Instalación 385 | 15,00   | 3,00     | 20,0 %        
Cliente 183  | Instalación 136 | 10,00   | 10,00    | 100,0 %       
Cliente 184  | Instalación 289 | 20,00   | 20,00    | 100,0 %       
Cliente 185  | Instalación 380 | 9,00    | 9,00     | 100,0 %       
Cliente 186  | Instalación 180 | 14,00   | 14,00    | 100,0 %       
Cliente 187  | Instalación 342 | 5,00    | 5,00     | 100,0 %       
Cliente 188  | Instalación 332 | 18,00   | 18,00    | 100,0 %       
Cliente 189  | Instalación 82  | 10,00   | 10,00    | 100,0 %       
Cliente 190  | Instalación 7   | 9,00    | 9,00     | 100,0 %       
Cliente 191  | Instalación 321 | 18,00   | 18,00    | 100,0 %       
Cliente 192  | Instalación 381 | 13,00   | 13,00    | 100,0 %       
Cliente 193  | Instalación 377 | 11,00   | 11,00    | 100,0 %       
Cliente 194  | Instalación 267 | 7,00    | 7,00     | 100,0 %       
Cliente 195  | Instalación 176 | 11,00   | 11,00    | 100,0 %       
Cliente 196  | Instalación 84  | 6,00    | 6,00     | 100,0 %       
Cliente 197  | Instalación 60  | 8,00    | 8,00     | 100,0 %       
Cliente 198  | Instalación 57  | 10,00   | 10,00    | 100,0 %       
Cliente 199  | Instalación 310 | 16,00   | 16,00    | 100,0 %       
Cliente 200  | Instalación 238 | 17,00   | 17,00    | 100,0 %       
Cliente 201  | Instalación 7   | 14,00   | 14,00    | 100,0 %       
Cliente 202  | Instalación 381 | 11,00   | 11,00    | 100,0 %       
Cliente 203  | Instalación 362 | 15,00   | 15,00    | 100,0 %       
Cliente 204  | Instalación 376 | 5,00    | 5,00     | 100,0 %       
Cliente 205  | Instalación 63  | 16,00   | 14,00    | 87,5 %        
Cliente 205  | Instalación 368 | 16,00   | 2,00     | 12,5 %        
Cliente 206  | Instalación 178 | 6,00    | 3,00     | 50,0 %        
Cliente 206  | Instalación 237 | 6,00    | 3,00     | 50,0 %        
Cliente 207  | Instalación 7   | 6,00    | 6,00     | 100,0 %       
Cliente 208  | Instalación 321 | 10,00   | 10,00    | 100,0 %       
Cliente 209  | Instalación 74  | 17,00   | 17,00    | 100,0 %       
Cliente 210  | Instalación 178 | 10,00   | 10,00    | 100,0 %       
Cliente 211  | Instalación 231 | 17,00   | 17,00    | 100,0 %       
Cliente 212  | Instalación 67  | 12,00   | 12,00    | 100,0 %       
Cliente 213  | Instalación 204 | 12,00   | 12,00    | 100,0 %       
Cliente 214  | Instalación 106 | 18,00   | 18,00    | 100,0 %       
Cliente 215  | Instalación 184 | 16,00   | 12,00    | 75,0 %        
Cliente 215  | Instalación 261 | 16,00   | 4,00     | 25,0 %        
Cliente 216  | Instalación 319 | 9,00    | 9,00     | 100,0 %       
Cliente 217  | Instalación 175 | 7,00    | 7,00     | 100,0 %       
Cliente 218  | Instalación 230 | 18,00   | 17,00    | 94,4 %        
Cliente 218  | Instalación 232 | 18,00   | 1,00     | 5,6 %         
Cliente 219  | Instalación 153 | 15,00   | 15,00    | 100,0 %       
Cliente 220  | Instalación 261 | 16,00   | 16,00    | 100,0 %       
Cliente 221  | Instalación 332 | 5,00    | 5,00     | 100,0 %       
Cliente 222  | Instalación 358 | 14,00   | 14,00    | 100,0 %       
Cliente 223  | Instalación 321 | 11,00   | 11,00    | 100,0 %       
Cliente 224  | Instalación 214 | 16,00   | 16,00    | 100,0 %       
Cliente 225  | Instalación 280 | 13,00   | 4,00     | 30,8 %        
Cliente 225  | Instalación 284 | 13,00   | 9,00     | 69,2 %        
Cliente 226  | Instalación 281 | 14,00   | 14,00    | 100,0 %       
Cliente 227  | Instalación 3   | 14,00   | 14,00    | 100,0 %       
Cliente 228  | Instalación 60  | 15,00   | 15,00    | 100,0 %       
Cliente 229  | Instalación 263 | 14,00   | 14,00    | 100,0 %       
Cliente 230  | Instalación 193 | 6,00    | 6,00     | 100,0 %       
Cliente 231  | Instalación 360 | 6,00    | 6,00     | 100,0 %       
Cliente 232  | Instalación 184 | 8,00    | 8,00     | 100,0 %       
Cliente 233  | Instalación 98  | 15,00   | 15,00    | 100,0 %       
Cliente 234  | Instalación 77  | 15,00   | 15,00    | 100,0 %       
Cliente 235  | Instalación 199 | 20,00   | 15,00    | 75,0 %        
Cliente 235  | Instalación 219 | 20,00   | 4,00     | 20,0 %        
Cliente 235  | Instalación 321 | 20,00   | 1,00     | 5,0 %         
Cliente 236  | Instalación 64  | 13,00   | 3,00     | 23,1 %        
Cliente 236  | Instalación 173 | 13,00   | 10,00    | 76,9 %        
Cliente 237  | Instalación 181 | 12,00   | 10,00    | 83,3 %        
Cliente 237  | Instalación 313 | 12,00   | 2,00     | 16,7 %        
Cliente 238  | Instalación 367 | 10,00   | 10,00    | 100,0 %       
Cliente 239  | Instalación 179 | 10,00   | 10,00    | 100,0 %       
Cliente 240  | Instalación 63  | 16,00   | 16,00    | 100,0 %       
Cliente 241  | Instalación 157 | 9,00    | 9,00     | 100,0 %       
Cliente 242  | Instalación 103 | 15,00   | 15,00    | 100,0 %       
Cliente 243  | Instalación 2   | 18,00   | 18,00    | 100,0 %       
Cliente 244  | Instalación 131 | 14,00   | 7,00     | 50,0 %        
Cliente 244  | Instalación 157 | 14,00   | 7,00     | 50,0 %        
Cliente 245  | Instalación 322 | 11,00   | 11,00    | 100,0 %       
Cliente 246  | Instalación 233 | 20,00   | 20,00    | 100,0 %       
Cliente 247  | Instalación 158 | 5,00    | 5,00     | 100,0 %       
Cliente 248  | Instalación 4   | 11,00   | 11,00    | 100,0 %       
Cliente 249  | Instalación 255 | 5,00    | 5,00     | 100,0 %       
Cliente 250  | Instalación 262 | 15,00   | 15,00    | 100,0 %       
Cliente 251  | Instalación 304 | 12,00   | 12,00    | 100,0 %       
Cliente 252  | Instalación 82  | 7,00    | 7,00     | 100,0 %       
Cliente 253  | Instalación 175 | 13,00   | 4,00     | 30,8 %        
Cliente 253  | Instalación 359 | 13,00   | 9,00     | 69,2 %        
Cliente 254  | Instalación 248 | 12,00   | 12,00    | 100,0 %       
Cliente 255  | Instalación 319 | 10,00   | 10,00    | 100,0 %       
Cliente 256  | Instalación 315 | 13,00   | 13,00    | 100,0 %       
Cliente 257  | Instalación 153 | 9,00    | 9,00     | 100,0 %       
Cliente 258  | Instalación 18  | 7,00    | 7,00     | 100,0 %       
Cliente 259  | Instalación 162 | 19,00   | 19,00    | 100,0 %       
Cliente 260  | Instalación 106 | 12,00   | 12,00    | 100,0 %       
Cliente 261  | Instalación 366 | 20,00   | 20,00    | 100,0 %       
Cliente 262  | Instalación 276 | 13,00   | 13,00    | 100,0 %       
Cliente 263  | Instalación 145 | 13,00   | 13,00    | 100,0 %       
Cliente 264  | Instalación 178 | 18,00   | 18,00    | 100,0 %       
Cliente 265  | Instalación 112 | 18,00   | 18,00    | 100,0 %       
Cliente 266  | Instalación 161 | 7,00    | 7,00     | 100,0 %       
Cliente 267  | Instalación 67  | 12,00   | 12,00    | 100,0 %       
Cliente 268  | Instalación 258 | 11,00   | 11,00    | 100,0 %       
Cliente 269  | Instalación 263 | 19,00   | 19,00    | 100,0 %       
Cliente 270  | Instalación 55  | 13,00   | 13,00    | 100,0 %       
Cliente 271  | Instalación 369 | 6,00    | 6,00     | 100,0 %       
Cliente 272  | Instalación 229 | 17,00   | 17,00    | 100,0 %       
Cliente 273  | Instalación 31  | 9,00    | 9,00     | 100,0 %       
Cliente 274  | Instalación 112 | 19,00   | 19,00    | 100,0 %       
Cliente 275  | Instalación 77  | 12,00   | 12,00    | 100,0 %       
Cliente 276  | Instalación 29  | 15,00   | 15,00    | 100,0 %       
Cliente 277  | Instalación 26  | 13,00   | 13,00    | 100,0 %       
Cliente 278  | Instalación 302 | 20,00   | 20,00    | 100,0 %       
Cliente 279  | Instalación 162 | 11,00   | 11,00    | 100,0 %       
Cliente 280  | Instalación 370 | 9,00    | 9,00     | 100,0 %       
Cliente 281  | Instalación 397 | 17,00   | 17,00    | 100,0 %       
Cliente 282  | Instalación 45  | 20,00   | 20,00    | 100,0 %       
Cliente 283  | Instalación 63  | 19,00   | 19,00    | 100,0 %       
Cliente 284  | Instalación 119 | 20,00   | 10,00    | 50,0 %        
Cliente 284  | Instalación 276 | 20,00   | 1,00     | 5,0 %         
Cliente 284  | Instalación 332 | 20,00   | 9,00     | 45,0 %        
Cliente 285  | Instalación 14  | 18,00   | 18,00    | 100,0 %       
Cliente 286  | Instalación 193 | 17,00   | 17,00    | 100,0 %       
Cliente 287  | Instalación 299 | 18,00   | 18,00    | 100,0 %       
Cliente 288  | Instalación 334 | 19,00   | 19,00    | 100,0 %       
Cliente 289  | Instalación 344 | 14,00   | 14,00    | 100,0 %       
Cliente 290  | Instalación 253 | 9,00    | 9,00     | 100,0 %       
Cliente 291  | Instalación 65  | 18,00   | 18,00    | 100,0 %       
Cliente 292  | Instalación 381 | 15,00   | 15,00    | 100,0 %       
Cliente 293  | Instalación 153 | 17,00   | 17,00    | 100,0 %       
Cliente 294  | Instalación 317 | 14,00   | 14,00    | 100,0 %       
Cliente 295  | Instalación 342 | 9,00    | 9,00     | 100,0 %       
Cliente 296  | Instalación 307 | 15,00   | 15,00    | 100,0 %       
Cliente 297  | Instalación 359 | 16,00   | 16,00    | 100,0 %       
Cliente 298  | Instalación 124 | 16,00   | 16,00    | 100,0 %       
Cliente 299  | Instalación 304 | 16,00   | 16,00    | 100,0 %       
Cliente 300  | Instalación 342 | 6,00    | 6,00     | 100,0 %       
Cliente 301  | Instalación 18  | 18,00   | 18,00    | 100,0 %       
Cliente 302  | Instalación 345 | 8,00    | 8,00     | 100,0 %       
Cliente 303  | Instalación 283 | 8,00    | 8,00     | 100,0 %       
Cliente 304  | Instalación 233 | 17,00   | 17,00    | 100,0 %       
Cliente 305  | Instalación 215 | 8,00    | 8,00     | 100,0 %       
Cliente 306  | Instalación 33  | 8,00    | 8,00     | 100,0 %       
Cliente 307  | Instalación 56  | 5,00    | 5,00     | 100,0 %       
Cliente 308  | Instalación 320 | 15,00   | 15,00    | 100,0 %       
Cliente 309  | Instalación 147 | 11,00   | 11,00    | 100,0 %       
Cliente 310  | Instalación 303 | 18,00   | 18,00    | 100,0 %       
Cliente 311  | Instalación 179 | 8,00    | 8,00     | 100,0 %       
Cliente 312  | Instalación 397 | 15,00   | 15,00    | 100,0 %       
Cliente 313  | Instalación 84  | 12,00   | 12,00    | 100,0 %       
Cliente 314  | Instalación 234 | 19,00   | 19,00    | 100,0 %       
Cliente 315  | Instalación 380 | 7,00    | 7,00     | 100,0 %       
Cliente 316  | Instalación 199 | 5,00    | 5,00     | 100,0 %       
Cliente 317  | Instalación 358 | 13,00   | 13,00    | 100,0 %       
Cliente 318  | Instalación 58  | 14,00   | 14,00    | 100,0 %       
Cliente 319  | Instalación 269 | 10,00   | 10,00    | 100,0 %       
Cliente 320  | Instalación 161 | 8,00    | 8,00     | 100,0 %       
Cliente 321  | Instalación 107 | 15,00   | 2,00     | 13,3 %        
Cliente 321  | Instalación 267 | 15,00   | 13,00    | 86,7 %        
Cliente 322  | Instalación 48  | 13,00   | 13,00    | 100,0 %       
Cliente 323  | Instalación 98  | 14,00   | 14,00    | 100,0 %       
Cliente 324  | Instalación 363 | 10,00   | 10,00    | 100,0 %       
Cliente 325  | Instalación 124 | 6,00    | 6,00     | 100,0 %       
Cliente 326  | Instalación 289 | 20,00   | 20,00    | 100,0 %       
Cliente 327  | Instalación 96  | 13,00   | 13,00    | 100,0 %       
Cliente 328  | Instalación 176 | 17,00   | 17,00    | 100,0 %       
Cliente 329  | Instalación 320 | 20,00   | 20,00    | 100,0 %       
Cliente 330  | Instalación 56  | 20,00   | 20,00    | 100,0 %       
Cliente 331  | Instalación 328 | 17,00   | 17,00    | 100,0 %       
Cliente 332  | Instalación 71  | 9,00    | 9,00     | 100,0 %       
Cliente 333  | Instalación 394 | 6,00    | 6,00     | 100,0 %       
Cliente 334  | Instalación 60  | 6,00    | 6,00     | 100,0 %       
Cliente 335  | Instalación 151 | 14,00   | 14,00    | 100,0 %       
Cliente 336  | Instalación 85  | 6,00    | 6,00     | 100,0 %       
Cliente 337  | Instalación 118 | 12,00   | 12,00    | 100,0 %       
Cliente 338  | Instalación 2   | 16,00   | 16,00    | 100,0 %       
Cliente 339  | Instalación 347 | 9,00    | 9,00     | 100,0 %       
Cliente 340  | Instalación 173 | 9,00    | 9,00     | 100,0 %       
Cliente 341  | Instalación 261 | 19,00   | 19,00    | 100,0 %       
Cliente 342  | Instalación 345 | 15,00   | 1,00     | 6,7 %         
Cliente 342  | Instalación 391 | 15,00   | 14,00    | 93,3 %        
Cliente 343  | Instalación 191 | 5,00    | 5,00     | 100,0 %       
Cliente 344  | Instalación 231 | 8,00    | 8,00     | 100,0 %       
Cliente 345  | Instalación 320 | 16,00   | 16,00    | 100,0 %       
Cliente 346  | Instalación 21  | 18,00   | 18,00    | 100,0 %       
Cliente 347  | Instalación 233 | 13,00   | 13,00    | 100,0 %       
Cliente 348  | Instalación 281 | 20,00   | 20,00    | 100,0 %       
Cliente 349  | Instalación 328 | 6,00    | 6,00     | 100,0 %       
Cliente 350  | Instalación 234 | 9,00    | 9,00     | 100,0 %       
Cliente 351  | Instalación 249 | 13,00   | 13,00    | 100,0 %       
Cliente 352  | Instalación 156 | 20,00   | 19,00    | 95,0 %        
Cliente 352  | Instalación 179 | 20,00   | 1,00     | 5,0 %         
Cliente 353  | Instalación 396 | 10,00   | 10,00    | 100,0 %       
Cliente 354  | Instalación 230 | 14,00   | 14,00    | 100,0 %       
Cliente 355  | Instalación 386 | 19,00   | 19,00    | 100,0 %       
Cliente 356  | Instalación 21  | 17,00   | 5,00     | 29,4 %        
Cliente 356  | Instalación 106 | 17,00   | 12,00    | 70,6 %        
Cliente 357  | Instalación 188 | 6,00    | 6,00     | 100,0 %       
Cliente 358  | Instalación 362 | 19,00   | 19,00    | 100,0 %       
Cliente 359  | Instalación 4   | 11,00   | 11,00    | 100,0 %       
Cliente 360  | Instalación 112 | 11,00   | 11,00    | 100,0 %       
