
--- TABLA 6: VERIFICACIÓN DE RESTRICCIONES ---
Capacidad
Instalación     | Carga Total | Capacidad | Estado 
Instalación 65  | 43,00       | 70,00     | ✓OK    
Instalación 66  | 0,00        | 100,00    | ✓OK    
Instalación 67  | 98,00       | 100,00    | ✓OK    
Instalación 68  | 0,00        | 70,00     | ✓OK    
Instalación 69  | 78,00       | 80,00     | ✓OK    
Instalación 70  | 68,00       | 70,00     | ✓OK    
Instalación 71  | 0,00        | 80,00     | ✓OK    
Instalación 72  | 0,00        | 90,00     | ✓OK    
Instalación 73  | 59,00       | 60,00     | ✓OK    
Instalación 74  | 0,00        | 70,00     | ✓OK    
Instalación 75  | 0,00        | 70,00     | ✓OK    
Instalación 76  | 27,00       | 30,00     | ✓OK    
Instalación 77  | 0,00        | 60,00     | ✓OK    
Instalación 78  | 84,00       | 90,00     | ✓OK    
Instalación 79  | 48,00       | 50,00     | ✓OK    
Instalación 80  | 67,00       | 70,00     | ✓OK    
Instalación 81  | 25,00       | 30,00     | ✓OK    
Instalación 82  | 0,00        | 90,00     | ✓OK    
Instalación 83  | 0,00        | 50,00     | ✓OK    
Instalación 84  | 79,00       | 80,00     | ✓OK    
Instalación 85  | 0,00        | 100,00    | ✓OK    
Instalación 86  | 0,00        | 60,00     | ✓OK    
Instalación 87  | 28,00       | 30,00     | ✓OK    
Instalación 88  | 49,00       | 50,00     | ✓OK    
Instalación 89  | 0,00        | 40,00     | ✓OK    
Instalación 90  | 32,00       | 40,00     | ✓OK    
Instalación 91  | 0,00        | 100,00    | ✓OK    
Instalación 92  | 34,00       | 40,00     | ✓OK    
Instalación 93  | 50,00       | 50,00     | ✓Límite
Instalación 94  | 95,00       | 100,00    | ✓OK    
Instalación 95  | 0,00        | 90,00     | ✓OK    
Instalación 96  | 0,00        | 90,00     | ✓OK    
Instalación 97  | 29,00       | 40,00     | ✓OK    
Instalación 98  | 65,00       | 70,00     | ✓OK    
Instalación 99  | 30,00       | 30,00     | ✓Límite
Instalación 100 | 49,00       | 50,00     | ✓OK    
Instalación 101 | 0,00        | 70,00     | ✓OK    
Instalación 102 | 0,00        | 40,00     | ✓OK    
Instalación 103 | 39,00       | 40,00     | ✓OK    
Instalación 104 | 39,00       | 40,00     | ✓OK    
Instalación 105 | 0,00        | 30,00     | ✓OK    
Instalación 106 | 49,00       | 50,00     | ✓OK    
Instalación 107 | 59,00       | 60,00     | ✓OK    
Instalación 108 | 88,00       | 90,00     | ✓OK    
Instalación 109 | 52,00       | 70,00     | ✓OK    
Instalación 110 | 70,00       | 70,00     | ✓Límite
Instalación 111 | 80,00       | 80,00     | ✓Límite
Instalación 112 | 98,00       | 100,00    | ✓OK    
Instalación 113 | 70,00       | 70,00     | ✓Límite
Instalación 114 | 0,00        | 40,00     | ✓OK    
Instalación 115 | 29,00       | 30,00     | ✓OK    
Instalación 116 | 0,00        | 60,00     | ✓OK    
Instalación 117 | 0,00        | 50,00     | ✓OK    
Instalación 118 | 0,00        | 50,00     | ✓OK    
Instalación 119 | 0,00        | 100,00    | ✓OK    
Instalación 120 | 0,00        | 50,00     | ✓OK    
Instalación 121 | 39,00       | 40,00     | ✓OK    
Instalación 122 | 0,00        | 100,00    | ✓OK    
Instalación 123 | 99,00       | 100,00    | ✓OK    
Instalación 124 | 80,00       | 80,00     | ✓Límite
Instalación 125 | 0,00        | 70,00     | ✓OK    
Instalación 126 | 0,00        | 70,00     | ✓OK    
Instalación 127 | 36,00       | 50,00     | ✓OK    
Instalación 128 | 60,00       | 60,00     | ✓Límite
Instalación 129 | 40,00       | 40,00     | ✓Límite
Instalación 130 | 0,00        | 100,00    | ✓OK    
Instalación 131 | 0,00        | 50,00     | ✓OK    
Instalación 132 | 80,00       | 80,00     | ✓Límite
Instalación 133 | 45,00       | 80,00     | ✓OK    
Instalación 134 | 0,00        | 80,00     | ✓OK    
Instalación 135 | 0,00        | 70,00     | ✓OK    
Instalación 136 | 50,00       | 50,00     | ✓Límite
Instalación 137 | 36,00       | 40,00     | ✓OK    
Instalación 138 | 0,00        | 90,00     | ✓OK    
Instalación 139 | 0,00        | 90,00     | ✓OK    
Instalación 140 | 0,00        | 90,00     | ✓OK    
Instalación 141 | 40,00       | 40,00     | ✓Límite
Instalación 142 | 46,00       | 50,00     | ✓OK    
Instalación 143 | 0,00        | 40,00     | ✓OK    
Instalación 144 | 45,00       | 70,00     | ✓OK    
Instalación 145 | 0,00        | 60,00     | ✓OK    
Instalación 146 | 21,00       | 30,00     | ✓OK    
Instalación 147 | 40,00       | 40,00     | ✓Límite
Instalación 148 | 0,00        | 50,00     | ✓OK    
Instalación 149 | 0,00        | 40,00     | ✓OK    

Incompatibilidades
Par incompatible | Estado
-----------------+-------
-                | ✓OK   
