
--- TABLA 7: DESGLOSE DETALLADO DE COSTES VARIABLES DE TRANSPORTE ---
Cliente     | Instalación     | Cantidad (q) | Coste Unitario (c) | Subtotal
Cliente 46  | Instalación 132 | 15,00        | 2,00               | 30,00   
Cliente 47  | Instalación 88  | 18,00        | 4,00               | 72,00   
Cliente 48  | Instalación 84  | 11,00        | 1,00               | 11,00   
Cliente 49  | Instalación 104 | 8,00         | 5,00               | 40,00   
Cliente 50  | Instalación 24  | 13,00        | 6,00               | 78,00   
Cliente 51  | Instalación 15  | 5,00         | 3,00               | 15,00   
Cliente 52  | Instalación 5   | 19,00        | 4,00               | 76,00   
Cliente 53  | Instalación 67  | 9,00         | 4,00               | 36,00   
Cliente 54  | Instalación 99  | 17,00        | 4,00               | 68,00   
Cliente 55  | Instalación 123 | 5,00         | 9,00               | 45,00   
Cliente 56  | Instalación 78  | 8,00         | 2,00               | 16,00   
Cliente 57  | Instalación 46  | 10,00        | 1,00               | 10,00   
Cliente 58  | Instalación 132 | 15,00        | 6,00               | 90,00   
Cliente 59  | Instalación 29  | 17,00        | 9,00               | 153,00  
Cliente 60  | Instalación 127 | 18,00        | 5,00               | 90,00   
Cliente 61  | Instalación 111 | 16,00        | 2,00               | 32,00   
Cliente 62  | Instalación 93  | 11,00        | 2,00               | 22,00   
Cliente 63  | Instalación 129 | 10,00        | 5,00               | 50,00   
Cliente 64  | Instalación 111 | 12,00        | 4,00               | 48,00   
Cliente 65  | Instalación 7   | 14,00        | 7,00               | 98,00   
Cliente 66  | Instalación 78  | 13,00        | 2,00               | 26,00   
Cliente 67  | Instalación 44  | 8,00         | 8,00               | 64,00   
Cliente 68  | Instalación 24  | 12,00        | 8,00               | 96,00   
Cliente 69  | Instalación 61  | 10,00        | 9,00               | 90,00   
Cliente 70  | Instalación 0   | 10,00        | 6,00               | 60,00   
Cliente 71  | Instalación 39  | 9,00         | 5,00               | 45,00   
Cliente 72  | Instalación 84  | 15,00        | 4,00               | 60,00   
Cliente 73  | Instalación 60  | 13,00        | 4,00               | 52,00   
Cliente 74  | Instalación 111 | 12,00        | 8,00               | 96,00   
Cliente 75  | Instalación 67  | 15,00        | 11,00              | 165,00  
Cliente 76  | Instalación 104 | 8,00         | 5,00               | 40,00   
Cliente 77  | Instalación 147 | 14,00        | 2,00               | 28,00   
Cliente 78  | Instalación 24  | 12,00        | 1,00               | 12,00   
Cliente 79  | Instalación 141 | 13,00        | 11,00              | 143,00  
Cliente 80  | Instalación 4   | 13,00        | 1,00               | 13,00   
Cliente 81  | Instalación 81  | 16,00        | 4,00               | 64,00   
Cliente 82  | Instalación 4   | 5,00         | 7,00               | 35,00   
Cliente 83  | Instalación 26  | 16,00        | 8,00               | 128,00  
Cliente 84  | Instalación 46  | 16,00        | 4,00               | 64,00   
Cliente 85  | Instalación 128 | 14,00        | 4,00               | 56,00   
Cliente 86  | Instalación 5   | 8,00         | 8,00               | 64,00   
Cliente 87  | Instalación 46  | 10,00        | 8,00               | 80,00   
Cliente 88  | Instalación 44  | 11,00        | 6,00               | 66,00   
Cliente 89  | Instalación 112 | 12,00        | 11,00              | 132,00  
Cliente 90  | Instalación 43  | 5,00         | 5,00               | 25,00   
Cliente 91  | Instalación 92  | 16,00        | 13,00              | 208,00  
Cliente 92  | Instalación 63  | 5,00         | 4,00               | 20,00   
Cliente 93  | Instalación 35  | 14,00        | 4,00               | 56,00   
Cliente 94  | Instalación 111 | 9,00         | 12,00              | 108,00  
Cliente 95  | Instalación 97  | 15,00        | 2,00               | 30,00   
Cliente 96  | Instalación 94  | 12,00        | 4,00               | 48,00   
Cliente 97  | Instalación 39  | 10,00        | 9,00               | 90,00   
Cliente 98  | Instalación 133 | 10,00        | 5,00               | 50,00   
Cliente 99  | Instalación 8   | 6,00         | 3,00               | 18,00   
Cliente 100 | Instalación 8   | 12,00        | 4,00               | 48,00   
Cliente 101 | Instalación 80  | 17,00        | 8,00               | 136,00  
Cliente 102 | Instalación 108 | 3,00         | 8,00               | 24,00   
Cliente 102 | Instalación 112 | 14,00        | 7,00               | 98,00   
Cliente 103 | Instalación 44  | 11,00        | 9,00               | 99,00   
Cliente 104 | Instalación 110 | 7,00         | 8,00               | 56,00   
Cliente 105 | Instalación 107 | 7,00         | 4,00               | 28,00   
Cliente 106 | Instalación 42  | 9,00         | 5,00               | 45,00   
Cliente 107 | Instalación 112 | 18,00        | 3,00               | 54,00   
Cliente 108 | Instalación 84  | 18,00        | 4,00               | 72,00   
Cliente 109 | Instalación 142 | 12,00        | 11,00              | 132,00  
Cliente 110 | Instalación 51  | 7,00         | 11,00              | 77,00   
Cliente 111 | Instalación 94  | 7,00         | 11,00              | 77,00   
Cliente 112 | Instalación 67  | 10,00        | 6,00               | 60,00   
Cliente 113 | Instalación 70  | 6,00         | 3,00               | 18,00   
Cliente 114 | Instalación 31  | 18,00        | 7,00               | 126,00  
Cliente 115 | Instalación 69  | 13,00        | 10,00              | 130,00  
Cliente 116 | Instalación 136 | 15,00        | 3,00               | 45,00   
Cliente 117 | Instalación 67  | 6,00         | 7,00               | 42,00   
Cliente 118 | Instalación 51  | 12,00        | 13,00              | 156,00  
Cliente 118 | Instalación 80  | 8,00         | 8,00               | 64,00   
Cliente 119 | Instalación 60  | 6,00         | 5,00               | 30,00   
Cliente 120 | Instalación 37  | 19,00        | 6,00               | 114,00  
Cliente 121 | Instalación 48  | 13,00        | 22,00              | 286,00  
Cliente 122 | Instalación 133 | 9,00         | 2,00               | 18,00   
Cliente 123 | Instalación 100 | 15,00        | 4,00               | 60,00   
Cliente 124 | Instalación 142 | 10,00        | 13,00              | 130,00  
Cliente 125 | Instalación 36  | 9,00         | 6,00               | 54,00   
Cliente 126 | Instalación 113 | 20,00        | 6,00               | 120,00  
Cliente 127 | Instalación 124 | 7,00         | 12,00              | 84,00   
Cliente 128 | Instalación 4   | 19,00        | 4,00               | 76,00   
Cliente 129 | Instalación 78  | 6,00         | 4,00               | 24,00   
Cliente 130 | Instalación 113 | 7,00         | 4,00               | 28,00   
Cliente 131 | Instalación 73  | 16,00        | 7,00               | 112,00  
Cliente 132 | Instalación 18  | 11,00        | 4,00               | 44,00   
Cliente 133 | Instalación 69  | 19,00        | 3,00               | 57,00   
Cliente 134 | Instalación 97  | 14,00        | 5,00               | 70,00   
Cliente 135 | Instalación 21  | 18,00        | 2,00               | 36,00   
Cliente 136 | Instalación 94  | 20,00        | 4,00               | 80,00   
Cliente 137 | Instalación 112 | 7,00         | 13,00              | 91,00   
Cliente 138 | Instalación 115 | 4,00         | 6,00               | 24,00   
Cliente 138 | Instalación 128 | 7,00         | 4,00               | 28,00   
Cliente 139 | Instalación 146 | 8,00         | 4,00               | 32,00   
Cliente 140 | Instalación 8   | 14,00        | 5,00               | 70,00   
Cliente 141 | Instalación 18  | 6,00         | 6,00               | 36,00   
Cliente 142 | Instalación 137 | 5,00         | 7,00               | 35,00   
Cliente 143 | Instalación 104 | 18,00        | 2,00               | 36,00   
Cliente 144 | Instalación 146 | 6,00         | 4,00               | 24,00   
Cliente 145 | Instalación 123 | 17,00        | 4,00               | 68,00   
Cliente 146 | Instalación 90  | 9,00         | 4,00               | 36,00   
Cliente 147 | Instalación 4   | 15,00        | 5,00               | 75,00   
Cliente 148 | Instalación 112 | 16,00        | 11,00              | 176,00  
Cliente 149 | Instalación 8   | 14,00        | 4,00               | 56,00   
Cliente 150 | Instalación 65  | 15,00        | 6,00               | 90,00   
Cliente 151 | Instalación 6   | 18,00        | 4,00               | 72,00   
Cliente 152 | Instalación 33  | 14,00        | 9,00               | 126,00  
Cliente 153 | Instalación 0   | 16,00        | 7,00               | 112,00  
Cliente 154 | Instalación 0   | 15,00        | 8,00               | 120,00  
Cliente 154 | Instalación 78  | 1,00         | 11,00              | 11,00   
Cliente 155 | Instalación 132 | 15,00        | 6,00               | 90,00   
Cliente 156 | Instalación 4   | 7,00         | 5,00               | 35,00   
Cliente 157 | Instalación 39  | 14,00        | 3,00               | 42,00   
Cliente 158 | Instalación 76  | 17,00        | 9,00               | 153,00  
Cliente 159 | Instalación 136 | 11,00        | 11,00              | 121,00  
Cliente 160 | Instalación 78  | 13,00        | 6,00               | 78,00   
Cliente 161 | Instalación 39  | 14,00        | 4,00               | 56,00   
Cliente 162 | Instalación 147 | 19,00        | 5,00               | 95,00   
Cliente 163 | Instalación 48  | 11,00        | 6,00               | 66,00   
Cliente 164 | Instalación 29  | 8,00         | 15,00              | 120,00  
Cliente 165 | Instalación 43  | 17,00        | 5,00               | 85,00   
Cliente 166 | Instalación 61  | 16,00        | 1,00               | 16,00   
Cliente 167 | Instalación 121 | 5,00         | 5,00               | 25,00   
Cliente 168 | Instalación 24  | 8,00         | 14,00              | 112,00  
Cliente 169 | Instalación 39  | 13,00        | 4,00               | 52,00   
Cliente 169 | Instalación 48  | 6,00         | 17,00              | 102,00  
Cliente 170 | Instalación 51  | 17,00        | 4,00               | 68,00   
Cliente 171 | Instalación 88  | 6,00         | 6,00               | 36,00   
Cliente 172 | Instalación 18  | 5,00         | 12,00              | 60,00   
Cliente 173 | Instalación 33  | 5,00         | 6,00               | 30,00   
Cliente 174 | Instalación 128 | 17,00        | 9,00               | 153,00  
Cliente 175 | Instalación 0   | 19,00        | 4,00               | 76,00   
Cliente 176 | Instalación 113 | 8,00         | 6,00               | 48,00   
Cliente 177 | Instalación 121 | 18,00        | 1,00               | 18,00   
Cliente 178 | Instalación 43  | 15,00        | 6,00               | 90,00   
Cliente 179 | Instalación 35  | 5,00         | 4,00               | 20,00   
Cliente 180 | Instalación 11  | 13,00        | 6,00               | 78,00   
Cliente 181 | Instalación 129 | 13,00        | 7,00               | 91,00   
Cliente 182 | Instalación 18  | 15,00        | 6,00               | 90,00   
Cliente 183 | Instalación 109 | 7,00         | 15,00              | 105,00  
Cliente 184 | Instalación 80  | 4,00         | 10,00              | 40,00   
Cliente 184 | Instalación 108 | 10,00        | 13,00              | 130,00  
Cliente 185 | Instalación 15  | 18,00        | 8,00               | 144,00  
Cliente 185 | Instalación 92  | 2,00         | 13,00              | 26,00   
Cliente 186 | Instalación 109 | 15,00        | 10,00              | 150,00  
Cliente 187 | Instalación 6   | 13,00        | 4,00               | 52,00   
Cliente 188 | Instalación 142 | 12,00        | 4,00               | 48,00   
Cliente 189 | Instalación 79  | 7,00         | 4,00               | 28,00   
Cliente 190 | Instalación 48  | 19,00        | 2,00               | 38,00   
Cliente 191 | Instalación 67  | 15,00        | 5,00               | 75,00   
Cliente 192 | Instalación 5   | 14,00        | 1,00               | 14,00   
Cliente 193 | Instalación 98  | 19,00        | 4,00               | 76,00   
Cliente 194 | Instalación 76  | 10,00        | 11,00              | 110,00  
Cliente 195 | Instalación 33  | 10,00        | 2,00               | 20,00   
Cliente 196 | Instalación 115 | 15,00        | 2,00               | 30,00   
Cliente 197 | Instalación 94  | 14,00        | 9,00               | 126,00  
Cliente 198 | Instalación 103 | 14,00        | 4,00               | 56,00   
Cliente 199 | Instalación 69  | 11,00        | 3,00               | 33,00   
Cliente 199 | Instalación 142 | 7,00         | 10,00              | 70,00   
Cliente 200 | Instalación 84  | 7,00         | 11,00              | 77,00   
Cliente 201 | Instalación 6   | 14,00        | 7,00               | 98,00   
Cliente 202 | Instalación 21  | 5,00         | 10,00              | 50,00   
Cliente 203 | Instalación 109 | 9,00         | 0,00               | 0,00    
Cliente 204 | Instalación 132 | 16,00        | 10,00              | 160,00  
Cliente 205 | Instalación 35  | 19,00        | 7,00               | 133,00  
Cliente 206 | Instalación 98  | 15,00        | 1,00               | 15,00   
Cliente 207 | Instalación 136 | 14,00        | 7,00               | 98,00   
Cliente 208 | Instalación 112 | 6,00         | 4,00               | 24,00   
Cliente 209 | Instalación 129 | 5,00         | 2,00               | 10,00   
Cliente 210 | Instalación 29  | 10,00        | 6,00               | 60,00   
Cliente 210 | Instalación 144 | 9,00         | 8,00               | 72,00   
Cliente 211 | Instalación 4   | 11,00        | 4,00               | 44,00   
Cliente 212 | Instalación 60  | 5,00         | 7,00               | 35,00   
Cliente 213 | Instalación 8   | 6,00         | 9,00               | 54,00   
Cliente 214 | Instalación 108 | 19,00        | 2,00               | 38,00   
Cliente 215 | Instalación 6   | 18,00        | 3,00               | 54,00   
Cliente 216 | Instalación 88  | 11,00        | 4,00               | 44,00   
Cliente 217 | Instalación 93  | 19,00        | 4,00               | 76,00   
Cliente 218 | Instalación 110 | 6,00         | 4,00               | 24,00   
Cliente 219 | Instalación 109 | 10,00        | 3,00               | 30,00   
Cliente 220 | Instalación 63  | 6,00         | 1,00               | 6,00    
Cliente 221 | Instalación 2   | 5,00         | 10,00              | 50,00   
Cliente 222 | Instalación 69  | 6,00         | 10,00              | 60,00   
Cliente 223 | Instalación 70  | 8,00         | 1,00               | 8,00    
Cliente 224 | Instalación 128 | 19,00        | 6,00               | 114,00  
Cliente 225 | Instalación 37  | 18,00        | 8,00               | 144,00  
Cliente 226 | Instalación 124 | 20,00        | 9,00               | 180,00  
Cliente 227 | Instalación 111 | 8,00         | 5,00               | 40,00   
Cliente 227 | Instalación 141 | 8,00         | 9,00               | 72,00   
Cliente 228 | Instalación 99  | 8,00         | 4,00               | 32,00   
Cliente 228 | Instalación 106 | 3,00         | 11,00              | 33,00   
Cliente 229 | Instalación 110 | 15,00        | 8,00               | 120,00  
Cliente 229 | Instalación 123 | 1,00         | 10,00              | 10,00   
Cliente 230 | Instalación 73  | 15,00        | 11,00              | 165,00  
Cliente 231 | Instalación 141 | 19,00        | 6,00               | 114,00  
Cliente 232 | Instalación 67  | 8,00         | 7,00               | 56,00   
Cliente 233 | Instalación 123 | 7,00         | 2,00               | 14,00   
Cliente 234 | Instalación 21  | 20,00        | 2,00               | 40,00   
Cliente 235 | Instalación 31  | 5,00         | 18,00              | 90,00   
Cliente 236 | Instalación 137 | 15,00        | 7,00               | 105,00  
Cliente 237 | Instalación 69  | 12,00        | 8,00               | 96,00   
Cliente 238 | Instalación 10  | 17,00        | 2,00               | 34,00   
Cliente 239 | Instalación 36  | 6,00         | 9,00               | 54,00   
Cliente 240 | Instalación 79  | 16,00        | 7,00               | 112,00  
Cliente 241 | Instalación 78  | 5,00         | 6,00               | 30,00   
Cliente 242 | Instalación 112 | 8,00         | 2,00               | 16,00   
Cliente 243 | Instalación 48  | 7,00         | 8,00               | 56,00   
Cliente 244 | Instalación 144 | 17,00        | 7,00               | 119,00  
Cliente 245 | Instalación 2   | 16,00        | 6,00               | 96,00   
Cliente 246 | Instalación 124 | 15,00        | 7,00               | 105,00  
Cliente 247 | Instalación 111 | 9,00         | 9,00               | 81,00   
Cliente 248 | Instalación 84  | 16,00        | 8,00               | 128,00  
Cliente 249 | Instalación 115 | 10,00        | 2,00               | 20,00   
Cliente 250 | Instalación 47  | 14,00        | 4,00               | 56,00   
Cliente 251 | Instalación 21  | 5,00         | 7,00               | 35,00   
Cliente 252 | Instalación 127 | 6,00         | 4,00               | 24,00   
Cliente 253 | Instalación 70  | 9,00         | 4,00               | 36,00   
Cliente 254 | Instalación 47  | 16,00        | 10,00              | 160,00  
Cliente 255 | Instalación 90  | 18,00        | 6,00               | 108,00  
Cliente 256 | Instalación 103 | 6,00         | 7,00               | 42,00   
Cliente 257 | Instalación 11  | 20,00        | 5,00               | 100,00  
Cliente 258 | Instalación 24  | 8,00         | 11,00              | 88,00   
Cliente 259 | Instalación 65  | 11,00        | 10,00              | 110,00  
Cliente 260 | Instalación 133 | 7,00         | 9,00               | 63,00   
Cliente 261 | Instalación 92  | 5,00         | 2,00               | 10,00   
Cliente 262 | Instalación 63  | 18,00        | 8,00               | 144,00  
Cliente 263 | Instalación 109 | 11,00        | 7,00               | 77,00   
Cliente 264 | Instalación 123 | 16,00        | 10,00              | 160,00  
Cliente 265 | Instalación 127 | 12,00        | 7,00               | 84,00   
Cliente 266 | Instalación 0   | 20,00        | 11,00              | 220,00  
Cliente 267 | Instalación 113 | 13,00        | 7,00               | 91,00   
Cliente 268 | Instalación 113 | 9,00         | 2,00               | 18,00   
Cliente 269 | Instalación 21  | 19,00        | 8,00               | 152,00  
Cliente 270 | Instalación 36  | 5,00         | 3,00               | 15,00   
Cliente 271 | Instalación 146 | 7,00         | 4,00               | 28,00   
Cliente 272 | Instalación 98  | 7,00         | 2,00               | 14,00   
Cliente 273 | Instalación 73  | 19,00        | 1,00               | 19,00   
Cliente 274 | Instalación 33  | 9,00         | 8,00               | 72,00   
Cliente 275 | Instalación 87  | 11,00        | 7,00               | 77,00   
Cliente 276 | Instalación 92  | 11,00        | 7,00               | 77,00   
Cliente 277 | Instalación 93  | 20,00        | 5,00               | 100,00  
Cliente 278 | Instalación 142 | 5,00         | 7,00               | 35,00   
Cliente 279 | Instalación 18  | 13,00        | 4,00               | 52,00   
Cliente 280 | Instalación 133 | 10,00        | 6,00               | 60,00   
Cliente 281 | Instalación 100 | 8,00         | 2,00               | 16,00   
Cliente 282 | Instalación 121 | 10,00        | 8,00               | 80,00   
Cliente 283 | Instalación 106 | 15,00        | 3,00               | 45,00   
Cliente 284 | Instalación 87  | 14,00        | 2,00               | 28,00   
Cliente 285 | Instalación 47  | 10,00        | 6,00               | 60,00   
Cliente 285 | Instalación 121 | 6,00         | 8,00               | 48,00   
Cliente 286 | Instalación 88  | 10,00        | 3,00               | 30,00   
Cliente 287 | Instalación 67  | 20,00        | 4,00               | 80,00   
Cliente 288 | Instalación 48  | 18,00        | 17,00              | 306,00  
Cliente 289 | Instalación 106 | 15,00        | 3,00               | 45,00   
Cliente 290 | Instalación 36  | 5,00         | 7,00               | 35,00   
Cliente 291 | Instalación 111 | 9,00         | 10,00              | 90,00   
Cliente 292 | Instalación 124 | 5,00         | 6,00               | 30,00   
Cliente 292 | Instalación 132 | 12,00        | 11,00              | 132,00  
Cliente 293 | Instalación 124 | 13,00        | 1,00               | 13,00   
Cliente 294 | Instalación 60  | 13,00        | 11,00              | 143,00  
Cliente 295 | Instalación 78  | 18,00        | 2,00               | 36,00   
Cliente 296 | Instalación 113 | 1,00         | 10,00              | 10,00   
Cliente 296 | Instalación 129 | 12,00        | 3,00               | 36,00   
Cliente 297 | Instalación 48  | 6,00         | 17,00              | 102,00  
Cliente 298 | Instalación 5   | 5,00         | 4,00               | 20,00   
Cliente 298 | Instalación 128 | 3,00         | 12,00              | 36,00   
Cliente 299 | Instalación 67  | 15,00        | 6,00               | 90,00   
Cliente 300 | Instalación 94  | 15,00        | 9,00               | 135,00  
Cliente 301 | Instalación 144 | 19,00        | 4,00               | 76,00   
Cliente 302 | Instalación 98  | 6,00         | 9,00               | 54,00   
Cliente 303 | Instalación 123 | 5,00         | 8,00               | 40,00   
Cliente 304 | Instalación 7   | 5,00         | 4,00               | 20,00   
Cliente 305 | Instalación 124 | 20,00        | 7,00               | 140,00  
Cliente 306 | Instalación 73  | 8,00         | 9,00               | 72,00   
Cliente 307 | Instalación 107 | 8,00         | 3,00               | 24,00   
Cliente 308 | Instalación 94  | 19,00        | 2,00               | 38,00   
Cliente 309 | Instalación 107 | 13,00        | 7,00               | 91,00   
Cliente 310 | Instalación 110 | 13,00        | 1,00               | 13,00   
Cliente 311 | Instalación 80  | 20,00        | 3,00               | 60,00   
Cliente 312 | Instalación 70  | 17,00        | 0,00               | 0,00    
Cliente 313 | Instalación 133 | 9,00         | 4,00               | 36,00   
Cliente 314 | Instalación 80  | 13,00        | 2,00               | 26,00   
Cliente 315 | Instalación 65  | 9,00         | 4,00               | 36,00   
Cliente 315 | Instalación 87  | 3,00         | 3,00               | 9,00    
Cliente 316 | Instalación 136 | 10,00        | 5,00               | 50,00   
Cliente 317 | Instalación 2   | 12,00        | 14,00              | 168,00  
Cliente 317 | Instalación 147 | 7,00         | 8,00               | 56,00   
Cliente 318 | Instalación 112 | 17,00        | 2,00               | 34,00   
Cliente 319 | Instalación 108 | 17,00        | 0,00               | 0,00    
Cliente 320 | Instalación 51  | 12,00        | 12,00              | 144,00  
Cliente 321 | Instalación 8   | 11,00        | 4,00               | 44,00   
Cliente 322 | Instalación 37  | 10,00        | 11,00              | 110,00  
Cliente 322 | Instalación 73  | 1,00         | 5,00               | 5,00    
Cliente 323 | Instalación 123 | 20,00        | 8,00               | 160,00  
Cliente 324 | Instalación 108 | 17,00        | 4,00               | 68,00   
Cliente 325 | Instalación 70  | 12,00        | 6,00               | 72,00   
Cliente 326 | Instalación 100 | 11,00        | 2,00               | 22,00   
Cliente 327 | Instalación 8   | 6,00         | 4,00               | 24,00   
Cliente 328 | Instalación 79  | 16,00        | 3,00               | 48,00   
Cliente 329 | Instalación 48  | 7,00         | 19,00              | 133,00  
Cliente 330 | Instalación 81  | 9,00         | 7,00               | 63,00   
Cliente 331 | Instalación 104 | 5,00         | 8,00               | 40,00   
Cliente 332 | Instalación 132 | 7,00         | 4,00               | 28,00   
Cliente 333 | Instalación 107 | 11,00        | 9,00               | 99,00   
Cliente 334 | Instalación 84  | 12,00        | 4,00               | 48,00   
Cliente 335 | Instalación 35  | 18,00        | 2,00               | 36,00   
Cliente 336 | Instalación 108 | 4,00         | 11,00              | 44,00   
Cliente 336 | Instalación 123 | 12,00        | 5,00               | 60,00   
Cliente 337 | Instalación 24  | 7,00         | 1,00               | 7,00    
Cliente 338 | Instalación 35  | 19,00        | 7,00               | 133,00  
Cliente 339 | Instalación 99  | 5,00         | 2,00               | 10,00   
Cliente 340 | Instalación 51  | 11,00        | 7,00               | 77,00   
Cliente 341 | Instalación 24  | 20,00        | 19,00              | 380,00  
Cliente 342 | Instalación 26  | 12,00        | 7,00               | 84,00   
Cliente 342 | Instalación 88  | 4,00         | 6,00               | 24,00   
Cliente 343 | Instalación 98  | 18,00        | 9,00               | 162,00  
Cliente 344 | Instalación 80  | 5,00         | 9,00               | 45,00   
TOTAL       |                 |              |                    | 25353,00
