
--- TABLA 6: VERIFICACIÓN DE RESTRICCIONES ---
Capacidad
Instalación    | Carga Total | Capacidad | Estado 
Instalación 72 | 0,00        | 30,00     | ✓OK    
Instalación 73 | 0,00        | 90,00     | ✓OK    
Instalación 74 | 0,00        | 50,00     | ✓OK    
Instalación 75 | 0,00        | 90,00     | ✓OK    
Instalación 76 | 40,00       | 40,00     | ✓Límite
Instalación 77 | 99,00       | 100,00    | ✓OK    
Instalación 78 | 0,00        | 50,00     | ✓OK    
Instalación 79 | 58,00       | 60,00     | ✓OK    
Instalación 80 | 0,00        | 80,00     | ✓OK    
Instalación 81 | 67,00       | 70,00     | ✓OK    
Instalación 82 | 0,00        | 90,00     | ✓OK    
Instalación 83 | 69,00       | 70,00     | ✓OK    
Instalación 84 | 0,00        | 90,00     | ✓OK    
Instalación 85 | 0,00        | 40,00     | ✓OK    
Instalación 86 | 0,00        | 60,00     | ✓OK    
Instalación 87 | 36,00       | 40,00     | ✓OK    
Instalación 88 | 0,00        | 70,00     | ✓OK    
Instalación 89 | 38,00       | 40,00     | ✓OK    
Instalación 90 | 73,00       | 90,00     | ✓OK    
Instalación 91 | 34,00       | 50,00     | ✓OK    
Instalación 92 | 44,00       | 60,00     | ✓OK    
Instalación 93 | 0,00        | 70,00     | ✓OK    
Instalación 94 | 89,00       | 90,00     | ✓OK    
Instalación 95 | 0,00        | 100,00    | ✓OK    
Instalación 96 | 79,00       | 80,00     | ✓OK    
Instalación 97 | 53,00       | 70,00     | ✓OK    
Instalación 98 | 0,00        | 50,00     | ✓OK    
Instalación 99 | 30,00       | 30,00     | ✓Límite

Incompatibilidades
Par incompatible | Estado
-----------------+-------
-                | ✓OK   
