
--- TABLA 7: DESGLOSE DETALLADO DE COSTES VARIABLES DE TRANSPORTE ---
Cliente     | Instalación    | Cantidad (q) | Coste Unitario (c) | Subtotal
Cliente 51  | Instalación 7  | 19,00        | 18,00              | 342,00  
Cliente 52  | Instalación 32 | 11,00        | 9,00               | 99,00   
Cliente 52  | Instalación 76 | 5,00         | 16,00              | 80,00   
Cliente 53  | Instalación 28 | 16,00        | 9,00               | 144,00  
Cliente 54  | Instalación 90 | 13,00        | 11,00              | 143,00  
Cliente 55  | Instalación 17 | 12,00        | 10,00              | 120,00  
Cliente 56  | Instalación 56 | 6,00         | 9,00               | 54,00   
Cliente 57  | Instalación 37 | 5,00         | 7,00               | 35,00   
Cliente 58  | Instalación 81 | 17,00        | 5,00               | 85,00   
Cliente 59  | Instalación 56 | 14,00        | 8,00               | 112,00  
Cliente 60  | Instalación 76 | 5,00         | 15,00              | 75,00   
Cliente 61  | Instalación 24 | 18,00        | 13,00              | 234,00  
Cliente 62  | Instalación 60 | 15,00        | 3,00               | 45,00   
Cliente 63  | Instalación 9  | 3,00         | 9,00               | 27,00   
Cliente 63  | Instalación 46 | 10,00        | 8,00               | 80,00   
Cliente 64  | Instalación 36 | 12,00        | 9,00               | 108,00  
Cliente 64  | Instalación 76 | 3,00         | 4,00               | 12,00   
Cliente 65  | Instalación 70 | 12,00        | 6,00               | 72,00   
Cliente 66  | Instalación 38 | 6,00         | 8,00               | 48,00   
Cliente 67  | Instalación 66 | 6,00         | 9,00               | 54,00   
Cliente 68  | Instalación 8  | 10,00        | 1,00               | 10,00   
Cliente 69  | Instalación 64 | 14,00        | 2,00               | 28,00   
Cliente 70  | Instalación 36 | 6,00         | 6,00               | 36,00   
Cliente 71  | Instalación 79 | 13,00        | 7,00               | 91,00   
Cliente 72  | Instalación 77 | 9,00         | 5,00               | 45,00   
Cliente 73  | Instalación 77 | 10,00        | 1,00               | 10,00   
Cliente 74  | Instalación 97 | 15,00        | 8,00               | 120,00  
Cliente 75  | Instalación 51 | 15,00        | 9,00               | 135,00  
Cliente 76  | Instalación 41 | 19,00        | 9,00               | 171,00  
Cliente 77  | Instalación 51 | 18,00        | 13,00              | 234,00  
Cliente 78  | Instalación 77 | 11,00        | 1,00               | 11,00   
Cliente 79  | Instalación 76 | 9,00         | 9,00               | 81,00   
Cliente 80  | Instalación 77 | 16,00        | 4,00               | 64,00   
Cliente 81  | Instalación 9  | 18,00        | 5,00               | 90,00   
Cliente 82  | Instalación 12 | 19,00        | 8,00               | 152,00  
Cliente 83  | Instalación 30 | 12,00        | 2,00               | 24,00   
Cliente 84  | Instalación 15 | 13,00        | 5,00               | 65,00   
Cliente 85  | Instalación 37 | 20,00        | 3,00               | 60,00   
Cliente 86  | Instalación 54 | 16,00        | 9,00               | 144,00  
Cliente 87  | Instalación 69 | 18,00        | 9,00               | 162,00  
Cliente 88  | Instalación 77 | 12,00        | 3,00               | 36,00   
Cliente 89  | Instalación 64 | 14,00        | 10,00              | 140,00  
Cliente 90  | Instalación 69 | 17,00        | 14,00              | 238,00  
Cliente 91  | Instalación 9  | 13,00        | 8,00               | 104,00  
Cliente 92  | Instalación 39 | 12,00        | 9,00               | 108,00  
Cliente 93  | Instalación 58 | 14,00        | 9,00               | 126,00  
Cliente 94  | Instalación 64 | 16,00        | 1,00               | 16,00   
Cliente 95  | Instalación 3  | 7,00         | 6,00               | 42,00   
Cliente 96  | Instalación 60 | 16,00        | 10,00              | 160,00  
Cliente 97  | Instalación 44 | 11,00        | 16,00              | 176,00  
Cliente 98  | Instalación 70 | 10,00        | 11,00              | 110,00  
Cliente 99  | Instalación 69 | 18,00        | 6,00               | 108,00  
Cliente 100 | Instalación 38 | 14,00        | 5,00               | 70,00   
Cliente 100 | Instalación 83 | 2,00         | 3,00               | 6,00    
Cliente 101 | Instalación 91 | 8,00         | 6,00               | 48,00   
Cliente 102 | Instalación 60 | 19,00        | 8,00               | 152,00  
Cliente 103 | Instalación 18 | 13,00        | 4,00               | 52,00   
Cliente 104 | Instalación 39 | 6,00         | 10,00              | 60,00   
Cliente 105 | Instalación 49 | 9,00         | 5,00               | 45,00   
Cliente 106 | Instalación 30 | 14,00        | 9,00               | 126,00  
Cliente 107 | Instalación 70 | 18,00        | 9,00               | 162,00  
Cliente 108 | Instalación 66 | 19,00        | 8,00               | 152,00  
Cliente 109 | Instalación 39 | 12,00        | 13,00              | 156,00  
Cliente 110 | Instalación 15 | 5,00         | 1,00               | 5,00    
Cliente 111 | Instalación 54 | 7,00         | 9,00               | 63,00   
Cliente 112 | Instalación 17 | 5,00         | 6,00               | 30,00   
Cliente 112 | Instalación 54 | 8,00         | 3,00               | 24,00   
Cliente 113 | Instalación 46 | 16,00        | 13,00              | 208,00  
Cliente 114 | Instalación 41 | 12,00        | 1,00               | 12,00   
Cliente 115 | Instalación 23 | 17,00        | 5,00               | 85,00   
Cliente 116 | Instalación 38 | 9,00         | 11,00              | 99,00   
Cliente 117 | Instalación 18 | 5,00         | 4,00               | 20,00   
Cliente 118 | Instalación 96 | 18,00        | 10,00              | 180,00  
Cliente 119 | Instalación 9  | 7,00         | 8,00               | 56,00   
Cliente 120 | Instalación 77 | 18,00        | 7,00               | 126,00  
Cliente 121 | Instalación 51 | 5,00         | 8,00               | 40,00   
Cliente 122 | Instalación 24 | 17,00        | 6,00               | 102,00  
Cliente 123 | Instalación 17 | 6,00         | 2,00               | 12,00   
Cliente 124 | Instalación 94 | 19,00        | 6,00               | 114,00  
Cliente 125 | Instalación 49 | 19,00        | 5,00               | 95,00   
Cliente 126 | Instalación 32 | 16,00        | 12,00              | 192,00  
Cliente 127 | Instalación 58 | 17,00        | 1,00               | 17,00   
Cliente 128 | Instalación 96 | 6,00         | 15,00              | 90,00   
Cliente 129 | Instalación 99 | 13,00        | 4,00               | 52,00   
Cliente 130 | Instalación 96 | 11,00        | 11,00              | 121,00  
Cliente 131 | Instalación 18 | 5,00         | 9,00               | 45,00   
Cliente 132 | Instalación 96 | 20,00        | 5,00               | 100,00  
Cliente 133 | Instalación 96 | 5,00         | 14,00              | 70,00   
Cliente 134 | Instalación 23 | 17,00        | 5,00               | 85,00   
Cliente 135 | Instalación 81 | 7,00         | 6,00               | 42,00   
Cliente 136 | Instalación 33 | 9,00         | 13,00              | 117,00  
Cliente 137 | Instalación 3  | 12,00        | 8,00               | 96,00   
Cliente 138 | Instalación 90 | 8,00         | 10,00              | 80,00   
Cliente 139 | Instalación 26 | 16,00        | 10,00              | 160,00  
Cliente 140 | Instalación 32 | 7,00         | 13,00              | 91,00   
Cliente 141 | Instalación 32 | 16,00        | 8,00               | 128,00  
Cliente 142 | Instalación 94 | 15,00        | 7,00               | 105,00  
Cliente 143 | Instalación 91 | 19,00        | 4,00               | 76,00   
Cliente 144 | Instalación 26 | 11,00        | 8,00               | 88,00   
Cliente 145 | Instalación 36 | 6,00         | 15,00              | 90,00   
Cliente 145 | Instalación 79 | 7,00         | 7,00               | 49,00   
Cliente 146 | Instalación 70 | 9,00         | 5,00               | 45,00   
Cliente 147 | Instalación 17 | 13,00        | 18,00              | 234,00  
Cliente 147 | Instalación 77 | 1,00         | 4,00               | 4,00    
Cliente 148 | Instalación 91 | 1,00         | 104,00             | 104,00  
Cliente 148 | Instalación 99 | 17,00        | 4,00               | 68,00   
Cliente 149 | Instalación 7  | 7,00         | 17,00              | 119,00  
Cliente 150 | Instalación 43 | 19,00        | 6,00               | 114,00  
Cliente 151 | Instalación 52 | 20,00        | 4,00               | 80,00   
Cliente 152 | Instalación 69 | 14,00        | 16,00              | 224,00  
Cliente 153 | Instalación 70 | 16,00        | 2,00               | 32,00   
Cliente 154 | Instalación 83 | 6,00         | 6,00               | 36,00   
Cliente 155 | Instalación 52 | 10,00        | 4,00               | 40,00   
Cliente 155 | Instalación 79 | 7,00         | 4,00               | 28,00   
Cliente 156 | Instalación 35 | 20,00        | 9,00               | 180,00  
Cliente 157 | Instalación 89 | 6,00         | 4,00               | 24,00   
Cliente 158 | Instalación 8  | 18,00        | 13,00              | 234,00  
Cliente 159 | Instalación 94 | 17,00        | 8,00               | 136,00  
Cliente 160 | Instalación 28 | 6,00         | 7,00               | 42,00   
Cliente 160 | Instalación 83 | 10,00        | 8,00               | 80,00   
Cliente 161 | Instalación 13 | 11,00        | 16,00              | 176,00  
Cliente 162 | Instalación 58 | 8,00         | 12,00              | 96,00   
Cliente 163 | Instalación 3  | 19,00        | 9,00               | 171,00  
Cliente 164 | Instalación 8  | 15,00        | 2,00               | 30,00   
Cliente 165 | Instalación 42 | 19,00        | 4,00               | 76,00   
Cliente 166 | Instalación 23 | 8,00         | 4,00               | 32,00   
Cliente 166 | Instalación 90 | 9,00         | 4,00               | 36,00   
Cliente 167 | Instalación 3  | 12,00        | 9,00               | 108,00  
Cliente 168 | Instalación 92 | 11,00        | 7,00               | 77,00   
Cliente 169 | Instalación 15 | 10,00        | 6,00               | 60,00   
Cliente 170 | Instalación 96 | 11,00        | 9,00               | 99,00   
Cliente 171 | Instalación 56 | 13,00        | 7,00               | 91,00   
Cliente 172 | Instalación 9  | 8,00         | 5,00               | 40,00   
Cliente 173 | Instalación 89 | 15,00        | 2,00               | 30,00   
Cliente 174 | Instalación 17 | 5,00         | 4,00               | 20,00   
Cliente 175 | Instalación 77 | 14,00        | 2,00               | 28,00   
Cliente 176 | Instalación 30 | 16,00        | 13,00              | 208,00  
Cliente 177 | Instalación 51 | 11,00        | 9,00               | 99,00   
Cliente 178 | Instalación 90 | 18,00        | 3,00               | 54,00   
Cliente 179 | Instalación 44 | 11,00        | 14,00              | 154,00  
Cliente 180 | Instalación 90 | 16,00        | 5,00               | 80,00   
Cliente 181 | Instalación 7  | 9,00         | 1,00               | 9,00    
Cliente 182 | Instalación 87 | 7,00         | 9,00               | 63,00   
Cliente 183 | Instalación 87 | 7,00         | 13,00              | 91,00   
Cliente 184 | Instalación 46 | 9,00         | 2,00               | 18,00   
Cliente 185 | Instalación 46 | 11,00        | 9,00               | 99,00   
Cliente 186 | Instalación 7  | 14,00        | 7,00               | 98,00   
Cliente 187 | Instalación 87 | 16,00        | 8,00               | 128,00  
Cliente 188 | Instalación 5  | 5,00         | 1,00               | 5,00    
Cliente 189 | Instalación 42 | 17,00        | 2,00               | 34,00   
Cliente 190 | Instalación 7  | 13,00        | 6,00               | 78,00   
Cliente 191 | Instalación 13 | 6,00         | 11,00              | 66,00   
Cliente 192 | Instalación 92 | 5,00         | 4,00               | 20,00   
Cliente 193 | Instalación 33 | 12,00        | 9,00               | 108,00  
Cliente 194 | Instalación 64 | 10,00        | 16,00              | 160,00  
Cliente 195 | Instalación 49 | 10,00        | 3,00               | 30,00   
Cliente 196 | Instalación 60 | 16,00        | 4,00               | 64,00   
Cliente 197 | Instalación 5  | 19,00        | 10,00              | 190,00  
Cliente 198 | Instalación 83 | 6,00         | 2,00               | 12,00   
Cliente 199 | Instalación 15 | 2,00         | 1,00               | 2,00    
Cliente 199 | Instalación 97 | 18,00        | 12,00              | 216,00  
Cliente 200 | Instalación 36 | 15,00        | 4,00               | 60,00   
Cliente 201 | Instalación 26 | 10,00        | 7,00               | 70,00   
Cliente 201 | Instalación 44 | 9,00         | 7,00               | 63,00   
Cliente 202 | Instalación 5  | 1,00         | 73,00              | 73,00   
Cliente 202 | Instalación 12 | 11,00        | 4,00               | 44,00   
Cliente 203 | Instalación 24 | 13,00        | 2,00               | 26,00   
Cliente 204 | Instalación 81 | 17,00        | 4,00               | 68,00   
Cliente 205 | Instalación 26 | 10,00        | 10,00              | 100,00  
Cliente 206 | Instalación 18 | 13,00        | 7,00               | 91,00   
Cliente 207 | Instalación 70 | 9,00         | 9,00               | 81,00   
Cliente 208 | Instalación 97 | 14,00        | 5,00               | 70,00   
Cliente 209 | Instalación 33 | 9,00         | 9,00               | 81,00   
Cliente 210 | Instalación 24 | 11,00        | 11,00              | 121,00  
Cliente 211 | Instalación 92 | 12,00        | 3,00               | 36,00   
Cliente 212 | Instalación 60 | 17,00        | 1,00               | 17,00   
Cliente 213 | Instalación 13 | 9,00         | 1,00               | 9,00    
Cliente 214 | Instalación 21 | 10,00        | 4,00               | 40,00   
Cliente 215 | Instalación 7  | 6,00         | 5,00               | 30,00   
Cliente 215 | Instalación 54 | 8,00         | 10,00              | 80,00   
Cliente 216 | Instalación 33 | 10,00        | 11,00              | 110,00  
Cliente 217 | Instalación 94 | 17,00        | 7,00               | 119,00  
Cliente 218 | Instalación 64 | 19,00        | 8,00               | 152,00  
Cliente 219 | Instalación 92 | 16,00        | 9,00               | 144,00  
Cliente 220 | Instalación 60 | 7,00         | 5,00               | 35,00   
Cliente 221 | Instalación 79 | 7,00         | 3,00               | 21,00   
Cliente 221 | Instalación 87 | 6,00         | 8,00               | 48,00   
Cliente 222 | Instalación 36 | 9,00         | 3,00               | 27,00   
Cliente 223 | Instalación 7  | 8,00         | 4,00               | 32,00   
Cliente 224 | Instalación 44 | 17,00        | 13,00              | 221,00  
Cliente 225 | Instalación 91 | 6,00         | 2,00               | 12,00   
Cliente 226 | Instalación 83 | 7,00         | 1,00               | 7,00    
Cliente 227 | Instalación 8  | 11,00        | 4,00               | 44,00   
Cliente 228 | Instalación 56 | 19,00        | 6,00               | 114,00  
Cliente 229 | Instalación 83 | 5,00         | 11,00              | 55,00   
Cliente 230 | Instalación 18 | 13,00        | 3,00               | 39,00   
Cliente 231 | Instalación 44 | 16,00        | 12,00              | 192,00  
Cliente 232 | Instalación 21 | 3,00         | 17,00              | 51,00   
Cliente 232 | Instalación 94 | 2,00         | 21,00              | 42,00   
Cliente 233 | Instalación 60 | 4,00         | 10,00              | 40,00   
Cliente 233 | Instalación 89 | 12,00        | 7,00               | 84,00   
Cliente 234 | Instalación 36 | 18,00        | 6,00               | 108,00  
Cliente 235 | Instalación 71 | 18,00        | 11,00              | 198,00  
Cliente 236 | Instalación 83 | 19,00        | 10,00              | 190,00  
Cliente 237 | Instalación 42 | 3,00         | 8,00               | 24,00   
Cliente 237 | Instalación 71 | 14,00        | 16,00              | 224,00  
Cliente 238 | Instalación 24 | 13,00        | 3,00               | 39,00   
Cliente 239 | Instalación 35 | 17,00        | 8,00               | 136,00  
Cliente 240 | Instalación 96 | 8,00         | 23,00              | 184,00  
Cliente 241 | Instalación 18 | 12,00        | 7,00               | 84,00   
Cliente 242 | Instalación 36 | 15,00        | 2,00               | 30,00   
Cliente 243 | Instalación 51 | 20,00        | 3,00               | 60,00   
Cliente 244 | Instalación 5  | 10,00        | 1,00               | 10,00   
Cliente 245 | Instalación 37 | 17,00        | 0,00               | 0,00    
Cliente 246 | Instalación 89 | 5,00         | 7,00               | 35,00   
Cliente 247 | Instalación 83 | 14,00        | 11,00              | 154,00  
Cliente 248 | Instalación 18 | 8,00         | 4,00               | 32,00   
Cliente 249 | Instalación 5  | 6,00         | 15,00              | 90,00   
Cliente 249 | Instalación 81 | 1,00         | 11,00              | 11,00   
Cliente 250 | Instalación 24 | 11,00        | 7,00               | 77,00   
Cliente 250 | Instalación 77 | 3,00         | 7,00               | 21,00   
Cliente 251 | Instalación 37 | 13,00        | 13,00              | 169,00  
Cliente 252 | Instalación 13 | 12,00        | 18,00              | 216,00  
TOTAL       |                |              |                    | 24022,00
