
--- TABLA 5: DETALLE DE ASIGNACIÓN DE CLIENTES ---
Cliente     | Instalación    | Demanda | Asignada | Porcentaje (%)
Cliente 46  | Instalación 39 | 13,00   | 13,00    | 100,0 %       
Cliente 47  | Instalación 51 | 18,00   | 18,00    | 100,0 %       
Cliente 48  | Instalación 86 | 8,00    | 8,00     | 100,0 %       
Cliente 49  | Instalación 94 | 19,00   | 19,00    | 100,0 %       
Cliente 50  | Instalación 23 | 7,00    | 7,00     | 100,0 %       
Cliente 51  | Instalación 7  | 19,00   | 14,00    | 73,7 %        
Cliente 51  | Instalación 72 | 19,00   | 5,00     | 26,3 %        
Cliente 52  | Instalación 9  | 16,00   | 16,00    | 100,0 %       
Cliente 53  | Instalación 98 | 16,00   | 16,00    | 100,0 %       
Cliente 54  | Instalación 23 | 13,00   | 13,00    | 100,0 %       
Cliente 55  | Instalación 38 | 12,00   | 12,00    | 100,0 %       
Cliente 56  | Instalación 59 | 6,00    | 6,00     | 100,0 %       
Cliente 57  | Instalación 59 | 5,00    | 5,00     | 100,0 %       
Cliente 58  | Instalación 81 | 17,00   | 17,00    | 100,0 %       
Cliente 59  | Instalación 56 | 14,00   | 14,00    | 100,0 %       
Cliente 60  | Instalación 76 | 5,00    | 5,00     | 100,0 %       
Cliente 61  | Instalación 48 | 18,00   | 18,00    | 100,0 %       
Cliente 62  | Instalación 60 | 15,00   | 15,00    | 100,0 %       
Cliente 63  | Instalación 46 | 13,00   | 13,00    | 100,0 %       
Cliente 64  | Instalación 76 | 15,00   | 15,00    | 100,0 %       
Cliente 65  | Instalación 46 | 12,00   | 3,00     | 25,0 %        
Cliente 65  | Instalación 61 | 12,00   | 9,00     | 75,0 %        
Cliente 66  | Instalación 38 | 6,00    | 6,00     | 100,0 %       
Cliente 67  | Instalación 55 | 6,00    | 6,00     | 100,0 %       
Cliente 68  | Instalación 3  | 10,00   | 2,00     | 20,0 %        
Cliente 68  | Instalación 63 | 10,00   | 8,00     | 80,0 %        
Cliente 69  | Instalación 55 | 14,00   | 14,00    | 100,0 %       
Cliente 70  | Instalación 65 | 6,00    | 6,00     | 100,0 %       
Cliente 71  | Instalación 79 | 13,00   | 13,00    | 100,0 %       
Cliente 72  | Instalación 77 | 9,00    | 9,00     | 100,0 %       
Cliente 73  | Instalación 77 | 10,00   | 10,00    | 100,0 %       
Cliente 74  | Instalación 86 | 15,00   | 15,00    | 100,0 %       
Cliente 75  | Instalación 14 | 15,00   | 15,00    | 100,0 %       
Cliente 76  | Instalación 16 | 19,00   | 19,00    | 100,0 %       
Cliente 77  | Instalación 72 | 18,00   | 18,00    | 100,0 %       
Cliente 78  | Instalación 77 | 11,00   | 11,00    | 100,0 %       
Cliente 79  | Instalación 76 | 9,00    | 9,00     | 100,0 %       
Cliente 80  | Instalación 77 | 16,00   | 16,00    | 100,0 %       
Cliente 81  | Instalación 9  | 18,00   | 4,00     | 22,2 %        
Cliente 81  | Instalación 32 | 18,00   | 14,00    | 77,8 %        
Cliente 82  | Instalación 69 | 19,00   | 19,00    | 100,0 %       
Cliente 83  | Instalación 30 | 12,00   | 12,00    | 100,0 %       
Cliente 84  | Instalación 47 | 13,00   | 13,00    | 100,0 %       
Cliente 85  | Instalación 69 | 20,00   | 20,00    | 100,0 %       
Cliente 86  | Instalación 18 | 16,00   | 16,00    | 100,0 %       
Cliente 87  | Instalación 59 | 18,00   | 18,00    | 100,0 %       
Cliente 88  | Instalación 77 | 12,00   | 12,00    | 100,0 %       
Cliente 89  | Instalación 64 | 14,00   | 14,00    | 100,0 %       
Cliente 90  | Instalación 59 | 17,00   | 17,00    | 100,0 %       
Cliente 91  | Instalación 39 | 13,00   | 13,00    | 100,0 %       
Cliente 92  | Instalación 39 | 12,00   | 12,00    | 100,0 %       
Cliente 93  | Instalación 86 | 14,00   | 5,00     | 35,7 %        
Cliente 93  | Instalación 87 | 14,00   | 9,00     | 64,3 %        
Cliente 94  | Instalación 64 | 16,00   | 16,00    | 100,0 %       
Cliente 95  | Instalación 63 | 7,00    | 7,00     | 100,0 %       
Cliente 96  | Instalación 87 | 16,00   | 16,00    | 100,0 %       
Cliente 97  | Instalación 61 | 11,00   | 8,00     | 72,7 %        
Cliente 97  | Instalación 70 | 11,00   | 3,00     | 27,3 %        
Cliente 98  | Instalación 96 | 10,00   | 10,00    | 100,0 %       
Cliente 99  | Instalación 59 | 18,00   | 2,00     | 11,1 %        
Cliente 99  | Instalación 69 | 18,00   | 16,00    | 88,9 %        
Cliente 100 | Instalación 20 | 16,00   | 16,00    | 100,0 %       
Cliente 101 | Instalación 31 | 8,00    | 8,00     | 100,0 %       
Cliente 102 | Instalación 60 | 19,00   | 18,00    | 94,7 %        
Cliente 102 | Instalación 87 | 19,00   | 1,00     | 5,3 %         
Cliente 103 | Instalación 18 | 13,00   | 13,00    | 100,0 %       
Cliente 104 | Instalación 32 | 6,00    | 6,00     | 100,0 %       
Cliente 105 | Instalación 5  | 9,00    | 9,00     | 100,0 %       
Cliente 106 | Instalación 96 | 14,00   | 14,00    | 100,0 %       
Cliente 107 | Instalación 21 | 18,00   | 4,00     | 22,2 %        
Cliente 107 | Instalación 70 | 18,00   | 9,00     | 50,0 %        
Cliente 107 | Instalación 96 | 18,00   | 5,00     | 27,8 %        
Cliente 108 | Instalación 55 | 19,00   | 19,00    | 100,0 %       
Cliente 109 | Instalación 32 | 12,00   | 12,00    | 100,0 %       
Cliente 110 | Instalación 47 | 5,00    | 5,00     | 100,0 %       
Cliente 111 | Instalación 24 | 7,00    | 7,00     | 100,0 %       
Cliente 112 | Instalación 17 | 13,00   | 13,00    | 100,0 %       
Cliente 113 | Instalación 30 | 16,00   | 16,00    | 100,0 %       
Cliente 114 | Instalación 41 | 12,00   | 12,00    | 100,0 %       
Cliente 115 | Instalación 23 | 17,00   | 17,00    | 100,0 %       
Cliente 116 | Instalación 38 | 9,00    | 9,00     | 100,0 %       
Cliente 117 | Instalación 18 | 5,00    | 5,00     | 100,0 %       
Cliente 118 | Instalación 96 | 18,00   | 18,00    | 100,0 %       
Cliente 119 | Instalación 64 | 7,00    | 7,00     | 100,0 %       
Cliente 120 | Instalación 77 | 18,00   | 18,00    | 100,0 %       
Cliente 121 | Instalación 34 | 5,00    | 5,00     | 100,0 %       
Cliente 122 | Instalación 24 | 17,00   | 17,00    | 100,0 %       
Cliente 123 | Instalación 17 | 6,00    | 6,00     | 100,0 %       
Cliente 124 | Instalación 94 | 19,00   | 19,00    | 100,0 %       
Cliente 125 | Instalación 63 | 19,00   | 19,00    | 100,0 %       
Cliente 126 | Instalación 32 | 16,00   | 11,00    | 68,8 %        
Cliente 126 | Instalación 57 | 16,00   | 5,00     | 31,3 %        
Cliente 127 | Instalación 65 | 17,00   | 17,00    | 100,0 %       
Cliente 128 | Instalación 30 | 6,00    | 5,00     | 83,3 %        
Cliente 128 | Instalación 39 | 6,00    | 1,00     | 16,7 %        
Cliente 129 | Instalación 57 | 13,00   | 13,00    | 100,0 %       
Cliente 130 | Instalación 39 | 11,00   | 11,00    | 100,0 %       
Cliente 131 | Instalación 77 | 5,00    | 5,00     | 100,0 %       
Cliente 132 | Instalación 96 | 20,00   | 20,00    | 100,0 %       
Cliente 133 | Instalación 30 | 5,00    | 5,00     | 100,0 %       
Cliente 134 | Instalación 23 | 17,00   | 17,00    | 100,0 %       
Cliente 135 | Instalación 24 | 7,00    | 7,00     | 100,0 %       
Cliente 136 | Instalación 31 | 9,00    | 9,00     | 100,0 %       
Cliente 137 | Instalación 3  | 12,00   | 12,00    | 100,0 %       
Cliente 138 | Instalación 23 | 8,00    | 8,00     | 100,0 %       
Cliente 139 | Instalación 78 | 16,00   | 16,00    | 100,0 %       
Cliente 140 | Instalación 32 | 7,00    | 7,00     | 100,0 %       
Cliente 141 | Instalación 57 | 16,00   | 15,00    | 93,8 %        
Cliente 141 | Instalación 64 | 16,00   | 1,00     | 6,3 %         
Cliente 142 | Instalación 94 | 15,00   | 15,00    | 100,0 %       
Cliente 143 | Instalación 31 | 19,00   | 19,00    | 100,0 %       
Cliente 144 | Instalación 70 | 11,00   | 11,00    | 100,0 %       
Cliente 145 | Instalación 87 | 13,00   | 13,00    | 100,0 %       
Cliente 146 | Instalación 70 | 9,00    | 9,00     | 100,0 %       
Cliente 147 | Instalación 24 | 14,00   | 14,00    | 100,0 %       
Cliente 148 | Instalación 99 | 18,00   | 18,00    | 100,0 %       
Cliente 149 | Instalación 72 | 7,00    | 7,00     | 100,0 %       
Cliente 150 | Instalación 43 | 19,00   | 19,00    | 100,0 %       
Cliente 151 | Instalación 79 | 20,00   | 20,00    | 100,0 %       
Cliente 152 | Instalación 56 | 14,00   | 14,00    | 100,0 %       
Cliente 153 | Instalación 70 | 16,00   | 16,00    | 100,0 %       
Cliente 154 | Instalación 20 | 6,00    | 6,00     | 100,0 %       
Cliente 155 | Instalación 52 | 17,00   | 17,00    | 100,0 %       
Cliente 156 | Instalación 35 | 20,00   | 20,00    | 100,0 %       
Cliente 157 | Instalación 89 | 6,00    | 6,00     | 100,0 %       
Cliente 158 | Instalación 51 | 18,00   | 18,00    | 100,0 %       
Cliente 159 | Instalación 94 | 17,00   | 17,00    | 100,0 %       
Cliente 160 | Instalación 78 | 16,00   | 16,00    | 100,0 %       
Cliente 161 | Instalación 13 | 11,00   | 10,00    | 90,9 %        
Cliente 161 | Instalación 30 | 11,00   | 1,00     | 9,1 %         
Cliente 162 | Instalación 36 | 8,00    | 8,00     | 100,0 %       
Cliente 163 | Instalación 3  | 19,00   | 19,00    | 100,0 %       
Cliente 164 | Instalación 34 | 15,00   | 15,00    | 100,0 %       
Cliente 165 | Instalación 98 | 19,00   | 19,00    | 100,0 %       
Cliente 166 | Instalación 90 | 17,00   | 17,00    | 100,0 %       
Cliente 167 | Instalación 51 | 12,00   | 12,00    | 100,0 %       
Cliente 168 | Instalación 16 | 11,00   | 11,00    | 100,0 %       
Cliente 169 | Instalación 15 | 10,00   | 10,00    | 100,0 %       
Cliente 170 | Instalación 30 | 11,00   | 11,00    | 100,0 %       
Cliente 171 | Instalación 56 | 13,00   | 13,00    | 100,0 %       
Cliente 172 | Instalación 46 | 8,00    | 8,00     | 100,0 %       
Cliente 173 | Instalación 89 | 15,00   | 15,00    | 100,0 %       
Cliente 174 | Instalación 17 | 5,00    | 5,00     | 100,0 %       
Cliente 175 | Instalación 77 | 14,00   | 14,00    | 100,0 %       
Cliente 176 | Instalación 70 | 16,00   | 16,00    | 100,0 %       
Cliente 177 | Instalación 14 | 11,00   | 11,00    | 100,0 %       
Cliente 178 | Instalación 90 | 18,00   | 18,00    | 100,0 %       
Cliente 179 | Instalación 26 | 11,00   | 7,00     | 63,6 %        
Cliente 179 | Instalación 76 | 11,00   | 4,00     | 36,4 %        
Cliente 180 | Instalación 90 | 16,00   | 16,00    | 100,0 %       
Cliente 181 | Instalación 7  | 9,00    | 9,00     | 100,0 %       
Cliente 182 | Instalación 52 | 7,00    | 7,00     | 100,0 %       
Cliente 183 | Instalación 52 | 7,00    | 6,00     | 85,7 %        
Cliente 183 | Instalación 87 | 7,00    | 1,00     | 14,3 %        
Cliente 184 | Instalación 36 | 9,00    | 2,00     | 22,2 %        
Cliente 184 | Instalación 76 | 9,00    | 7,00     | 77,8 %        
Cliente 185 | Instalación 64 | 11,00   | 11,00    | 100,0 %       
Cliente 186 | Instalación 7  | 14,00   | 14,00    | 100,0 %       
Cliente 187 | Instalación 65 | 16,00   | 16,00    | 100,0 %       
Cliente 188 | Instalación 5  | 5,00    | 5,00     | 100,0 %       
Cliente 189 | Instalación 16 | 17,00   | 8,00     | 47,1 %        
Cliente 189 | Instalación 98 | 17,00   | 9,00     | 52,9 %        
Cliente 190 | Instalación 7  | 13,00   | 11,00    | 84,6 %        
Cliente 190 | Instalación 16 | 13,00   | 2,00     | 15,4 %        
Cliente 191 | Instalación 13 | 6,00    | 4,00     | 66,7 %        
Cliente 191 | Instalación 21 | 6,00    | 2,00     | 33,3 %        
Cliente 192 | Instalación 16 | 5,00    | 1,00     | 20,0 %        
Cliente 192 | Instalación 41 | 5,00    | 4,00     | 80,0 %        
Cliente 193 | Instalación 33 | 12,00   | 12,00    | 100,0 %       
Cliente 194 | Instalación 57 | 10,00   | 7,00     | 70,0 %        
Cliente 194 | Instalación 64 | 10,00   | 3,00     | 30,0 %        
Cliente 195 | Instalación 5  | 10,00   | 10,00    | 100,0 %       
Cliente 196 | Instalación 60 | 16,00   | 16,00    | 100,0 %       
Cliente 197 | Instalación 5  | 19,00   | 4,00     | 21,1 %        
Cliente 197 | Instalación 48 | 19,00   | 15,00    | 78,9 %        
Cliente 198 | Instalación 78 | 6,00    | 6,00     | 100,0 %       
Cliente 199 | Instalación 15 | 20,00   | 20,00    | 100,0 %       
Cliente 200 | Instalación 36 | 15,00   | 15,00    | 100,0 %       
Cliente 201 | Instalación 26 | 19,00   | 19,00    | 100,0 %       
Cliente 202 | Instalación 41 | 12,00   | 12,00    | 100,0 %       
Cliente 203 | Instalación 24 | 13,00   | 13,00    | 100,0 %       
Cliente 204 | Instalación 81 | 17,00   | 17,00    | 100,0 %       
Cliente 205 | Instalación 26 | 10,00   | 10,00    | 100,0 %       
Cliente 206 | Instalación 18 | 13,00   | 13,00    | 100,0 %       
Cliente 207 | Instalación 26 | 9,00    | 9,00     | 100,0 %       
Cliente 208 | Instalación 86 | 14,00   | 14,00    | 100,0 %       
Cliente 209 | Instalación 33 | 9,00    | 9,00     | 100,0 %       
Cliente 210 | Instalación 81 | 11,00   | 11,00    | 100,0 %       
Cliente 211 | Instalación 41 | 12,00   | 12,00    | 100,0 %       
Cliente 212 | Instalación 60 | 17,00   | 17,00    | 100,0 %       
Cliente 213 | Instalación 13 | 9,00    | 9,00     | 100,0 %       
Cliente 214 | Instalación 21 | 10,00   | 10,00    | 100,0 %       
Cliente 215 | Instalación 7  | 14,00   | 14,00    | 100,0 %       
Cliente 216 | Instalación 33 | 10,00   | 10,00    | 100,0 %       
Cliente 217 | Instalación 94 | 17,00   | 17,00    | 100,0 %       
Cliente 218 | Instalación 64 | 19,00   | 19,00    | 100,0 %       
Cliente 219 | Instalación 16 | 16,00   | 16,00    | 100,0 %       
Cliente 220 | Instalación 60 | 7,00    | 7,00     | 100,0 %       
Cliente 221 | Instalación 79 | 13,00   | 13,00    | 100,0 %       
Cliente 222 | Instalación 36 | 9,00    | 9,00     | 100,0 %       
Cliente 223 | Instalación 7  | 8,00    | 8,00     | 100,0 %       
Cliente 224 | Instalación 26 | 17,00   | 17,00    | 100,0 %       
Cliente 225 | Instalación 98 | 6,00    | 6,00     | 100,0 %       
Cliente 226 | Instalación 78 | 7,00    | 7,00     | 100,0 %       
Cliente 227 | Instalación 63 | 11,00   | 11,00    | 100,0 %       
Cliente 228 | Instalación 7  | 19,00   | 8,00     | 42,1 %        
Cliente 228 | Instalación 56 | 19,00   | 11,00    | 57,9 %        
Cliente 229 | Instalación 28 | 5,00    | 5,00     | 100,0 %       
Cliente 230 | Instalación 18 | 13,00   | 13,00    | 100,0 %       
Cliente 231 | Instalación 26 | 16,00   | 2,00     | 12,5 %        
Cliente 231 | Instalación 36 | 16,00   | 14,00    | 87,5 %        
Cliente 232 | Instalación 96 | 5,00    | 5,00     | 100,0 %       
Cliente 233 | Instalación 43 | 16,00   | 6,00     | 37,5 %        
Cliente 233 | Instalación 60 | 16,00   | 8,00     | 50,0 %        
Cliente 233 | Instalación 89 | 16,00   | 2,00     | 12,5 %        
Cliente 234 | Instalación 86 | 18,00   | 18,00    | 100,0 %       
Cliente 235 | Instalación 31 | 18,00   | 18,00    | 100,0 %       
Cliente 236 | Instalación 28 | 19,00   | 19,00    | 100,0 %       
Cliente 237 | Instalación 31 | 17,00   | 17,00    | 100,0 %       
Cliente 238 | Instalación 24 | 13,00   | 13,00    | 100,0 %       
Cliente 239 | Instalación 89 | 17,00   | 17,00    | 100,0 %       
Cliente 240 | Instalación 30 | 8,00    | 8,00     | 100,0 %       
Cliente 241 | Instalación 18 | 12,00   | 12,00    | 100,0 %       
Cliente 242 | Instalación 36 | 15,00   | 15,00    | 100,0 %       
Cliente 243 | Instalación 51 | 20,00   | 20,00    | 100,0 %       
Cliente 244 | Instalación 5  | 10,00   | 10,00    | 100,0 %       
Cliente 245 | Instalación 59 | 17,00   | 2,00     | 11,8 %        
Cliente 245 | Instalación 69 | 17,00   | 15,00    | 88,2 %        
Cliente 246 | Instalación 35 | 5,00    | 5,00     | 100,0 %       
Cliente 247 | Instalación 70 | 14,00   | 14,00    | 100,0 %       
Cliente 248 | Instalación 18 | 8,00    | 8,00     | 100,0 %       
Cliente 249 | Instalación 48 | 7,00    | 7,00     | 100,0 %       
Cliente 250 | Instalación 24 | 14,00   | 14,00    | 100,0 %       
Cliente 251 | Instalación 56 | 13,00   | 3,00     | 23,1 %        
Cliente 251 | Instalación 69 | 13,00   | 10,00    | 76,9 %        
Cliente 252 | Instalación 30 | 12,00   | 12,00    | 100,0 %       
